#date-time(UTC) LST Az(deg) El(deg) sec(z)
2016/03/17-00:00:00 05:45:02 -144.6088 60.5898 1.1479
2016/03/17-00:05:00 05:50:03 -142.4558 60.0356 1.1543
2016/03/17-00:10:00 05:55:03 -140.3686 59.4542 1.1611
2016/03/17-00:15:00 06:00:04 -138.3464 58.8469 1.1685
2016/03/17-00:20:00 06:05:05 -136.3879 58.2155 1.1764
2016/03/17-00:25:00 06:10:06 -134.4916 57.5613 1.1849
2016/03/17-00:30:00 06:15:07 -132.6557 56.8859 1.1939
2016/03/17-00:35:00 06:20:08 -130.8783 56.1906 1.2035
2016/03/17-00:40:00 06:25:08 -129.1572 55.4766 1.2137
2016/03/17-00:45:00 06:30:09 -127.4903 54.7452 1.2246
2016/03/17-00:50:00 06:35:10 -125.8754 53.9976 1.2361
2016/03/17-00:55:00 06:40:11 -124.3101 53.2348 1.2483
2016/03/17-01:00:00 06:45:12 -122.7923 52.4579 1.2612
2016/03/17-01:05:00 06:50:12 -121.3197 51.6678 1.2748
2016/03/17-01:10:00 06:55:13 -119.8901 50.8654 1.2892
2016/03/17-01:15:00 07:00:14 -118.5014 50.0516 1.3044
2016/03/17-01:20:00 07:05:15 -117.1515 49.2271 1.3205
2016/03/17-01:25:00 07:10:16 -115.8384 48.3928 1.3374
2016/03/17-01:30:00 07:15:17 -114.5601 47.5493 1.3553
2016/03/17-01:35:00 07:20:17 -113.3149 46.6972 1.3741
2016/03/17-01:40:00 07:25:18 -112.1008 45.8372 1.3940
2016/03/17-01:45:00 07:30:19 -110.9163 44.9699 1.4150
2016/03/17-01:50:00 07:35:20 -109.7597 44.0958 1.4371
2016/03/17-01:55:00 07:40:21 -108.6294 43.2154 1.4604
2016/03/17-02:00:00 07:45:21 -107.5239 42.3292 1.4850
2016/03/17-02:05:00 07:50:22 -106.4418 41.4376 1.5110
2016/03/17-02:10:00 07:55:23 -105.3819 40.5411 1.5385
2016/03/17-02:15:00 08:00:24 -104.3427 39.6400 1.5675
2016/03/17-02:20:00 08:05:25 -103.3231 38.7348 1.5982
2016/03/17-02:25:00 08:10:26 -102.3220 37.8258 1.6306
2016/03/17-02:30:00 08:15:26 -101.3381 36.9134 1.6650
2016/03/17-02:35:00 08:20:27 -100.3706 35.9979 1.7014
2016/03/17-02:40:00 08:25:28  -99.4183 35.0795 1.7400
2016/03/17-02:45:00 08:30:29  -98.4803 34.1586 1.7810
2016/03/17-02:50:00 08:35:30  -97.5557 33.2355 1.8245
2016/03/17-02:55:00 08:40:31  -96.6436 32.3104 1.8709
2016/03/17-03:00:00 08:45:31  -95.7433 31.3836 1.9202
2016/03/17-03:05:00 08:50:32  -94.8539 30.4554 1.9729
2016/03/17-03:10:00 08:55:33  -93.9746 29.5259 2.0292
2016/03/17-03:15:00 09:00:34  -93.1047 28.5955 2.0893
2016/03/17-03:20:00 09:05:35  -92.2436 27.6642 2.1538
2016/03/17-03:25:00 09:10:35  -91.3905 26.7325 2.2231
2016/03/17-03:30:00 09:15:36  -90.5449 25.8004 2.2976
2016/03/17-03:35:00 09:20:37  -89.7061 24.8682 2.3779
2016/03/17-03:40:00 09:25:38  -88.8734 23.9360 2.4648
2016/03/17-03:45:00 09:30:39  -88.0464 23.0041 2.5589
2016/03/17-03:50:00 09:35:40  -87.2245 22.0727 2.6611
2016/03/17-03:55:00 09:40:40  -86.4072 21.1419 2.7726
2016/03/17-04:00:00 09:45:41  -85.5938 20.2119 2.8944
2016/03/17-04:05:00 09:50:42  -84.7840 19.2830 3.0282
2016/03/17-04:10:00 09:55:43  -83.9773 18.3552 3.1755
2016/03/17-04:15:00 10:00:44  -83.1731 17.4289 3.3387
2016/03/17-04:20:00 10:05:44  -82.3710 16.5040 3.5201
2016/03/17-04:25:00 10:10:45  -81.5706 15.5809 3.7230
2016/03/17-04:30:00 10:15:46  -80.7713 14.6598 3.9513
2016/03/17-04:35:00 10:20:47  -79.9729 13.7407 4.2100
2016/03/17-04:40:00 10:25:48  -79.1749 12.8238 4.5054
2016/03/17-04:45:00 10:30:49  -78.3768 11.9094 4.8458
2016/03/17-04:50:00 10:35:49  -77.5783 10.9976 5.2420
2016/03/17-04:55:00 10:40:50  -76.7789 10.0886 5.7087

