#date-time(UTC) LST Az(deg) El(deg) sec(z)
2016/03/17-00:00:00 05:45:02 +175.2107 55.3670 1.2153
2016/03/17-00:05:00 05:50:03 +177.3970 55.4271 1.2145
2016/03/17-00:10:00 05:55:03 +179.5878 55.4516 1.2141
2016/03/17-00:15:00 06:00:04 -178.2207 55.4405 1.2143
2016/03/17-00:20:00 06:05:05 -176.0322 55.3937 1.2150
2016/03/17-00:25:00 06:10:06 -173.8506 55.3115 1.2162
2016/03/17-00:30:00 06:15:07 -171.6794 55.1941 1.2179
2016/03/17-00:35:00 06:20:08 -169.5222 55.0419 1.2202
2016/03/17-00:40:00 06:25:08 -167.3824 54.8552 1.2229
2016/03/17-00:45:00 06:30:09 -165.2630 54.6348 1.2263
2016/03/17-00:50:00 06:35:10 -163.1671 54.3812 1.2301
2016/03/17-00:55:00 06:40:11 -161.0972 54.0951 1.2346
2016/03/17-01:00:00 06:45:12 -159.0558 53.7774 1.2396
2016/03/17-01:05:00 06:50:12 -157.0450 53.4289 1.2451
2016/03/17-01:10:00 06:55:13 -155.0665 53.0506 1.2513
2016/03/17-01:15:00 07:00:14 -153.1219 52.6432 1.2581
2016/03/17-01:20:00 07:05:15 -151.2126 52.2080 1.2654
2016/03/17-01:25:00 07:10:16 -149.3393 51.7457 1.2734
2016/03/17-01:30:00 07:15:17 -147.5029 51.2575 1.2821
2016/03/17-01:35:00 07:20:17 -145.7039 50.7444 1.2914
2016/03/17-01:40:00 07:25:18 -143.9424 50.2073 1.3015
2016/03/17-01:45:00 07:30:19 -142.2186 49.6473 1.3122
2016/03/17-01:50:00 07:35:20 -140.5322 49.0653 1.3237
2016/03/17-01:55:00 07:40:21 -138.8831 48.4624 1.3360
2016/03/17-02:00:00 07:45:21 -137.2708 47.8396 1.3490
2016/03/17-02:05:00 07:50:22 -135.6947 47.1976 1.3630
2016/03/17-02:10:00 07:55:23 -134.1541 46.5376 1.3777
2016/03/17-02:15:00 08:00:24 -132.6483 45.8602 1.3935
2016/03/17-02:20:00 08:05:25 -131.1764 45.1665 1.4101
2016/03/17-02:25:00 08:10:26 -129.7376 44.4571 1.4278
2016/03/17-02:30:00 08:15:26 -128.3308 43.7330 1.4466
2016/03/17-02:35:00 08:20:27 -126.9552 42.9948 1.4664
2016/03/17-02:40:00 08:25:28 -125.6097 42.2433 1.4875
2016/03/17-02:45:00 08:30:29 -124.2933 41.4792 1.5098
2016/03/17-02:50:00 08:35:30 -123.0049 40.7032 1.5334
2016/03/17-02:55:00 08:40:31 -121.7436 39.9158 1.5585
2016/03/17-03:00:00 08:45:31 -120.5082 39.1178 1.5850
2016/03/17-03:05:00 08:50:32 -119.2978 38.3097 1.6131
2016/03/17-03:10:00 08:55:33 -118.1114 37.4920 1.6430
2016/03/17-03:15:00 09:00:34 -116.9479 36.6653 1.6747
2016/03/17-03:20:00 09:05:35 -115.8064 35.8301 1.7083
2016/03/17-03:25:00 09:10:35 -114.6858 34.9869 1.7440
2016/03/17-03:30:00 09:15:36 -113.5854 34.1362 1.7820
2016/03/17-03:35:00 09:20:37 -112.5040 33.2783 1.8225
2016/03/17-03:40:00 09:25:38 -111.4410 32.4138 1.8656
2016/03/17-03:45:00 09:30:39 -110.3953 31.5430 1.9115
2016/03/17-03:50:00 09:35:40 -109.3662 30.6664 1.9606
2016/03/17-03:55:00 09:40:40 -108.3527 29.7842 2.0131
2016/03/17-04:00:00 09:45:41 -107.3542 28.8968 2.0694
2016/03/17-04:05:00 09:50:42 -106.3698 28.0047 2.1297
2016/03/17-04:10:00 09:55:43 -105.3988 27.1080 2.1946
2016/03/17-04:15:00 10:00:44 -104.4404 26.2072 2.2644
2016/03/17-04:20:00 10:05:44 -103.4940 25.3026 2.3397
2016/03/17-04:25:00 10:10:45 -102.5588 24.3943 2.4212
2016/03/17-04:30:00 10:15:46 -101.6342 23.4828 2.5096
2016/03/17-04:35:00 10:20:47 -100.7195 22.5682 2.6056
2016/03/17-04:40:00 10:25:48  -99.8141 21.6509 2.7104
2016/03/17-04:45:00 10:30:49  -98.9175 20.7311 2.8250
2016/03/17-04:50:00 10:35:49  -98.0289 19.8091 2.9508
2016/03/17-04:55:00 10:40:50  -97.1478 18.8850 3.0896
2016/03/17-05:00:00 10:45:51  -96.2736 17.9592 3.2432
2016/03/17-05:05:00 10:50:52  -95.4058 17.0318 3.4141
2016/03/17-05:10:00 10:55:53  -94.5439 16.1031 3.6053
2016/03/17-05:15:00 11:00:54  -93.6873 15.1732 3.8206
2016/03/17-05:20:00 11:05:54  -92.8355 14.2425 4.0646
2016/03/17-05:25:00 11:10:55  -91.9880 13.3111 4.3433
2016/03/17-05:30:00 11:15:56  -91.1443 12.3792 4.6646
2016/03/17-05:35:00 11:20:57  -90.3040 11.4471 5.0387
2016/03/17-05:40:00 11:25:58  -89.4665 10.5148 5.4797

