#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/04/22-09:10:00 17:15:27 +129.6332 10.7164 5.3778
2015/04/22-09:15:00 17:20:28 +130.5883 11.4296 5.0463
2015/04/22-09:20:00 17:25:29 +131.5537 12.1326 4.7579
2015/04/22-09:25:00 17:30:30 +132.5295 12.8251 4.5050
2015/04/22-09:30:00 17:35:30 +133.5159 13.5069 4.2815
2015/04/22-09:35:00 17:40:31 +134.5131 14.1775 4.0829
2015/04/22-09:40:00 17:45:32 +135.5214 14.8367 3.9053
2015/04/22-09:45:00 17:50:33 +136.5408 15.4841 3.7457
2015/04/22-09:50:00 17:55:34 +137.5716 16.1194 3.6018
2015/04/22-09:55:00 18:00:35 +138.6138 16.7422 3.4714
2015/04/22-10:00:00 18:05:35 +139.6677 17.3522 3.3529
