#date-time(UTC) LST Az(deg) El(deg) sec(z)
2016/03/17-00:00:00 05:45:02  -49.7277 83.3952 1.0067
2016/03/17-00:05:00 05:50:03  -53.6196 82.6633 1.0083
2016/03/17-00:10:00 05:55:03  -56.7110 81.8977 1.0101
2016/03/17-00:15:00 06:00:04  -59.1849 81.1072 1.0122
2016/03/17-00:20:00 06:05:05  -61.1789 80.2981 1.0145
2016/03/17-00:25:00 06:10:06  -62.7959 79.4749 1.0171
2016/03/17-00:30:00 06:15:07  -64.1132 78.6408 1.0200
2016/03/17-00:35:00 06:20:08  -65.1891 77.7982 1.0231
2016/03/17-00:40:00 06:25:08  -66.0686 76.9490 1.0265
2016/03/17-00:45:00 06:30:09  -66.7863 76.0944 1.0302
2016/03/17-00:50:00 06:35:10  -67.3693 75.2358 1.0341
2016/03/17-00:55:00 06:40:11  -67.8392 74.3738 1.0384
2016/03/17-01:00:00 06:45:12  -68.2132 73.5092 1.0429
2016/03/17-01:05:00 06:50:12  -68.5052 72.6427 1.0477
2016/03/17-01:10:00 06:55:13  -68.7266 71.7746 1.0528
2016/03/17-01:15:00 07:00:14  -68.8867 70.9054 1.0582
2016/03/17-01:20:00 07:05:15  -68.9933 70.0354 1.0639
2016/03/17-01:25:00 07:10:16  -69.0529 69.1649 1.0700
2016/03/17-01:30:00 07:15:17  -69.0708 68.2942 1.0763
2016/03/17-01:35:00 07:20:17  -69.0517 67.4235 1.0830
2016/03/17-01:40:00 07:25:18  -68.9995 66.5530 1.0900
2016/03/17-01:45:00 07:30:19  -68.9177 65.6829 1.0974
2016/03/17-01:50:00 07:35:20  -68.8089 64.8134 1.1051
2016/03/17-01:55:00 07:40:21  -68.6758 63.9446 1.1131
2016/03/17-02:00:00 07:45:21  -68.5206 63.0766 1.1216
2016/03/17-02:05:00 07:50:22  -68.3451 62.2096 1.1304
2016/03/17-02:10:00 07:55:23  -68.1509 61.3438 1.1396
2016/03/17-02:15:00 08:00:24  -67.9395 60.4791 1.1492
2016/03/17-02:20:00 08:05:25  -67.7122 59.6158 1.1592
2016/03/17-02:25:00 08:10:26  -67.4702 58.7540 1.1697
2016/03/17-02:30:00 08:15:26  -67.2143 57.8937 1.1805
2016/03/17-02:35:00 08:20:27  -66.9456 57.0350 1.1919
2016/03/17-02:40:00 08:25:28  -66.6647 56.1781 1.2037
2016/03/17-02:45:00 08:30:29  -66.3724 55.3231 1.2160
2016/03/17-02:50:00 08:35:30  -66.0693 54.4700 1.2288
2016/03/17-02:55:00 08:40:31  -65.7560 53.6189 1.2421
2016/03/17-03:00:00 08:45:31  -65.4329 52.7700 1.2559
2016/03/17-03:05:00 08:50:32  -65.1005 51.9233 1.2703
2016/03/17-03:10:00 08:55:33  -64.7593 51.0788 1.2853
2016/03/17-03:15:00 09:00:34  -64.4095 50.2368 1.3009
2016/03/17-03:20:00 09:05:35  -64.0515 49.3973 1.3171
2016/03/17-03:25:00 09:10:35  -63.6857 48.5603 1.3340
2016/03/17-03:30:00 09:15:36  -63.3121 47.7260 1.3515
2016/03/17-03:35:00 09:20:37  -62.9311 46.8945 1.3697
2016/03/17-03:40:00 09:25:38  -62.5430 46.0658 1.3886
2016/03/17-03:45:00 09:30:39  -62.1478 45.2401 1.4083
2016/03/17-03:50:00 09:35:40  -61.7457 44.4174 1.4288
2016/03/17-03:55:00 09:40:40  -61.3370 43.5978 1.4501
2016/03/17-04:00:00 09:45:41  -60.9216 42.7814 1.4723
2016/03/17-04:05:00 09:50:42  -60.4998 41.9683 1.4954
2016/03/17-04:10:00 09:55:43  -60.0717 41.1587 1.5194
2016/03/17-04:15:00 10:00:44  -59.6373 40.3525 1.5444
2016/03/17-04:20:00 10:05:44  -59.1968 39.5500 1.5705
2016/03/17-04:25:00 10:10:45  -58.7501 38.7511 1.5976
2016/03/17-04:30:00 10:15:46  -58.2974 37.9560 1.6259
2016/03/17-04:35:00 10:20:47  -57.8387 37.1649 1.6553
