#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/04/22-00:00:00 08:03:57 +163.9047 67.3878 1.0833
2015/04/22-00:05:00 08:08:58 +166.9217 67.6227 1.0814
2015/04/22-00:10:00 08:13:58 +169.9889 67.8094 1.0800
2015/04/22-00:15:00 08:18:59 +173.0956 67.9465 1.0789
2015/04/22-00:20:00 08:24:00 +176.2303 68.0333 1.0783
2015/04/22-00:25:00 08:29:01 +179.3803 68.0690 1.0780
2015/04/22-00:30:00 08:34:02 -177.4671 68.0534 1.0781
2015/04/22-00:35:00 08:39:03 -174.3249 67.9867 1.0786
2015/04/22-00:40:00 08:44:03 -171.2058 67.8692 1.0795
2015/04/22-00:45:00 08:49:04 -168.1217 67.7019 1.0808
2015/04/22-00:50:00 08:54:05 -165.0838 67.4858 1.0825
2015/04/22-00:55:00 08:59:06 -162.1020 67.2223 1.0846
2015/04/22-01:00:00 09:04:07 -159.1848 66.9132 1.0871
2015/04/22-01:05:00 09:09:07 -156.3393 66.5602 1.0899
2015/04/22-01:10:00 09:14:08 -153.5713 66.1654 1.0932
2015/04/22-01:15:00 09:19:09 -150.8849 65.7309 1.0969
2015/04/22-01:20:00 09:24:10 -148.2831 65.2587 1.1011
2015/04/22-01:25:00 09:29:11 -145.7675 64.7511 1.1056
2015/04/22-01:30:00 09:34:12 -143.3385 64.2103 1.1106
2015/04/22-01:35:00 09:39:12 -140.9959 63.6383 1.1161
2015/04/22-01:40:00 09:44:13 -138.7384 63.0372 1.1220
2015/04/22-01:45:00 09:49:14 -136.5642 62.4089 1.1283
2015/04/22-01:50:00 09:54:15 -134.4710 61.7555 1.1352
2015/04/22-01:55:00 09:59:16 -132.4560 61.0787 1.1425
2015/04/22-02:00:00 10:04:16 -130.5163 60.3801 1.1503
2015/04/22-02:05:00 10:09:17 -128.6487 59.6614 1.1587
2015/04/22-02:10:00 10:14:18 -126.8499 58.9240 1.1676
2015/04/22-02:15:00 10:19:19 -125.1166 58.1694 1.1770
2015/04/22-02:20:00 10:24:20 -123.4454 57.3989 1.1870
2015/04/22-02:25:00 10:29:21 -121.8332 56.6136 1.1976
2015/04/22-02:30:00 10:34:21 -120.2766 55.8148 1.2089
2015/04/22-02:35:00 10:39:22 -118.7727 55.0034 1.2207
