#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/04/22-00:00:00 08:03:57 -141.1391 65.9842 1.0948
2015/04/22-00:05:00 08:08:58 -138.7222 65.3838 1.1000
2015/04/22-00:10:00 08:13:58 -136.4040 64.7546 1.1056
2015/04/22-00:15:00 08:18:59 -134.1815 64.0985 1.1117
2015/04/22-00:20:00 08:24:00 -132.0510 63.4178 1.1182
2015/04/22-00:25:00 08:29:01 -130.0086 62.7143 1.1252
2015/04/22-00:30:00 08:34:02 -128.0500 61.9899 1.1327
2015/04/22-00:35:00 08:39:03 -126.1710 61.2462 1.1406
2015/04/22-00:40:00 08:44:03 -124.3674 60.4848 1.1491
2015/04/22-00:45:00 08:49:04 -122.6349 59.7072 1.1581
2015/04/22-00:50:00 08:54:05 -120.9693 58.9147 1.1677
2015/04/22-00:55:00 08:59:06 -119.3666 58.1085 1.1778
2015/04/22-01:00:00 09:04:07 -117.8231 57.2897 1.1885
2015/04/22-01:05:00 09:09:07 -116.3349 56.4594 1.1998
2015/04/22-01:10:00 09:14:08 -114.8987 55.6186 1.2117
2015/04/22-01:15:00 09:19:09 -113.5112 54.7681 1.2243
2015/04/22-01:20:00 09:24:10 -112.1692 53.9087 1.2375
2015/04/22-01:25:00 09:29:11 -110.8697 53.0412 1.2515
2015/04/22-01:30:00 09:34:12 -109.6101 52.1663 1.2662
2015/04/22-01:35:00 09:39:12 -108.3878 51.2846 1.2816
2015/04/22-01:40:00 09:44:13 -107.2003 50.3967 1.2979
2015/04/22-01:45:00 09:49:14 -106.0454 49.5031 1.3150
2015/04/22-01:50:00 09:54:15 -104.9209 48.6045 1.3330
2015/04/22-01:55:00 09:59:16 -103.8248 47.7012 1.3520
2015/04/22-02:00:00 10:04:16 -102.7554 46.7937 1.3719
2015/04/22-02:05:00 10:09:17 -101.7107 45.8823 1.3929
2015/04/22-02:10:00 10:14:18 -100.6893 44.9676 1.4150
2015/04/22-02:15:00 10:19:19  -99.6896 44.0498 1.4383
2015/04/22-02:20:00 10:24:20  -98.7101 43.1293 1.4627
2015/04/22-02:25:00 10:29:21  -97.7495 42.2064 1.4885
2015/04/22-02:30:00 10:34:21  -96.8065 41.2815 1.5157
2015/04/22-02:35:00 10:39:22  -95.8799 40.3547 1.5444
2015/04/22-02:40:00 10:44:23  -94.9686 39.4264 1.5746
2015/04/22-02:45:00 10:49:24  -94.0716 38.4968 1.6065
2015/04/22-02:50:00 10:54:25  -93.1879 37.5662 1.6402
2015/04/22-02:55:00 10:59:26  -92.3164 36.6347 1.6759
2015/04/22-03:00:00 11:04:26  -91.4564 35.7028 1.7136
2015/04/22-03:05:00 11:09:27  -90.6069 34.7704 1.7535
2015/04/22-03:10:00 11:14:28  -89.7673 33.8379 1.7958
2015/04/22-03:15:00 11:19:29  -88.9366 32.9055 1.8408
2015/04/22-03:20:00 11:24:30  -88.1143 31.9733 1.8885
2015/04/22-03:25:00 11:29:30  -87.2996 31.0416 1.9393
2015/04/22-03:30:00 11:34:31  -86.4918 30.1105 1.9933
2015/04/22-03:35:00 11:39:32  -85.6904 29.1801 2.0510
2015/04/22-03:40:00 11:44:33  -84.8948 28.2508 2.1127
2015/04/22-03:45:00 11:49:34  -84.1043 27.3226 2.1786
2015/04/22-03:50:00 11:54:35  -83.3185 26.3957 2.2494
2015/04/22-03:55:00 11:59:35  -82.5367 25.4703 2.3253
2015/04/22-04:00:00 12:04:36  -81.7585 24.5466 2.4071
2015/04/22-04:05:00 12:09:37  -80.9835 23.6246 2.4954
2015/04/22-04:10:00 12:14:38  -80.2111 22.7047 2.5908
2015/04/22-04:15:00 12:19:39  -79.4409 21.7868 2.6943
2015/04/22-04:20:00 12:24:39  -78.6724 20.8713 2.8069
2015/04/22-04:25:00 12:29:40  -77.9053 19.9582 2.9297
2015/04/22-04:30:00 12:34:41  -77.1391 19.0478 3.0641
2015/04/22-04:35:00 12:39:42  -76.3734 18.1401 3.2119
2015/04/22-04:40:00 12:44:43  -75.6078 17.2353 3.3750
2015/04/22-04:45:00 12:49:44  -74.8419 16.3337 3.5558
2015/04/22-04:50:00 12:54:44  -74.0754 15.4353 3.7573
2015/04/22-04:55:00 12:59:45  -73.3080 14.5403 3.9831
2015/04/22-05:00:00 13:04:46  -72.5391 13.6489 4.2378
2015/04/22-05:05:00 13:09:47  -71.7686 12.7613 4.5271
2015/04/22-05:10:00 13:14:48  -70.9960 11.8776 4.8586
2015/04/22-05:15:00 13:19:49  -70.2211 10.9980 5.2418
2015/04/22-05:20:00 13:24:49  -69.4434 10.1227 5.6897

