#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)
2016/02/11-09:00:00 12:28:31 -156.4729 50.6209 1.2937 +11:29:37.3 +04:49:16
2016/02/11-09:05:00 12:33:32 -154.6077 50.2349 1.3009 +11:29:37.3 +04:49:16
2016/02/11-09:10:00 12:38:33 -152.7724 49.8218 1.3088 +11:29:37.2 +04:49:17
2016/02/11-09:15:00 12:43:34 -150.9679 49.3822 1.3174 +11:29:37.1 +04:49:17
2016/02/11-09:20:00 12:48:34 -149.1950 48.9173 1.3267 +11:29:37.0 +04:49:18
2016/02/11-09:25:00 12:53:35 -147.4544 48.4277 1.3367 +11:29:37.0 +04:49:18
2016/02/11-09:30:00 12:58:36 -145.7464 47.9146 1.3474 +11:29:36.9 +04:49:19
2016/02/11-09:35:00 13:03:37 -144.0713 47.3786 1.3590 +11:29:36.8 +04:49:19
2016/02/11-09:40:00 13:08:38 -142.4290 46.8208 1.3713 +11:29:36.7 +04:49:20
2016/02/11-09:45:00 13:13:38 -140.8197 46.2420 1.3845 +11:29:36.7 +04:49:20
2016/02/11-09:50:00 13:18:39 -139.2429 45.6432 1.3986 +11:29:36.6 +04:49:21
2016/02/11-09:55:00 13:23:40 -137.6984 45.0250 1.4136 +11:29:36.5 +04:49:21
2016/02/11-10:00:00 13:28:41 -136.1859 44.3885 1.4296 +11:29:36.4 +04:49:22
2016/02/11-10:05:00 13:33:42 -134.7046 43.7344 1.4465 +11:29:36.3 +04:49:23
2016/02/11-10:10:00 13:38:43 -133.2541 43.0635 1.4645 +11:29:36.3 +04:49:23
2016/02/11-10:15:00 13:43:43 -131.8337 42.3766 1.4837 +11:29:36.2 +04:49:24
2016/02/11-10:20:00 13:48:44 -130.4426 41.6745 1.5040 +11:29:36.1 +04:49:24
2016/02/11-10:25:00 13:53:45 -129.0802 40.9578 1.5255 +11:29:36.0 +04:49:25
2016/02/11-10:30:00 13:58:46 -127.7455 40.2273 1.5484 +11:29:36.0 +04:49:25
2016/02/11-10:35:00 14:03:47 -126.4378 39.4836 1.5727 +11:29:35.9 +04:49:26
2016/02/11-10:40:00 14:08:47 -125.1563 38.7273 1.5984 +11:29:35.8 +04:49:26
2016/02/11-10:45:00 14:13:48 -123.9000 37.9592 1.6257 +11:29:35.7 +04:49:27
2016/02/11-10:50:00 14:18:49 -122.6682 37.1798 1.6548 +11:29:35.7 +04:49:27
2016/02/11-10:55:00 14:23:50 -121.4598 36.3897 1.6856 +11:29:35.6 +04:49:28
2016/02/11-11:00:00 14:28:51 -120.2742 35.5894 1.7183 +11:29:35.5 +04:49:28
2016/02/11-11:05:00 14:33:52 -119.1103 34.7795 1.7531 +11:29:35.4 +04:49:29
2016/02/11-11:10:00 14:38:52 -117.9674 33.9605 1.7901 +11:29:35.4 +04:49:30
2016/02/11-11:15:00 14:43:53 -116.8446 33.1327 1.8296 +11:29:35.3 +04:49:30
2016/02/11-11:20:00 14:48:54 -115.7411 32.2969 1.8716 +11:29:35.2 +04:49:31
2016/02/11-11:25:00 14:53:55 -114.6560 31.4532 1.9164 +11:29:35.1 +04:49:31
2016/02/11-11:30:00 14:58:56 -113.5886 30.6023 1.9643 +11:29:35.1 +04:49:32
2016/02/11-11:35:00 15:03:57 -112.5380 29.7445 2.0156 +11:29:35.0 +04:49:32
2016/02/11-11:40:00 15:08:57 -111.5035 28.8801 2.0705 +11:29:34.9 +04:49:33
2016/02/11-11:45:00 15:13:58 -110.4843 28.0097 2.1294 +11:29:34.8 +04:49:33
2016/02/11-11:50:00 15:18:59 -109.4797 27.1334 2.1927 +11:29:34.7 +04:49:34
2016/02/11-11:55:00 15:24:00 -108.4890 26.2518 2.2608 +11:29:34.7 +04:49:34
2016/02/11-12:00:00 15:29:01 -107.5114 25.3651 2.3344 +11:29:34.6 +04:49:35
2016/02/11-12:05:00 15:34:01 -106.5464 24.4736 2.4139 +11:29:34.5 +04:49:35
2016/02/11-12:10:00 15:39:02 -105.5931 23.5776 2.5001 +11:29:34.4 +04:49:36
2016/02/11-12:15:00 15:44:03 -104.6510 22.6776 2.5937 +11:29:34.4 +04:49:36
2016/02/11-12:20:00 15:49:04 -103.7194 21.7736 2.6959 +11:29:34.3 +04:49:37
2016/02/11-12:25:00 15:54:05 -102.7978 20.8661 2.8075 +11:29:34.2 +04:49:38
2016/02/11-12:30:00 15:59:06 -101.8854 19.9553 2.9301 +11:29:34.1 +04:49:38
2016/02/11-12:35:00 16:04:06 -100.9817 19.0414 3.0651 +11:29:34.1 +04:49:39
2016/02/11-12:40:00 16:09:07 -100.0862 18.1248 3.2145 +11:29:34.0 +04:49:39
2016/02/11-12:45:00 16:14:08  -99.1983 17.2056 3.3806 +11:29:33.9 +04:49:40
2016/02/11-12:50:00 16:19:09  -98.3174 16.2841 3.5663 +11:29:33.8 +04:49:40
2016/02/11-12:55:00 16:24:10  -97.4429 15.3605 3.7751 +11:29:33.8 +04:49:41
2016/02/11-13:00:00 16:29:10  -96.5745 14.4351 4.0115 +11:29:33.7 +04:49:41
2016/02/11-13:05:00 16:34:11  -95.7114 13.5081 4.2811 +11:29:33.6 +04:49:42
2016/02/11-13:10:00 16:39:12  -94.8534 12.5797 4.5914 +11:29:33.5 +04:49:42
2016/02/11-13:15:00 16:44:13  -93.9997 11.6501 4.9521 +11:29:33.4 +04:49:43
2016/02/11-13:20:00 16:49:14  -93.1500 10.7196 5.3763 +11:29:33.4 +04:49:43

