#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/04/22-00:00:00 08:03:57 +119.5785 48.6345 1.3324
2015/04/22-00:05:00 08:08:58 +120.9575 49.4399 1.3163
2015/04/22-00:10:00 08:13:58 +122.3751 50.2336 1.3010
2015/04/22-00:15:00 08:18:59 +123.8333 51.0147 1.2865
2015/04/22-00:20:00 08:24:00 +125.3339 51.7825 1.2728
2015/04/22-00:25:00 08:29:01 +126.8789 52.5359 1.2599
2015/04/22-00:30:00 08:34:02 +128.4702 53.2740 1.2477
2015/04/22-00:35:00 08:39:03 +130.1097 53.9957 1.2361
2015/04/22-00:40:00 08:44:03 +131.7994 54.7000 1.2253
2015/04/22-00:45:00 08:49:04 +133.5411 55.3856 1.2151
2015/04/22-00:50:00 08:54:05 +135.3364 56.0514 1.2055
2015/04/22-00:55:00 08:59:06 +137.1871 56.6962 1.1965
2015/04/22-01:00:00 09:04:07 +139.0945 57.3185 1.1881
2015/04/22-01:05:00 09:09:07 +141.0597 57.9169 1.1802
2015/04/22-01:10:00 09:14:08 +143.0838 58.4901 1.1730
2015/04/22-01:15:00 09:19:09 +145.1673 59.0366 1.1662
2015/04/22-01:20:00 09:24:10 +147.3104 59.5549 1.1599
2015/04/22-01:25:00 09:29:11 +149.5128 60.0434 1.1542
2015/04/22-01:30:00 09:34:12 +151.7737 60.5006 1.1489
2015/04/22-01:35:00 09:39:12 +154.0918 60.9249 1.1442
2015/04/22-01:40:00 09:44:13 +156.4651 61.3150 1.1399
2015/04/22-01:45:00 09:49:14 +158.8910 61.6692 1.1361
2015/04/22-01:50:00 09:54:15 +161.3661 61.9862 1.1327
2015/04/22-01:55:00 09:59:16 +163.8864 62.2646 1.1298
2015/04/22-02:00:00 10:04:16 +166.4472 62.5034 1.1273
2015/04/22-02:05:00 10:09:17 +169.0430 62.7014 1.1253
2015/04/22-02:10:00 10:14:18 +171.6679 62.8576 1.1238
2015/04/22-02:15:00 10:19:19 +174.3154 62.9714 1.1226
2015/04/22-02:20:00 10:24:20 +176.9784 63.0422 1.1219
2015/04/22-02:25:00 10:29:21 +179.6499 63.0696 1.1216
