#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/04/22-03:00:00 11:04:26 +119.9318 10.6029 5.4348
2015/04/22-03:05:00 11:09:27 +120.8611 11.4072 5.0561
2015/04/22-03:10:00 11:14:28 +121.8000 12.2037 4.7306
2015/04/22-03:15:00 11:19:29 +122.7489 12.9921 4.4481
2015/04/22-03:20:00 11:24:30 +123.7080 13.7722 4.2006
2015/04/22-03:25:00 11:29:30 +124.6778 14.5435 3.9822
2015/04/22-03:30:00 11:34:31 +125.6586 15.3058 3.7883
2015/04/22-03:35:00 11:39:32 +126.6506 16.0587 3.6150
2015/04/22-03:40:00 11:44:33 +127.6543 16.8019 3.4594
2015/04/22-03:45:00 11:49:34 +128.6699 17.5351 3.3191
2015/04/22-03:50:00 11:54:35 +129.6977 18.2579 3.1919
2015/04/22-03:55:00 11:59:35 +130.7381 18.9700 3.0762
2015/04/22-04:00:00 12:04:36 +131.7913 19.6709 2.9707
2015/04/22-04:05:00 12:09:37 +132.8576 20.3603 2.8742
2015/04/22-04:10:00 12:14:38 +133.9373 21.0379 2.7856
2015/04/22-04:15:00 12:19:39 +135.0305 21.7032 2.7042
2015/04/22-04:20:00 12:24:39 +136.1376 22.3558 2.6291
2015/04/22-04:25:00 12:29:40 +137.2587 22.9954 2.5598
2015/04/22-04:30:00 12:34:41 +138.3941 23.6214 2.4957
2015/04/22-04:35:00 12:39:42 +139.5438 24.2336 2.4363
2015/04/22-04:40:00 12:44:43 +140.7080 24.8314 2.3812
2015/04/22-04:45:00 12:49:44 +141.8869 25.4145 2.3301
2015/04/22-04:50:00 12:54:44 +143.0804 25.9824 2.2826
2015/04/22-04:55:00 12:59:45 +144.2886 26.5346 2.2384
2015/04/22-05:00:00 13:04:46 +145.5117 27.0708 2.1974
2015/04/22-05:05:00 13:09:47 +146.7494 27.5905 2.1591
2015/04/22-05:10:00 13:14:48 +148.0018 28.0933 2.1236
2015/04/22-05:15:00 13:19:49 +149.2688 28.5786 2.0905
2015/04/22-05:20:00 13:24:49 +150.5501 29.0462 2.0597
2015/04/22-05:25:00 13:29:50 +151.8457 29.4954 2.0311
2015/04/22-05:30:00 13:34:51 +153.1553 29.9260 2.0045
2015/04/22-05:35:00 13:39:52 +154.4786 30.3375 1.9798
2015/04/22-05:40:00 13:44:53 +155.8153 30.7294 1.9570
2015/04/22-05:45:00 13:49:53 +157.1650 31.1014 1.9359
2015/04/22-05:50:00 13:54:54 +158.5272 31.4530 1.9164
2015/04/22-05:55:00 13:59:55 +159.9015 31.7840 1.8985
2015/04/22-06:00:00 14:04:56 +161.2874 32.0938 1.8822
2015/04/22-06:05:00 14:09:57 +162.6842 32.3822 1.8672
2015/04/22-06:10:00 14:14:58 +164.0914 32.6488 1.8536
2015/04/22-06:15:00 14:19:58 +165.5083 32.8933 1.8414
2015/04/22-06:20:00 14:24:59 +166.9342 33.1154 1.8304
2015/04/22-06:25:00 14:30:00 +168.3682 33.3148 1.8207
2015/04/22-06:30:00 14:35:01 +169.8096 33.4913 1.8122
2015/04/22-06:35:00 14:40:02 +171.2576 33.6447 1.8049
2015/04/22-06:40:00 14:45:02 +172.7112 33.7747 1.7988
2015/04/22-06:45:00 14:50:03 +174.1696 33.8813 1.7938
2015/04/22-06:50:00 14:55:04 +175.6319 33.9641 1.7900
2015/04/22-06:55:00 15:00:05 +177.0971 34.0233 1.7872
2015/04/22-07:00:00 15:05:06 +178.5641 34.0586 1.7856
2015/04/22-07:05:00 15:10:07 -179.9678 34.0700 1.7851
2015/04/22-07:10:00 15:15:07 -178.4998 34.0575 1.7856
2015/04/22-07:15:00 15:20:08 -177.0328 34.0212 1.7873
2015/04/22-07:20:00 15:25:09 -175.5677 33.9610 1.7901
2015/04/22-07:25:00 15:30:10 -174.1056 33.8771 1.7940
2015/04/22-07:30:00 15:35:11 -172.6474 33.7695 1.7990
2015/04/22-07:35:00 15:40:12 -171.1939 33.6385 1.8052
2015/04/22-07:40:00 15:45:12 -169.7463 33.4841 1.8126
2015/04/22-07:45:00 15:50:13 -168.3051 33.3065 1.8211
2015/04/22-07:50:00 15:55:14 -166.8715 33.1061 1.8309
2015/04/22-07:55:00 16:00:15 -165.4460 32.8830 1.8419
2015/04/22-08:00:00 16:05:16 -164.0295 32.6375 1.8542
2015/04/22-08:05:00 16:10:16 -162.6228 32.3700 1.8678
