#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2016/02/26-07:20:00 11:47:23 +125.5130 10.0224 5.7460 +15:37:08.8 -18:00:21
2016/02/26-07:25:00 11:52:24 +126.4506 10.7756 5.3486 +15:37:09.2 -18:00:22
2016/02/26-07:30:00 11:57:25 +127.3979 11.5198 5.0074 +15:37:09.5 -18:00:23
2016/02/26-07:35:00 12:02:25 +128.3554 12.2545 4.7113 +15:37:09.9 -18:00:24
2016/02/26-07:40:00 12:07:26 +129.3233 12.9795 4.4523 +15:37:10.2 -18:00:26
2016/02/26-07:45:00 12:12:27 +130.3017 13.6945 4.2240 +15:37:10.6 -18:00:27
2016/02/26-07:50:00 12:17:28 +131.2911 14.3991 4.0213 +15:37:10.9 -18:00:28
2016/02/26-07:55:00 12:22:29 +132.2915 15.0931 3.8404 +15:37:11.3 -18:00:30
2016/02/26-08:00:00 12:27:30 +133.3033 15.7761 3.6781 +15:37:11.6 -18:00:31
2016/02/26-08:05:00 12:32:30 +134.3267 16.4477 3.5318 +15:37:11.9 -18:00:32
2016/02/26-08:10:00 12:37:31 +135.3618 17.1076 3.3994 +15:37:12.3 -18:00:33
2016/02/26-08:15:00 12:42:32 +136.4088 17.7555 3.2792 +15:37:12.6 -18:00:35
2016/02/26-08:20:00 12:47:33 +137.4679 18.3910 3.1696 +15:37:13.0 -18:00:36
2016/02/26-08:25:00 12:52:34 +138.5393 19.0137 3.0694 +15:37:13.3 -18:00:37
2016/02/26-08:30:00 12:57:34 +139.6231 19.6233 2.9776 +15:37:13.7 -18:00:38
2016/02/26-08:35:00 13:02:35 +140.7193 20.2195 2.8934 +15:37:14.0 -18:00:40
2016/02/26-08:40:00 13:07:36 +141.8282 20.8017 2.8158 +15:37:14.4 -18:00:41
2016/02/26-08:45:00 13:12:37 +142.9497 21.3697 2.7444 +15:37:14.7 -18:00:42
2016/02/26-08:50:00 13:17:38 +144.0839 21.9230 2.6784 +15:37:15.1 -18:00:43
2016/02/26-08:55:00 13:22:39 +145.2309 22.4614 2.6174 +15:37:15.4 -18:00:45
2016/02/26-09:00:00 13:27:39 +146.3905 22.9843 2.5610 +15:37:15.7 -18:00:46
2016/02/26-09:05:00 13:32:40 +147.5628 23.4915 2.5087 +15:37:16.1 -18:00:47
2016/02/26-09:10:00 13:37:41 +148.7478 23.9824 2.4603 +15:37:16.4 -18:00:49
2016/02/26-09:15:00 13:42:42 +149.9452 24.4569 2.4154 +15:37:16.8 -18:00:50
2016/02/26-09:20:00 13:47:43 +151.1549 24.9144 2.3738 +15:37:17.1 -18:00:51
2016/02/26-09:25:00 13:52:43 +152.3769 25.3546 2.3353 +15:37:17.5 -18:00:52
2016/02/26-09:30:00 13:57:44 +153.6108 25.7771 2.2995 +15:37:17.8 -18:00:54
2016/02/26-09:35:00 14:02:45 +154.8565 26.1815 2.2665 +15:37:18.2 -18:00:55
2016/02/26-09:40:00 14:07:46 +156.1137 26.5676 2.2359 +15:37:18.5 -18:00:56
2016/02/26-09:45:00 14:12:47 +157.3819 26.9349 2.2076 +15:37:18.9 -18:00:57
2016/02/26-09:50:00 14:17:48 +158.6610 27.2830 2.1816 +15:37:19.2 -18:00:59
2016/02/26-09:55:00 14:22:48 +159.9505 27.6118 2.1576 +15:37:19.5 -18:01:00
2016/02/26-10:00:00 14:27:49 +161.2499 27.9207 2.1356 +15:37:19.9 -18:01:01
2016/02/26-10:05:00 14:32:50 +162.5589 28.2096 2.1155 +15:37:20.2 -18:01:03
2016/02/26-10:10:00 14:37:51 +163.8768 28.4781 2.0972 +15:37:20.6 -18:01:04
2016/02/26-10:15:00 14:42:52 +165.2031 28.7260 2.0806 +15:37:20.9 -18:01:05
2016/02/26-10:20:00 14:47:53 +166.5374 28.9530 2.0657 +15:37:21.3 -18:01:06
2016/02/26-10:25:00 14:52:53 +167.8789 29.1588 2.0524 +15:37:21.6 -18:01:08
2016/02/26-10:30:00 14:57:54 +169.2270 29.3433 2.0406 +15:37:22.0 -18:01:09
2016/02/26-10:35:00 15:02:55 +170.5810 29.5061 2.0304 +15:37:22.3 -18:01:10
2016/02/26-10:40:00 15:07:56 +171.9404 29.6473 2.0216 +15:37:22.6 -18:01:11
2016/02/26-10:45:00 15:12:57 +173.3042 29.7665 2.0142 +15:37:23.0 -18:01:13
2016/02/26-10:50:00 15:17:57 +174.6718 29.8637 2.0083 +15:37:23.3 -18:01:14
2016/02/26-10:55:00 15:22:58 +176.0425 29.9387 2.0037 +15:37:23.7 -18:01:15
2016/02/26-11:00:00 15:27:59 +177.4154 29.9915 2.0005 +15:37:24.0 -18:01:16
2016/02/26-11:05:00 15:33:00 +178.7898 30.0220 1.9987 +15:37:24.4 -18:01:18
2016/02/26-11:10:00 15:38:01 -179.8351 30.0301 1.9982 +15:37:24.7 -18:01:19
2016/02/26-11:15:00 15:43:02 -178.4602 30.0159 1.9990 +15:37:25.1 -18:01:20
2016/02/26-11:20:00 15:48:02 -177.0861 29.9794 2.0012 +15:37:25.4 -18:01:22
2016/02/26-11:25:00 15:53:03 -175.7137 29.9205 2.0048 +15:37:25.8 -18:01:23
2016/02/26-11:30:00 15:58:04 -174.3438 29.8395 2.0098 +15:37:26.1 -18:01:24
2016/02/26-11:35:00 16:03:05 -172.9772 29.7363 2.0161 +15:37:26.4 -18:01:25
2016/02/26-11:40:00 16:08:06 -171.6145 29.6111 2.0238 +15:37:26.8 -18:01:27
2016/02/26-11:45:00 16:13:06 -170.2566 29.4641 2.0330 +15:37:27.1 -18:01:28
2016/02/26-11:50:00 16:18:07 -168.9041 29.2953 2.0437 +15:37:27.5 -18:01:29
2016/02/26-11:55:00 16:23:08 -167.5578 29.1051 2.0559 +15:37:27.8 -18:01:30
2016/02/26-12:00:00 16:28:09 -166.2183 28.8935 2.0696 +15:37:28.2 -18:01:32
2016/02/26-12:05:00 16:33:10 -164.8862 28.6608 2.0850 +15:37:28.5 -18:01:33
2016/02/26-12:10:00 16:38:11 -163.5621 28.4073 2.1020 +15:37:28.9 -18:01:34
2016/02/26-12:15:00 16:43:11 -162.2466 28.1332 2.1208 +15:37:29.2 -18:01:36
2016/02/26-12:20:00 16:48:12 -160.9403 27.8388 2.1414 +15:37:29.5 -18:01:37
2016/02/26-12:25:00 16:53:13 -159.6436 27.5245 2.1639 +15:37:29.9 -18:01:38
2016/02/26-12:30:00 16:58:14 -158.3570 27.1904 2.1884 +15:37:30.2 -18:01:39
2016/02/26-12:35:00 17:03:15 -157.0809 26.8370 2.2151 +15:37:30.6 -18:01:41
2016/02/26-12:40:00 17:08:16 -155.8157 26.4646 2.2439 +15:37:30.9 -18:01:42
2016/02/26-12:45:00 17:13:16 -154.5618 26.0735 2.2752 +15:37:31.3 -18:01:43
2016/02/26-12:50:00 17:18:17 -153.3194 25.6641 2.3090 +15:37:31.6 -18:01:44
2016/02/26-12:55:00 17:23:18 -152.0888 25.2368 2.3454 +15:37:32.0 -18:01:46
2016/02/26-13:00:00 17:28:19 -150.8702 24.7918 2.3848 +15:37:32.3 -18:01:47
2016/02/26-13:05:00 17:33:20 -149.6639 24.3297 2.4273 +15:37:32.6 -18:01:48
2016/02/26-13:10:00 17:38:20 -148.4701 23.8507 2.4731 +15:37:33.0 -18:01:49
2016/02/26-13:15:00 17:43:21 -147.2887 23.3553 2.5225 +15:37:33.3 -18:01:51
2016/02/26-13:20:00 17:48:22 -146.1200 22.8438 2.5759 +15:37:33.7 -18:01:52
2016/02/26-13:25:00 17:53:23 -144.9639 22.3166 2.6335 +15:37:34.0 -18:01:53
2016/02/26-13:30:00 17:58:24 -143.8206 21.7741 2.6958 +15:37:34.4 -18:01:55
2016/02/26-13:35:00 18:03:25 -142.6900 21.2167 2.7632 +15:37:34.7 -18:01:56
2016/02/26-13:40:00 18:08:25 -141.5721 20.6448 2.8363 +15:37:35.1 -18:01:57
2016/02/26-13:45:00 18:13:26 -140.4669 20.0587 2.9156 +15:37:35.4 -18:01:58
2016/02/26-13:50:00 18:18:27 -139.3742 19.4589 3.0018 +15:37:35.7 -18:02:00
2016/02/26-13:55:00 18:23:28 -138.2941 18.8456 3.0958 +15:37:36.1 -18:02:01
2016/02/26-14:00:00 18:28:29 -137.2262 18.2194 3.1984 +15:37:36.4 -18:02:02
2016/02/26-14:05:00 18:33:29 -136.1706 17.5804 3.3108 +15:37:36.8 -18:02:03
2016/02/26-14:10:00 18:38:30 -135.1271 16.9292 3.4342 +15:37:37.1 -18:02:05
2016/02/26-14:15:00 18:43:31 -134.0955 16.2660 3.5702 +15:37:37.5 -18:02:06
2016/02/26-14:20:00 18:48:32 -133.0756 15.5912 3.7206 +15:37:37.8 -18:02:07
2016/02/26-14:25:00 18:53:33 -132.0671 14.9052 3.8877 +15:37:38.2 -18:02:08
2016/02/26-14:30:00 18:58:34 -131.0700 14.2083 4.0742 +15:37:38.5 -18:02:10
2016/02/26-14:35:00 19:03:34 -130.0839 13.5007 4.2834 +15:37:38.8 -18:02:11
2016/02/26-14:40:00 19:08:35 -129.1086 12.7829 4.5196 +15:37:39.2 -18:02:12
2016/02/26-14:45:00 19:13:36 -128.1439 12.0552 4.7880 +15:37:39.5 -18:02:13
2016/02/26-14:50:00 19:18:37 -127.1895 11.3178 5.0955 +15:37:39.9 -18:02:15
2016/02/26-14:55:00 19:23:38 -126.2452 10.5711 5.4509 +15:37:40.2 -18:02:16

