#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2016/02/11-12:55:00 16:24:10 +130.5224 10.4040 5.5375 +19:56:32.0 -20:46:06
2016/02/11-13:00:00 16:29:10 +131.4729 11.1053 5.1917 +19:56:33.1 -20:46:05
2016/02/11-13:05:00 16:34:11 +132.4334 11.7964 4.8915 +19:56:34.1 -20:46:04
2016/02/11-13:10:00 16:39:12 +133.4042 12.4769 4.6286 +19:56:35.2 -20:46:03
2016/02/11-13:15:00 16:44:13 +134.3854 13.1466 4.3967 +19:56:36.2 -20:46:02
2016/02/11-13:20:00 16:49:14 +135.3773 13.8050 4.1908 +19:56:37.3 -20:46:01
2016/02/11-13:25:00 16:54:15 +136.3799 14.4520 4.0069 +19:56:38.4 -20:46:00
2016/02/11-13:30:00 16:59:15 +137.3935 15.0871 3.8419 +19:56:39.4 -20:45:59
2016/02/11-13:35:00 17:04:16 +138.4181 15.7101 3.6932 +19:56:40.5 -20:45:58
2016/02/11-13:40:00 17:09:17 +139.4539 16.3205 3.5586 +19:56:41.5 -20:45:57
2016/02/11-13:45:00 17:14:18 +140.5010 16.9182 3.4364 +19:56:42.6 -20:45:56
2016/02/11-13:50:00 17:19:19 +141.5595 17.5026 3.3250 +19:56:43.7 -20:45:55
2016/02/11-13:55:00 17:24:20 +142.6294 18.0736 3.2233 +19:56:44.7 -20:45:54
2016/02/11-14:00:00 17:29:20 +143.7109 18.6307 3.1302 +19:56:45.8 -20:45:53
2016/02/11-14:05:00 17:34:21 +144.8038 19.1736 3.0448 +19:56:46.9 -20:45:52
2016/02/11-14:10:00 17:39:22 +145.9083 19.7019 2.9662 +19:56:47.9 -20:45:51
2016/02/11-14:15:00 17:44:23 +147.0243 20.2153 2.8939 +19:56:49.0 -20:45:50
2016/02/11-14:20:00 17:49:24 +148.1518 20.7135 2.8273 +19:56:50.0 -20:45:49
2016/02/11-14:25:00 17:54:24 +149.2906 21.1961 2.7658 +19:56:51.1 -20:45:48
2016/02/11-14:30:00 17:59:25 +150.4407 21.6627 2.7090 +19:56:52.2 -20:45:47
2016/02/11-14:35:00 18:04:26 +151.6020 22.1130 2.6565 +19:56:53.2 -20:45:46
2016/02/11-14:40:00 18:09:27 +152.7743 22.5467 2.6080 +19:56:54.3 -20:45:45
2016/02/11-14:45:00 18:14:28 +153.9574 22.9634 2.5632 +19:56:55.3 -20:45:44
2016/02/11-14:50:00 18:19:29 +155.1511 23.3628 2.5217 +19:56:56.4 -20:45:43
2016/02/11-14:55:00 18:24:29 +156.3551 23.7446 2.4835 +19:56:57.5 -20:45:42
2016/02/11-15:00:00 18:29:30 +157.5693 24.1084 2.4482 +19:56:58.5 -20:45:41
