#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2016/02/26-03:40:00 08:06:47 +104.8556 10.4770 5.4993 +12:55:53.1 -03:46:54
2016/02/26-03:45:00 08:11:48 +105.7223 11.3392 5.0860 +12:56:02.5 -03:47:40
2016/02/26-03:50:00 08:16:48 +106.5955 12.1977 4.7329 +12:56:12.0 -03:48:25
2016/02/26-03:55:00 08:21:49 +107.4756 13.0522 4.4279 +12:56:21.4 -03:49:11
2016/02/26-04:00:00 08:26:50 +108.3629 13.9025 4.1620 +12:56:30.8 -03:49:56
2016/02/26-04:05:00 08:31:51 +109.2581 14.7483 3.9281 +12:56:40.3 -03:50:42
2016/02/26-04:10:00 08:36:52 +110.1614 15.5894 3.7210 +12:56:49.7 -03:51:27
2016/02/26-04:15:00 08:41:53 +111.0734 16.4255 3.5365 +12:56:59.1 -03:52:12
2016/02/26-04:20:00 08:46:53 +111.9944 17.2564 3.3710 +12:57:08.6 -03:52:58
2016/02/26-04:25:00 08:51:54 +112.9250 18.0817 3.2219 +12:57:18.0 -03:53:43
2016/02/26-04:30:00 08:56:55 +113.8656 18.9013 3.0870 +12:57:27.5 -03:54:29
2016/02/26-04:35:00 09:01:56 +114.8167 19.7147 2.9644 +12:57:36.9 -03:55:14
2016/02/26-04:40:00 09:06:57 +115.7787 20.5218 2.8526 +12:57:46.3 -03:56:00
2016/02/26-04:45:00 09:11:57 +116.7521 21.3222 2.7502 +12:57:55.8 -03:56:45
2016/02/26-04:50:00 09:16:58 +117.7373 22.1155 2.6562 +12:58:05.2 -03:57:30
2016/02/26-04:55:00 09:21:59 +118.7349 22.9016 2.5697 +12:58:14.6 -03:58:16
2016/02/26-05:00:00 09:27:00 +119.7453 23.6799 2.4899 +12:58:24.1 -03:59:01
2016/02/26-05:05:00 09:32:01 +120.7690 24.4503 2.4160 +12:58:33.5 -03:59:47
2016/02/26-05:10:00 09:37:02 +121.8064 25.2122 2.3476 +12:58:43.0 -04:00:32
2016/02/26-05:15:00 09:42:02 +122.8581 25.9654 2.2840 +12:58:52.4 -04:01:17
2016/02/26-05:20:00 09:47:03 +123.9244 26.7095 2.2249 +12:59:01.8 -04:02:03
2016/02/26-05:25:00 09:52:04 +125.0059 27.4440 2.1698 +12:59:11.3 -04:02:48
2016/02/26-05:30:00 09:57:05 +126.1031 28.1687 2.1183 +12:59:20.7 -04:03:33
2016/02/26-05:35:00 10:02:06 +127.2163 28.8830 2.0703 +12:59:30.1 -04:04:19
2016/02/26-05:40:00 10:07:07 +128.3460 29.5865 2.0254 +12:59:39.6 -04:05:04
2016/02/26-05:45:00 10:12:07 +129.4926 30.2788 1.9833 +12:59:49.0 -04:05:49
2016/02/26-05:50:00 10:17:08 +130.6566 30.9594 1.9439 +12:59:58.5 -04:06:35
2016/02/26-05:55:00 10:22:09 +131.8383 31.6279 1.9069 +13:00:07.9 -04:07:20
2016/02/26-06:00:00 10:27:10 +133.0382 32.2838 1.8723 +13:00:17.3 -04:08:05
2016/02/26-06:05:00 10:32:11 +134.2565 32.9267 1.8397 +13:00:26.8 -04:08:50
2016/02/26-06:10:00 10:37:11 +135.4936 33.5559 1.8091 +13:00:36.2 -04:09:36
2016/02/26-06:15:00 10:42:12 +136.7498 34.1710 1.7804 +13:00:45.7 -04:10:21
2016/02/26-06:20:00 10:47:13 +138.0253 34.7715 1.7534 +13:00:55.1 -04:11:06
2016/02/26-06:25:00 10:52:14 +139.3204 35.3569 1.7281 +13:01:04.5 -04:11:51
2016/02/26-06:30:00 10:57:15 +140.6352 35.9266 1.7043 +13:01:14.0 -04:12:37
2016/02/26-06:35:00 11:02:16 +141.9699 36.4800 1.6820 +13:01:23.4 -04:13:22
2016/02/26-06:40:00 11:07:16 +143.3246 37.0167 1.6610 +13:01:32.9 -04:14:07
2016/02/26-06:45:00 11:12:17 +144.6992 37.5360 1.6413 +13:01:42.3 -04:14:52
2016/02/26-06:50:00 11:17:18 +146.0938 38.0374 1.6229 +13:01:51.7 -04:15:38
2016/02/26-06:55:00 11:22:19 +147.5082 38.5204 1.6057 +13:02:01.2 -04:16:23
2016/02/26-07:00:00 11:27:20 +148.9423 38.9844 1.5896 +13:02:10.6 -04:17:08
2016/02/26-07:05:00 11:32:20 +150.3958 39.4288 1.5745 +13:02:20.1 -04:17:53
2016/02/26-07:10:00 11:37:21 +151.8684 39.8530 1.5605 +13:02:29.5 -04:18:38
2016/02/26-07:15:00 11:42:22 +153.3596 40.2566 1.5475 +13:02:38.9 -04:19:23
2016/02/26-07:20:00 11:47:23 +154.8692 40.6390 1.5354 +13:02:48.4 -04:20:09
2016/02/26-07:25:00 11:52:24 +156.3963 40.9996 1.5243 +13:02:57.8 -04:20:54
2016/02/26-07:30:00 11:57:25 +157.9405 41.3380 1.5140 +13:03:07.3 -04:21:39
2016/02/26-07:35:00 12:02:25 +159.5010 41.6536 1.5046 +13:03:16.7 -04:22:24
