#date-time(UTC) LST Az(deg) El(deg) sec(z)
2016/03/17-00:00:00 05:45:02 +110.1111 61.9709 1.1329
2016/03/17-00:05:00 05:50:03 +111.5838 62.8422 1.1239
2016/03/17-00:10:00 05:55:03 +113.1259 63.7043 1.1154
2016/03/17-00:15:00 06:00:04 +114.7437 64.5564 1.1074
2016/03/17-00:20:00 06:05:05 +116.4443 65.3972 1.0998
2016/03/17-00:25:00 06:10:06 +118.2354 66.2253 1.0927
2016/03/17-00:30:00 06:15:07 +120.1252 67.0393 1.0860
2016/03/17-00:35:00 06:20:08 +122.1229 67.8374 1.0798
2016/03/17-00:40:00 06:25:08 +124.2382 68.6177 1.0739
2016/03/17-00:45:00 06:30:09 +126.4814 69.3780 1.0685
2016/03/17-00:50:00 06:35:10 +128.8634 70.1159 1.0634
2016/03/17-00:55:00 06:40:11 +131.3955 70.8288 1.0587
2016/03/17-01:00:00 06:45:12 +134.0890 71.5135 1.0544
2016/03/17-01:05:00 06:50:12 +136.9549 72.1668 1.0505
2016/03/17-01:10:00 06:55:13 +140.0034 72.7849 1.0469
2016/03/17-01:15:00 07:00:14 +143.2431 73.3638 1.0437
2016/03/17-01:20:00 07:05:15 +146.6799 73.8992 1.0408
2016/03/17-01:25:00 07:10:16 +150.3163 74.3864 1.0383
2016/03/17-01:30:00 07:15:17 +154.1501 74.8209 1.0361
2016/03/17-01:35:00 07:20:17 +158.1728 75.1978 1.0343
2016/03/17-01:40:00 07:25:18 +162.3693 75.5126 1.0328
2016/03/17-01:45:00 07:30:19 +166.7167 75.7612 1.0317
2016/03/17-01:50:00 07:35:20 +171.1845 75.9400 1.0309
2016/03/17-01:55:00 07:40:21 +175.7359 76.0462 1.0304
2016/03/17-02:00:00 07:45:21 -179.6714 76.0782 1.0303
2016/03/17-02:05:00 07:50:22 -175.0818 76.0355 1.0305
2016/03/17-02:10:00 07:55:23 -170.5399 75.9188 1.0310
2016/03/17-02:15:00 08:00:24 -166.0872 75.7299 1.0318
2016/03/17-02:20:00 08:05:25 -161.7597 75.4716 1.0330
2016/03/17-02:25:00 08:10:26 -157.5868 75.1476 1.0346
2016/03/17-02:30:00 08:15:26 -153.5903 74.7622 1.0364
2016/03/17-02:35:00 08:20:27 -149.7844 74.3199 1.0387
2016/03/17-02:40:00 08:25:28 -146.1765 73.8255 1.0412
2016/03/17-02:45:00 08:30:29 -142.7681 73.2836 1.0441
