#date-time(UTC) LST Az(deg) El(deg) sec(z)
2016/03/17-00:00:00 05:45:02 +137.1754 45.2069 1.4091
2016/03/17-00:05:00 05:50:03 +138.7181 45.8313 1.3941
2016/03/17-00:10:00 05:55:03 +140.2936 46.4367 1.3800
2016/03/17-00:15:00 06:00:04 +141.9021 47.0222 1.3668
2016/03/17-00:20:00 06:05:05 +143.5440 47.5868 1.3545
2016/03/17-00:25:00 06:10:06 +145.2194 48.1298 1.3429
2016/03/17-00:30:00 06:15:07 +146.9282 48.6501 1.3321
2016/03/17-00:35:00 06:20:08 +148.6704 49.1469 1.3221
2016/03/17-00:40:00 06:25:08 +150.4454 49.6192 1.3128
2016/03/17-00:45:00 06:30:09 +152.2529 50.0662 1.3041
2016/03/17-00:50:00 06:35:10 +154.0920 50.4870 1.2962
2016/03/17-00:55:00 06:40:11 +155.9617 50.8806 1.2889
2016/03/17-01:00:00 06:45:12 +157.8611 51.2462 1.2823
2016/03/17-01:05:00 06:50:12 +159.7885 51.5829 1.2763
2016/03/17-01:10:00 06:55:13 +161.7424 51.8901 1.2709
2016/03/17-01:15:00 07:00:14 +163.7209 52.1668 1.2661
2016/03/17-01:20:00 07:05:15 +165.7219 52.4125 1.2620
2016/03/17-01:25:00 07:10:16 +167.7431 52.6265 1.2583
2016/03/17-01:30:00 07:15:17 +169.7820 52.8081 1.2553
2016/03/17-01:35:00 07:20:17 +171.8360 52.9571 1.2528
2016/03/17-01:40:00 07:25:18 +173.9021 53.0728 1.2509
2016/03/17-01:45:00 07:30:19 +175.9775 53.1550 1.2496
2016/03/17-01:50:00 07:35:20 +178.0589 53.2035 1.2488
2016/03/17-01:55:00 07:40:21 -179.8567 53.2181 1.2486
2016/03/17-02:00:00 07:45:21 -177.7725 53.1989 1.2489
2016/03/17-02:05:00 07:50:22 -175.6917 53.1457 1.2497
2016/03/17-02:10:00 07:55:23 -173.6175 53.0589 1.2512
2016/03/17-02:15:00 08:00:24 -171.5529 52.9385 1.2531
2016/03/17-02:20:00 08:05:25 -169.5008 52.7851 1.2557
2016/03/17-02:25:00 08:10:26 -167.4642 52.5989 1.2588
2016/03/17-02:30:00 08:15:26 -165.4456 52.3806 1.2625
2016/03/17-02:35:00 08:20:27 -163.4475 52.1306 1.2668
2016/03/17-02:40:00 08:25:28 -161.4723 51.8496 1.2716
2016/03/17-02:45:00 08:30:29 -159.5219 51.5384 1.2771
2016/03/17-02:50:00 08:35:30 -157.5983 51.1976 1.2832
2016/03/17-02:55:00 08:40:31 -155.7029 50.8281 1.2899
2016/03/17-03:00:00 08:45:31 -153.8373 50.4307 1.2973
2016/03/17-03:05:00 08:50:32 -152.0025 50.0063 1.3053
2016/03/17-03:10:00 08:55:33 -150.1995 49.5558 1.3140
2016/03/17-03:15:00 09:00:34 -148.4289 49.0800 1.3234
2016/03/17-03:20:00 09:05:35 -146.6914 48.5799 1.3335
2016/03/17-03:25:00 09:10:35 -144.9871 48.0564 1.3444
2016/03/17-03:30:00 09:15:36 -143.3164 47.5105 1.3561
2016/03/17-03:35:00 09:20:37 -141.6791 46.9429 1.3686
2016/03/17-03:40:00 09:25:38 -140.0751 46.3547 1.3819
2016/03/17-03:45:00 09:30:39 -138.5041 45.7466 1.3961
2016/03/17-03:50:00 09:35:40 -136.9658 45.1196 1.4113
2016/03/17-03:55:00 09:40:40 -135.4597 44.4745 1.4274
2016/03/17-04:00:00 09:45:41 -133.9852 43.8121 1.4445
2016/03/17-04:05:00 09:50:42 -132.5416 43.1332 1.4626
2016/03/17-04:10:00 09:55:43 -131.1282 42.4386 1.4819
2016/03/17-04:15:00 10:00:44 -129.7443 41.7291 1.5024
