#date-time(UTC) LST Az(deg) El(deg) sec(z)
2016/03/17-00:00:00 05:45:02 -170.3657 39.3997 1.5755
2016/03/17-00:05:00 05:50:03 -168.7770 39.2310 1.5812
2016/03/17-00:10:00 05:55:03 -167.1972 39.0369 1.5878
2016/03/17-00:15:00 06:00:04 -165.6274 38.8179 1.5953
2016/03/17-00:20:00 06:05:05 -164.0687 38.5742 1.6038
2016/03/17-00:25:00 06:10:06 -162.5221 38.3063 1.6133
2016/03/17-00:30:00 06:15:07 -160.9885 38.0144 1.6237
2016/03/17-00:35:00 06:20:08 -159.4687 37.6990 1.6353
2016/03/17-00:40:00 06:25:08 -157.9636 37.3606 1.6479
2016/03/17-00:45:00 06:30:09 -156.4737 36.9997 1.6617
2016/03/17-00:50:00 06:35:10 -154.9999 36.6166 1.6766
2016/03/17-00:55:00 06:40:11 -153.5425 36.2119 1.6927
2016/03/17-01:00:00 06:45:12 -152.1021 35.7861 1.7101
2016/03/17-01:05:00 06:50:12 -150.6791 35.3397 1.7288
2016/03/17-01:10:00 06:55:13 -149.2738 34.8732 1.7490
2016/03/17-01:15:00 07:00:14 -147.8865 34.3872 1.7706
2016/03/17-01:20:00 07:05:15 -146.5174 33.8822 1.7938
2016/03/17-01:25:00 07:10:16 -145.1666 33.3588 1.8186
2016/03/17-01:30:00 07:15:17 -143.8342 32.8174 1.8451
2016/03/17-01:35:00 07:20:17 -142.5202 32.2587 1.8736
2016/03/17-01:40:00 07:25:18 -141.2246 31.6831 1.9040
2016/03/17-01:45:00 07:30:19 -139.9473 31.0912 1.9365
2016/03/17-01:50:00 07:35:20 -138.6882 30.4835 1.9713
2016/03/17-01:55:00 07:40:21 -137.4471 29.8605 2.0085
2016/03/17-02:00:00 07:45:21 -136.2239 29.2228 2.0483
2016/03/17-02:05:00 07:50:22 -135.0182 28.5708 2.0910
2016/03/17-02:10:00 07:55:23 -133.8299 27.9050 2.1367
2016/03/17-02:15:00 08:00:24 -132.6586 27.2259 2.1858
2016/03/17-02:20:00 08:05:25 -131.5041 26.5340 2.2385
2016/03/17-02:25:00 08:10:26 -130.3659 25.8297 2.2952
2016/03/17-02:30:00 08:15:26 -129.2437 25.1135 2.3562
2016/03/17-02:35:00 08:20:27 -128.1372 24.3859 2.4220
2016/03/17-02:40:00 08:25:28 -127.0459 23.6472 2.4931
2016/03/17-02:45:00 08:30:29 -125.9695 22.8979 2.5701
2016/03/17-02:50:00 08:35:30 -124.9075 22.1384 2.6536
2016/03/17-02:55:00 08:40:31 -123.8596 21.3690 2.7444
2016/03/17-03:00:00 08:45:31 -122.8252 20.5902 2.8435
2016/03/17-03:05:00 08:50:32 -121.8040 19.8024 2.9518
2016/03/17-03:10:00 08:55:33 -120.7955 19.0058 3.0707
2016/03/17-03:15:00 09:00:34 -119.7994 18.2009 3.2015
2016/03/17-03:20:00 09:05:35 -118.8150 17.3880 3.3463
2016/03/17-03:25:00 09:10:35 -117.8421 16.5674 3.5070
2016/03/17-03:30:00 09:15:36 -116.8801 15.7394 3.6865
2016/03/17-03:35:00 09:20:37 -115.9287 14.9045 3.8879
2016/03/17-03:40:00 09:25:38 -114.9873 14.0627 4.1155
2016/03/17-03:45:00 09:30:39 -114.0555 13.2146 4.3745
2016/03/17-03:50:00 09:35:40 -113.1330 12.3603 4.6716
2016/03/17-03:55:00 09:40:40 -112.2192 11.5001 5.0158
2016/03/17-04:00:00 09:45:41 -111.3137 10.6343 5.4189

