#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2016/02/26-08:40:00 13:07:36 +130.0226 10.5441 5.4647 +16:41:16.9 -20:21:33
2016/02/26-08:45:00 13:12:37 +130.9769 11.2529 5.1245 +16:41:16.9 -20:21:33
2016/02/26-08:50:00 13:17:38 +131.9414 11.9514 4.8290 +16:41:17.0 -20:21:33
2016/02/26-08:55:00 13:22:39 +132.9163 12.6394 4.5701 +16:41:17.0 -20:21:33
2016/02/26-09:00:00 13:27:39 +133.9017 13.3166 4.3416 +16:41:17.0 -20:21:33
2016/02/26-09:05:00 13:32:40 +134.8978 13.9825 4.1386 +16:41:17.1 -20:21:33
2016/02/26-09:10:00 13:37:41 +135.9049 14.6370 3.9574 +16:41:17.1 -20:21:33
2016/02/26-09:15:00 13:42:42 +136.9230 15.2796 3.7946 +16:41:17.1 -20:21:33
2016/02/26-09:20:00 13:47:43 +137.9524 15.9101 3.6479 +16:41:17.2 -20:21:33
2016/02/26-09:25:00 13:52:43 +138.9932 16.5281 3.5151 +16:41:17.2 -20:21:33
2016/02/26-09:30:00 13:57:44 +140.0454 17.1332 3.3945 +16:41:17.3 -20:21:33
2016/02/26-09:35:00 14:02:45 +141.1093 17.7251 3.2846 +16:41:17.3 -20:21:33
2016/02/26-09:40:00 14:07:46 +142.1847 18.3035 3.1842 +16:41:17.3 -20:21:33
2016/02/26-09:45:00 14:12:47 +143.2719 18.8680 3.0923 +16:41:17.4 -20:21:33
2016/02/26-09:50:00 14:17:48 +144.3709 19.4182 3.0079 +16:41:17.4 -20:21:33
2016/02/26-09:55:00 14:22:48 +145.4816 19.9538 2.9303 +16:41:17.5 -20:21:33
2016/02/26-10:00:00 14:27:49 +146.6041 20.4744 2.8589 +16:41:17.5 -20:21:34
2016/02/26-10:05:00 14:32:50 +147.7382 20.9798 2.7930 +16:41:17.5 -20:21:34
2016/02/26-10:10:00 14:37:51 +148.8840 21.4694 2.7322 +16:41:17.6 -20:21:34
2016/02/26-10:15:00 14:42:52 +150.0414 21.9430 2.6761 +16:41:17.6 -20:21:34
2016/02/26-10:20:00 14:47:53 +151.2102 22.4002 2.6242 +16:41:17.6 -20:21:34
2016/02/26-10:25:00 14:52:53 +152.3902 22.8407 2.5762 +16:41:17.7 -20:21:34
2016/02/26-10:30:00 14:57:54 +153.5814 23.2641 2.5318 +16:41:17.7 -20:21:34
2016/02/26-10:35:00 15:02:55 +154.7835 23.6700 2.4909 +16:41:17.8 -20:21:34
2016/02/26-10:40:00 15:07:56 +155.9961 24.0582 2.4530 +16:41:17.8 -20:21:34
2016/02/26-10:45:00 15:12:57 +157.2192 24.4282 2.4181 +16:41:17.8 -20:21:34
2016/02/26-10:50:00 15:17:57 +158.4522 24.7799 2.3859 +16:41:17.9 -20:21:34
2016/02/26-10:55:00 15:22:58 +159.6950 25.1128 2.3563 +16:41:17.9 -20:21:34
2016/02/26-11:00:00 15:27:59 +160.9471 25.4267 2.3291 +16:41:18.0 -20:21:34
2016/02/26-11:05:00 15:33:00 +162.2081 25.7212 2.3042 +16:41:18.0 -20:21:34
2016/02/26-11:10:00 15:38:01 +163.4775 25.9962 2.2815 +16:41:18.0 -20:21:34
2016/02/26-11:15:00 15:43:02 +164.7550 26.2513 2.2609 +16:41:18.1 -20:21:34
2016/02/26-11:20:00 15:48:02 +166.0399 26.4863 2.2422 +16:41:18.1 -20:21:34
2016/02/26-11:25:00 15:53:03 +167.3318 26.7009 2.2255 +16:41:18.1 -20:21:34
2016/02/26-11:30:00 15:58:04 +168.6300 26.8950 2.2106 +16:41:18.2 -20:21:34
2016/02/26-11:35:00 16:03:05 +169.9341 27.0684 2.1975 +16:41:18.2 -20:21:34
2016/02/26-11:40:00 16:08:06 +171.2433 27.2208 2.1862 +16:41:18.3 -20:21:34
2016/02/26-11:45:00 16:13:06 +172.5571 27.3521 2.1765 +16:41:18.3 -20:21:35
2016/02/26-11:50:00 16:18:07 +173.8748 27.4622 2.1684 +16:41:18.3 -20:21:35
2016/02/26-11:55:00 16:23:08 +175.1958 27.5510 2.1620 +16:41:18.4 -20:21:35
2016/02/26-12:00:00 16:28:09 +176.5193 27.6183 2.1571 +16:41:18.4 -20:21:35
2016/02/26-12:05:00 16:33:10 +177.8446 27.6641 2.1538 +16:41:18.5 -20:21:35
2016/02/26-12:10:00 16:38:11 +179.1711 27.6884 2.1521 +16:41:18.5 -20:21:35
2016/02/26-12:15:00 16:43:11 -179.5020 27.6910 2.1519 +16:41:18.5 -20:21:35
2016/02/26-12:20:00 16:48:12 -178.1753 27.6721 2.1533 +16:41:18.6 -20:21:35
2016/02/26-12:25:00 16:53:13 -176.8496 27.6317 2.1562 +16:41:18.6 -20:21:35
2016/02/26-12:30:00 16:58:14 -175.5256 27.5697 2.1606 +16:41:18.6 -20:21:35
2016/02/26-12:35:00 17:03:15 -174.2040 27.4862 2.1667 +16:41:18.7 -20:21:35
2016/02/26-12:40:00 17:08:16 -172.8854 27.3814 2.1743 +16:41:18.7 -20:21:35
2016/02/26-12:45:00 17:13:16 -171.5706 27.2553 2.1836 +16:41:18.8 -20:21:35
2016/02/26-12:50:00 17:18:17 -170.2602 27.1082 2.1946 +16:41:18.8 -20:21:35
2016/02/26-12:55:00 17:23:18 -168.9548 26.9400 2.2072 +16:41:18.8 -20:21:35
2016/02/26-13:00:00 17:28:19 -167.6550 26.7510 2.2217 +16:41:18.9 -20:21:35
2016/02/26-13:05:00 17:33:20 -166.3615 26.5415 2.2379 +16:41:18.9 -20:21:35
2016/02/26-13:10:00 17:38:20 -165.0748 26.3115 2.2561 +16:41:19.0 -20:21:35
2016/02/26-13:15:00 17:43:21 -163.7955 26.0614 2.2762 +16:41:19.0 -20:21:35
2016/02/26-13:20:00 17:48:22 -162.5240 25.7913 2.2984 +16:41:19.0 -20:21:35
2016/02/26-13:25:00 17:53:23 -161.2609 25.5016 2.3227 +16:41:19.1 -20:21:35
2016/02/26-13:30:00 17:58:24 -160.0065 25.1925 2.3493 +16:41:19.1 -20:21:36
2016/02/26-13:35:00 18:03:25 -158.7614 24.8643 2.3783 +16:41:19.1 -20:21:36
2016/02/26-13:40:00 18:08:25 -157.5259 24.5172 2.4098 +16:41:19.2 -20:21:36
2016/02/26-13:45:00 18:13:26 -156.3004 24.1517 2.4441 +16:41:19.2 -20:21:36
2016/02/26-13:50:00 18:18:27 -155.0851 23.7680 2.4812 +16:41:19.3 -20:21:36
2016/02/26-13:55:00 18:23:28 -153.8804 23.3664 2.5214 +16:41:19.3 -20:21:36
2016/02/26-14:00:00 18:28:29 -152.6865 22.9474 2.5649 +16:41:19.3 -20:21:36
2016/02/26-14:05:00 18:33:29 -151.5037 22.5111 2.6119 +16:41:19.4 -20:21:36
2016/02/26-14:10:00 18:38:30 -150.3321 22.0580 2.6628 +16:41:19.4 -20:21:36
2016/02/26-14:15:00 18:43:31 -149.1719 21.5884 2.7179 +16:41:19.5 -20:21:36
2016/02/26-14:20:00 18:48:32 -148.0232 21.1027 2.7775 +16:41:19.5 -20:21:36
2016/02/26-14:25:00 18:53:33 -146.8861 20.6013 2.8420 +16:41:19.5 -20:21:36
2016/02/26-14:30:00 18:58:34 -145.7608 20.0844 2.9120 +16:41:19.6 -20:21:36
2016/02/26-14:35:00 19:03:34 -144.6471 19.5525 2.9880 +16:41:19.6 -20:21:36
2016/02/26-14:40:00 19:08:35 -143.5453 19.0058 3.0706 +16:41:19.6 -20:21:36
2016/02/26-14:45:00 19:13:36 -142.4552 18.4449 3.1606 +16:41:19.7 -20:21:36
2016/02/26-14:50:00 19:18:37 -141.3768 17.8699 3.2589 +16:41:19.7 -20:21:36
2016/02/26-14:55:00 19:23:38 -140.3101 17.2813 3.3663 +16:41:19.8 -20:21:36
2016/02/26-15:00:00 19:28:39 -139.2550 16.6794 3.4841 +16:41:19.8 -20:21:36
2016/02/26-15:05:00 19:33:39 -138.2114 16.0646 3.6137 +16:41:19.8 -20:21:36
2016/02/26-15:10:00 19:38:40 -137.1792 15.4372 3.7568 +16:41:19.9 -20:21:36
2016/02/26-15:15:00 19:43:41 -136.1583 14.7976 3.9154 +16:41:19.9 -20:21:37
2016/02/26-15:20:00 19:48:42 -135.1485 14.1460 4.0918 +16:41:20.0 -20:21:37
2016/02/26-15:25:00 19:53:43 -134.1496 13.4829 4.2890 +16:41:20.0 -20:21:37
2016/02/26-15:30:00 19:58:43 -133.1616 12.8085 4.5108 +16:41:20.0 -20:21:37
2016/02/26-15:35:00 20:03:44 -132.1842 12.1231 4.7616 +16:41:20.1 -20:21:37
2016/02/26-15:40:00 20:08:45 -131.2172 11.4272 5.0474 +16:41:20.1 -20:21:37
2016/02/26-15:45:00 20:13:46 -130.2603 10.7209 5.3756 +16:41:20.1 -20:21:37
