#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/04/22-05:15:00 13:19:49 +139.7162 10.3404 5.5712
2015/04/22-05:20:00 13:24:49 +140.6883 10.9373 5.2705
2015/04/22-05:25:00 13:29:50 +141.6702 11.5219 5.0065
2015/04/22-05:30:00 13:34:51 +142.6617 12.0938 4.7730
2015/04/22-05:35:00 13:39:52 +143.6630 12.6529 4.5653
2015/04/22-05:40:00 13:44:53 +144.6741 13.1988 4.3796
2015/04/22-05:45:00 13:49:53 +145.6950 13.7312 4.2129
2015/04/22-05:50:00 13:54:54 +146.7257 14.2498 4.0626
2015/04/22-05:55:00 13:59:55 +147.7661 14.7543 3.9266
2015/04/22-06:00:00 14:04:56 +148.8162 15.2445 3.8032
2015/04/22-06:05:00 14:09:57 +149.8760 15.7199 3.6909
2015/04/22-06:10:00 14:14:58 +150.9454 16.1803 3.5886
2015/04/22-06:15:00 14:19:58 +152.0242 16.6255 3.4951
2015/04/22-06:20:00 14:24:59 +153.1123 17.0551 3.4096
2015/04/22-06:25:00 14:30:00 +154.2095 17.4689 3.3313
2015/04/22-06:30:00 14:35:01 +155.3158 17.8664 3.2595
2015/04/22-06:35:00 14:40:02 +156.4308 18.2476 3.1936
2015/04/22-06:40:00 14:45:02 +157.5544 18.6121 3.1332
2015/04/22-06:45:00 14:50:03 +158.6864 18.9596 3.0779
2015/04/22-06:50:00 14:55:04 +159.8264 19.2899 3.0271
2015/04/22-06:55:00 15:00:05 +160.9741 19.6027 2.9807
2015/04/22-07:00:00 15:05:06 +162.1293 19.8978 2.9382
2015/04/22-07:05:00 15:10:07 +163.2916 20.1749 2.8995
2015/04/22-07:10:00 15:15:07 +164.4606 20.4339 2.8643
2015/04/22-07:15:00 15:20:08 +165.6360 20.6745 2.8324
2015/04/22-07:20:00 15:25:09 +166.8174 20.8965 2.8036
2015/04/22-07:25:00 15:30:10 +168.0043 21.0998 2.7778
2015/04/22-07:30:00 15:35:11 +169.1963 21.2841 2.7549
2015/04/22-07:35:00 15:40:12 +170.3929 21.4493 2.7346
2015/04/22-07:40:00 15:45:12 +171.5937 21.5953 2.7170
2015/04/22-07:45:00 15:50:13 +172.7982 21.7219 2.7020
2015/04/22-07:50:00 15:55:14 +174.0058 21.8290 2.6893
2015/04/22-07:55:00 16:00:15 +175.2161 21.9166 2.6791
2015/04/22-08:00:00 16:05:16 +176.4285 21.9846 2.6712
2015/04/22-08:05:00 16:10:16 +177.6425 22.0328 2.6657
2015/04/22-08:10:00 16:15:17 +178.8576 22.0613 2.6624
2015/04/22-08:15:00 16:20:18 -179.9269 22.0700 2.6614
2015/04/22-08:20:00 16:25:19 -178.7113 22.0589 2.6627
2015/04/22-08:25:00 16:30:20 -177.4964 22.0280 2.6662
2015/04/22-08:30:00 16:35:21 -176.2825 21.9774 2.6721
2015/04/22-08:35:00 16:40:21 -175.0704 21.9071 2.6802
2015/04/22-08:40:00 16:45:22 -173.8604 21.8172 2.6907
2015/04/22-08:45:00 16:50:23 -172.6531 21.7077 2.7036
2015/04/22-08:50:00 16:55:24 -171.4490 21.5787 2.7190
2015/04/22-08:55:00 17:00:25 -170.2487 21.4304 2.7369
2015/04/22-09:00:00 17:05:25 -169.0526 21.2629 2.7575
2015/04/22-09:05:00 17:10:26 -167.8612 21.0763 2.7808
2015/04/22-09:10:00 17:15:27 -166.6750 20.8708 2.8069
2015/04/22-09:15:00 17:20:28 -165.4943 20.6465 2.8361
2015/04/22-09:20:00 17:25:29 -164.3196 20.4037 2.8683
2015/04/22-09:25:00 17:30:30 -163.1514 20.1425 2.9040
2015/04/22-09:30:00 17:35:30 -161.9899 19.8632 2.9431
2015/04/22-09:35:00 17:40:31 -160.8356 19.5660 2.9860
2015/04/22-09:40:00 17:45:32 -159.6888 19.2511 3.0330
2015/04/22-09:45:00 17:50:33 -158.5498 18.9187 3.0843
2015/04/22-09:50:00 17:55:34 -157.4188 18.5691 3.1402
2015/04/22-09:55:00 18:00:35 -156.2962 18.2026 3.2012
2015/04/22-10:00:00 18:05:35 -155.1822 17.8195 3.2678
