#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/04/22-07:50:00 15:55:14 +138.2830 10.6233 5.4244
2015/04/22-07:55:00 16:00:15 +139.2560 11.2379 5.1313
2015/04/22-08:00:00 16:05:16 +140.2389 11.8404 4.8736
2015/04/22-08:05:00 16:10:16 +141.2318 12.4306 4.6456
2015/04/22-08:10:00 16:15:17 +142.2346 13.0081 4.4427
2015/04/22-08:15:00 16:20:18 +143.2475 13.5727 4.2611
2015/04/22-08:20:00 16:25:19 +144.2705 14.1240 4.0980
2015/04/22-08:25:00 16:30:20 +145.3036 14.6617 3.9508
2015/04/22-08:30:00 16:35:21 +146.3468 15.1855 3.8176
2015/04/22-08:35:00 16:40:21 +147.4001 15.6951 3.6966
2015/04/22-08:40:00 16:45:22 +148.4634 16.1902 3.5865
2015/04/22-08:45:00 16:50:23 +149.5367 16.6705 3.4859
2015/04/22-08:50:00 16:55:24 +150.6199 17.1356 3.3940
2015/04/22-08:55:00 17:00:25 +151.7128 17.5853 3.3099
2015/04/22-09:00:00 17:05:25 +152.8154 18.0193 3.2327
2015/04/22-09:05:00 17:10:26 +153.9276 18.4373 3.1619
2015/04/22-09:10:00 17:15:27 +155.0490 18.8389 3.0969
2015/04/22-09:15:00 17:20:28 +156.1795 19.2239 3.0371
2015/04/22-09:20:00 17:25:29 +157.3190 19.5920 2.9822
2015/04/22-09:25:00 17:30:30 +158.4670 19.9430 2.9318
2015/04/22-09:30:00 17:35:30 +159.6235 20.2765 2.8856
2015/04/22-09:35:00 17:40:31 +160.7880 20.5922 2.8432
2015/04/22-09:40:00 17:45:32 +161.9602 20.8901 2.8044
2015/04/22-09:45:00 17:50:33 +163.1398 21.1697 2.7691
2015/04/22-09:50:00 17:55:34 +164.3264 21.4309 2.7369
2015/04/22-09:55:00 18:00:35 +165.5196 21.6735 2.7077
2015/04/22-10:00:00 18:05:35 +166.7190 21.8972 2.6814
