#date-time(UTC) LST Az(deg) El(deg) sec(z)
2016/03/17-00:00:00 05:45:02 +163.4276 29.7067 2.0179
2016/03/17-00:05:00 05:50:03 +164.7797 29.9620 2.0023
2016/03/17-00:10:00 05:55:03 +166.1403 30.1961 1.9882
2016/03/17-00:15:00 06:00:04 +167.5086 30.4086 1.9756
2016/03/17-00:20:00 06:05:05 +168.8841 30.5993 1.9645
2016/03/17-00:25:00 06:10:06 +170.2660 30.7680 1.9548
2016/03/17-00:30:00 06:15:07 +171.6536 30.9144 1.9464
2016/03/17-00:35:00 06:20:08 +173.0461 31.0386 1.9394
2016/03/17-00:40:00 06:25:08 +174.4428 31.1401 1.9337
2016/03/17-00:45:00 06:30:09 +175.8428 31.2191 1.9293
2016/03/17-00:50:00 06:35:10 +177.2453 31.2753 1.9262
2016/03/17-00:55:00 06:40:11 +178.6494 31.3087 1.9244
2016/03/17-01:00:00 06:45:12 -179.9456 31.3192 1.9238
2016/03/17-01:05:00 06:50:12 -178.5407 31.3069 1.9245
2016/03/17-01:10:00 06:55:13 -177.1366 31.2717 1.9264
2016/03/17-01:15:00 07:00:14 -175.7343 31.2138 1.9296
2016/03/17-01:20:00 07:05:15 -174.3346 31.1331 1.9341
2016/03/17-01:25:00 07:10:16 -172.9382 31.0297 1.9399
2016/03/17-01:30:00 07:15:17 -171.5460 30.9039 1.9470
2016/03/17-01:35:00 07:20:17 -170.1588 30.7557 1.9555
2016/03/17-01:40:00 07:25:18 -168.7774 30.5853 1.9653
2016/03/17-01:45:00 07:30:19 -167.4024 30.3929 1.9766
2016/03/17-01:50:00 07:35:20 -166.0347 30.1787 1.9893
2016/03/17-01:55:00 07:40:21 -164.6748 29.9430 2.0035
2016/03/17-02:00:00 07:45:21 -163.3234 29.6860 2.0192
2016/03/17-02:05:00 07:50:22 -161.9811 29.4081 2.0366
2016/03/17-02:10:00 07:55:23 -160.6485 29.1094 2.0556
2016/03/17-02:15:00 08:00:24 -159.3260 28.7904 2.0764
2016/03/17-02:20:00 08:05:25 -158.0143 28.4513 2.0990
2016/03/17-02:25:00 08:10:26 -156.7137 28.0925 2.1236
2016/03/17-02:30:00 08:15:26 -155.4246 27.7143 2.1502
2016/03/17-02:35:00 08:20:27 -154.1473 27.3172 2.1790
2016/03/17-02:40:00 08:25:28 -152.8823 26.9014 2.2102
2016/03/17-02:45:00 08:30:29 -151.6297 26.4674 2.2437
2016/03/17-02:50:00 08:35:30 -150.3899 26.0156 2.2799
2016/03/17-02:55:00 08:40:31 -149.1629 25.5463 2.3189
2016/03/17-03:00:00 08:45:31 -147.9490 25.0600 2.3609
2016/03/17-03:05:00 08:50:32 -146.7483 24.5570 2.4062
2016/03/17-03:10:00 08:55:33 -145.5609 24.0378 2.4550
2016/03/17-03:15:00 09:00:34 -144.3868 23.5027 2.5076
2016/03/17-03:20:00 09:05:35 -143.2260 22.9522 2.5643
2016/03/17-03:25:00 09:10:35 -142.0786 22.3867 2.6257
2016/03/17-03:30:00 09:15:36 -140.9445 21.8065 2.6920
2016/03/17-03:35:00 09:20:37 -139.8236 21.2121 2.7638
2016/03/17-03:40:00 09:25:38 -138.7159 20.6038 2.8417
2016/03/17-03:45:00 09:30:39 -137.6211 19.9820 2.9263
2016/03/17-03:50:00 09:35:40 -136.5393 19.3472 3.0185
2016/03/17-03:55:00 09:40:40 -135.4702 18.6997 3.1191
2016/03/17-04:00:00 09:45:41 -134.4136 18.0398 3.2292
2016/03/17-04:05:00 09:50:42 -133.3694 17.3680 3.3500
2016/03/17-04:10:00 09:55:43 -132.3374 16.6846 3.4831
2016/03/17-04:15:00 10:00:44 -131.3173 15.9899 3.6302
2016/03/17-04:20:00 10:05:44 -130.3089 15.2843 3.7935
2016/03/17-04:25:00 10:10:45 -129.3119 14.5682 3.9756
2016/03/17-04:30:00 10:15:46 -128.3261 13.8419 4.1798
2016/03/17-04:35:00 10:20:47 -127.3512 13.1056 4.4102
2016/03/17-04:40:00 10:25:48 -126.3869 12.3598 4.6718
2016/03/17-04:45:00 10:30:49 -125.4330 11.6048 4.9712
2016/03/17-04:50:00 10:35:49 -124.4892 10.8408 5.3169
2016/03/17-04:55:00 10:40:50 -123.5550 10.0681 5.7202

