#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2016/02/11-14:05:00 17:34:21 +120.2401 10.7491 5.3617 +21:38:33.8 -14:04:59
2016/02/11-14:10:00 17:39:22 +121.1685 11.5493 4.9947 +21:38:34.6 -14:04:55
2016/02/11-14:15:00 17:44:23 +122.1065 12.3417 4.6786 +21:38:35.4 -14:04:51
2016/02/11-14:20:00 17:49:24 +123.0545 13.1260 4.4035 +21:38:36.2 -14:04:47
2016/02/11-14:25:00 17:54:24 +124.0127 13.9018 4.1622 +21:38:37.1 -14:04:43
2016/02/11-14:30:00 17:59:25 +124.9817 14.6689 3.9489 +21:38:37.9 -14:04:39
2016/02/11-14:35:00 18:04:26 +125.9615 15.4269 3.7593 +21:38:38.7 -14:04:35
2016/02/11-14:40:00 18:09:27 +126.9527 16.1756 3.5896 +21:38:39.5 -14:04:30
2016/02/11-14:45:00 18:14:28 +127.9555 16.9145 3.4371 +21:38:40.4 -14:04:26
2016/02/11-14:50:00 18:19:29 +128.9703 17.6434 3.2993 +21:38:41.2 -14:04:22
2016/02/11-14:55:00 18:24:29 +129.9973 18.3618 3.1744 +21:38:42.0 -14:04:18
2016/02/11-15:00:00 18:29:30 +131.0368 19.0695 3.0608 +21:38:42.8 -14:04:14
