#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/04/22-00:00:00 08:03:57 -100.9756 38.8653 1.5936
2015/04/22-00:05:00 08:08:58 -100.0034 37.9484 1.6261
2015/04/22-00:10:00 08:13:58  -99.0475 37.0288 1.6605
2015/04/22-00:15:00 08:18:59  -98.1067 36.1067 1.6970
2015/04/22-00:20:00 08:24:00  -97.1802 35.1825 1.7356
2015/04/22-00:25:00 08:29:01  -96.2670 34.2564 1.7765
2015/04/22-00:30:00 08:34:02  -95.3661 33.3287 1.8200
2015/04/22-00:35:00 08:39:03  -94.4769 32.3997 1.8663
2015/04/22-00:40:00 08:44:03  -93.5984 31.4695 1.9155
2015/04/22-00:45:00 08:49:04  -92.7299 30.5384 1.9681
2015/04/22-00:50:00 08:54:05  -91.8706 29.6067 2.0241
2015/04/22-00:55:00 08:59:06  -91.0199 28.6745 2.0841
2015/04/22-01:00:00 09:04:07  -90.1771 27.7421 2.1483
2015/04/22-01:05:00 09:09:07  -89.3415 26.8096 2.2172
2015/04/22-01:10:00 09:14:08  -88.5126 25.8773 2.2912
2015/04/22-01:15:00 09:19:09  -87.6897 24.9453 2.3711
2015/04/22-01:20:00 09:24:10  -86.8722 24.0138 2.4573
2015/04/22-01:25:00 09:29:11  -86.0597 23.0831 2.5506
2015/04/22-01:30:00 09:34:12  -85.2516 22.1533 2.6519
2015/04/22-01:35:00 09:39:12  -84.4473 21.2246 2.7622
2015/04/22-01:40:00 09:44:13  -83.6464 20.2971 2.8828
2015/04/22-01:45:00 09:49:14  -82.8483 19.3711 3.0149
2015/04/22-01:50:00 09:54:15  -82.0527 18.4467 3.1603
2015/04/22-01:55:00 09:59:16  -81.2591 17.5241 3.3211
2015/04/22-02:00:00 10:04:16  -80.4669 16.6034 3.4996
2015/04/22-02:05:00 10:09:17  -79.6759 15.6849 3.6990
2015/04/22-02:10:00 10:14:18  -78.8855 14.7687 3.9228
2015/04/22-02:15:00 10:19:19  -78.0954 13.8549 4.1760
2015/04/22-02:20:00 10:24:20  -77.3051 12.9439 4.4644
2015/04/22-02:25:00 10:29:21  -76.5143 12.0356 4.7957
2015/04/22-02:30:00 10:34:21  -75.7226 11.1303 5.1802
2015/04/22-02:35:00 10:39:22  -74.9296 10.2283 5.6316

