#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2016/02/11-12:40:00 16:09:07 +131.3461 10.3194 5.5823 +19:38:56.2 -21:19:25
2016/02/11-12:45:00 16:14:08 +132.2973 11.0121 5.2352 +19:38:57.3 -21:19:23
2016/02/11-12:50:00 16:19:09 +133.2584 11.6943 4.9337 +19:38:58.4 -21:19:22
2016/02/11-12:55:00 16:24:10 +134.2298 12.3658 4.6696 +19:38:59.5 -21:19:20
2016/02/11-13:00:00 16:29:10 +135.2115 13.0262 4.4366 +19:39:00.6 -21:19:18
2016/02/11-13:05:00 16:34:11 +136.2038 13.6753 4.2298 +19:39:01.7 -21:19:16
2016/02/11-13:10:00 16:39:12 +137.2068 14.3127 4.0451 +19:39:02.8 -21:19:14
2016/02/11-13:15:00 16:44:13 +138.2206 14.9381 3.8793 +19:39:03.9 -21:19:12
2016/02/11-13:20:00 16:49:14 +139.2454 15.5512 3.7300 +19:39:05.0 -21:19:10
2016/02/11-13:25:00 16:54:15 +140.2813 16.1517 3.5948 +19:39:06.1 -21:19:08
2016/02/11-13:30:00 16:59:15 +141.3283 16.7391 3.4720 +19:39:07.2 -21:19:06
2016/02/11-13:35:00 17:04:16 +142.3866 17.3133 3.3603 +19:39:08.3 -21:19:04
2016/02/11-13:40:00 17:09:17 +143.4561 17.8738 3.2582 +19:39:09.4 -21:19:02
2016/02/11-13:45:00 17:14:18 +144.5369 18.4203 3.1647 +19:39:10.5 -21:19:00
2016/02/11-13:50:00 17:19:19 +145.6291 18.9524 3.0790 +19:39:11.6 -21:18:58
2016/02/11-13:55:00 17:24:20 +146.7325 19.4699 3.0002 +19:39:12.7 -21:18:56
2016/02/11-14:00:00 17:29:20 +147.8473 19.9723 2.9277 +19:39:13.8 -21:18:54
2016/02/11-14:05:00 17:34:21 +148.9732 20.4594 2.8609 +19:39:14.9 -21:18:52
2016/02/11-14:10:00 17:39:22 +150.1102 20.9307 2.7992 +19:39:16.0 -21:18:50
2016/02/11-14:15:00 17:44:23 +151.2583 21.3860 2.7424 +19:39:17.1 -21:18:48
2016/02/11-14:20:00 17:49:24 +152.4172 21.8249 2.6898 +19:39:18.2 -21:18:46
2016/02/11-14:25:00 17:54:24 +153.5868 22.2471 2.6413 +19:39:19.3 -21:18:44
2016/02/11-14:30:00 17:59:25 +154.7669 22.6522 2.5965 +19:39:20.4 -21:18:42
2016/02/11-14:35:00 18:04:26 +155.9572 23.0399 2.5551 +19:39:21.5 -21:18:40
2016/02/11-14:40:00 18:09:27 +157.1575 23.4100 2.5169 +19:39:22.6 -21:18:38
2016/02/11-14:45:00 18:14:28 +158.3675 23.7620 2.4818 +19:39:23.7 -21:18:36
2016/02/11-14:50:00 18:19:29 +159.5869 24.0958 2.4494 +19:39:24.7 -21:18:34
2016/02/11-14:55:00 18:24:29 +160.8153 24.4109 2.4197 +19:39:25.8 -21:18:32
2016/02/11-15:00:00 18:29:30 +162.0523 24.7072 2.3925 +19:39:26.9 -21:18:30
