#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/04/22-00:20:00 08:24:00 +102.3331 10.4642 5.5060
2015/04/22-00:25:00 08:29:01 +103.2104 11.3736 5.0708
2015/04/22-00:30:00 08:34:02 +104.0941 12.2798 4.7018
2015/04/22-00:35:00 08:39:03 +104.9846 13.1824 4.3850
2015/04/22-00:40:00 08:44:03 +105.8823 14.0813 4.1102
2015/04/22-00:45:00 08:49:04 +106.7879 14.9761 3.8697
2015/04/22-00:50:00 08:54:05 +107.7017 15.8667 3.6576
2015/04/22-00:55:00 08:59:06 +108.6244 16.7527 3.4693
2015/04/22-01:00:00 09:04:07 +109.5563 17.6339 3.3010
2015/04/22-01:05:00 09:09:07 +110.4981 18.5100 3.1499
2015/04/22-01:10:00 09:14:08 +111.4503 19.3808 3.0135
2015/04/22-01:15:00 09:19:09 +112.4133 20.2458 2.8898
2015/04/22-01:20:00 09:24:10 +113.3878 21.1048 2.7772
2015/04/22-01:25:00 09:29:11 +114.3744 21.9574 2.6744
2015/04/22-01:30:00 09:34:12 +115.3735 22.8034 2.5802
2015/04/22-01:35:00 09:39:12 +116.3857 23.6424 2.4936
2015/04/22-01:40:00 09:44:13 +117.4116 24.4740 2.4138
2015/04/22-01:45:00 09:49:14 +118.4518 25.2979 2.3401
2015/04/22-01:50:00 09:54:15 +119.5069 26.1136 2.2719
2015/04/22-01:55:00 09:59:16 +120.5774 26.9208 2.2087
2015/04/22-02:00:00 10:04:16 +121.6640 27.7191 2.1499
2015/04/22-02:05:00 10:09:17 +122.7672 28.5081 2.0952
2015/04/22-02:10:00 10:14:18 +123.8875 29.2872 2.0442
2015/04/22-02:15:00 10:19:19 +125.0257 30.0561 1.9966
2015/04/22-02:20:00 10:24:20 +126.1823 30.8143 1.9521
2015/04/22-02:25:00 10:29:21 +127.3577 31.5613 1.9105
2015/04/22-02:30:00 10:34:21 +128.5527 32.2965 1.8716
2015/04/22-02:35:00 10:39:22 +129.7678 33.0196 1.8351
2015/04/22-02:40:00 10:44:23 +131.0033 33.7299 1.8009
2015/04/22-02:45:00 10:49:24 +132.2600 34.4269 1.7688
2015/04/22-02:50:00 10:54:25 +133.5383 35.1100 1.7387
2015/04/22-02:55:00 10:59:26 +134.8385 35.7786 1.7104
2015/04/22-03:00:00 11:04:26 +136.1612 36.4322 1.6839
2015/04/22-03:05:00 11:09:27 +137.5067 37.0702 1.6589
2015/04/22-03:10:00 11:14:28 +138.8754 37.6918 1.6356
2015/04/22-03:15:00 11:19:29 +140.2674 38.2966 1.6136
2015/04/22-03:20:00 11:24:30 +141.6831 38.8837 1.5930
2015/04/22-03:25:00 11:29:30 +143.1226 39.4527 1.5737
2015/04/22-03:30:00 11:34:31 +144.5860 40.0027 1.5556
2015/04/22-03:35:00 11:39:32 +146.0732 40.5332 1.5387
2015/04/22-03:40:00 11:44:33 +147.5843 41.0434 1.5229
2015/04/22-03:45:00 11:49:34 +149.1190 41.5327 1.5082
2015/04/22-03:50:00 11:54:35 +150.6770 42.0004 1.4945
2015/04/22-03:55:00 11:59:35 +152.2581 42.4458 1.4817
2015/04/22-04:00:00 12:04:36 +153.8616 42.8683 1.4699
2015/04/22-04:05:00 12:09:37 +155.4871 43.2672 1.4590
2015/04/22-04:10:00 12:14:38 +157.1337 43.6419 1.4490
2015/04/22-04:15:00 12:19:39 +158.8008 43.9917 1.4398
2015/04/22-04:20:00 12:24:39 +160.4872 44.3161 1.4314
2015/04/22-04:25:00 12:29:40 +162.1919 44.6145 1.4238
2015/04/22-04:30:00 12:34:41 +163.9138 44.8863 1.4170
2015/04/22-04:35:00 12:39:42 +165.6515 45.1311 1.4110
2015/04/22-04:40:00 12:44:43 +167.4035 45.3483 1.4057
2015/04/22-04:45:00 12:49:44 +169.1684 45.5376 1.4011
2015/04/22-04:50:00 12:54:44 +170.9446 45.6987 1.3973
2015/04/22-04:55:00 12:59:45 +172.7302 45.8311 1.3941
2015/04/22-05:00:00 13:04:46 +174.5236 45.9346 1.3917
2015/04/22-05:05:00 13:09:47 +176.3228 46.0090 1.3900
2015/04/22-05:10:00 13:14:48 +178.1259 46.0542 1.3889
2015/04/22-05:15:00 13:19:49 +179.9311 46.0700 1.3885
2015/04/22-05:20:00 13:24:49 -178.2636 46.0564 1.3888
2015/04/22-05:25:00 13:29:50 -176.4602 46.0135 1.3898
2015/04/22-05:30:00 13:34:51 -174.6606 45.9413 1.3915
2015/04/22-05:35:00 13:39:52 -172.8668 45.8400 1.3939
2015/04/22-05:40:00 13:44:53 -171.0805 45.7098 1.3970
2015/04/22-05:45:00 13:49:53 -169.3036 45.5509 1.4008
2015/04/22-05:50:00 13:54:54 -167.5377 45.3637 1.4053
2015/04/22-05:55:00 13:59:55 -165.7846 45.1486 1.4106
2015/04/22-06:00:00 14:04:56 -164.0458 44.9059 1.4165
2015/04/22-06:05:00 14:09:57 -162.3227 44.6361 1.4233
2015/04/22-06:10:00 14:14:58 -160.6166 44.3398 1.4308
2015/04/22-06:15:00 14:19:58 -158.9287 44.0173 1.4391
2015/04/22-06:20:00 14:24:59 -157.2602 43.6694 1.4482
2015/04/22-06:25:00 14:30:00 -155.6120 43.2966 1.4582
2015/04/22-06:30:00 14:35:01 -153.9849 42.8996 1.4690
2015/04/22-06:35:00 14:40:02 -152.3796 42.4789 1.4808
2015/04/22-06:40:00 14:45:02 -150.7968 42.0352 1.4935
2015/04/22-06:45:00 14:50:03 -149.2370 41.5691 1.5071
