#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-23:00:00 18:10:05 +118.4498 10.6393 5.4164
2015/10/07-23:05:00 18:15:06 +119.3754 11.4555 5.0351
2015/10/07-23:10:00 18:20:06 +120.3104 12.2644 4.7076
2015/10/07-23:15:00 18:25:07 +121.2552 13.0655 4.4235
2015/10/07-23:20:00 18:30:08 +122.2102 13.8586 4.1749
2015/10/07-23:25:00 18:35:09 +123.1757 14.6434 3.9557
2015/10/07-23:30:00 18:40:10 +124.1521 15.4195 3.7610
2015/10/07-23:35:00 18:45:11 +125.1397 16.1866 3.5872
2015/10/07-23:40:00 18:50:11 +126.1389 16.9445 3.4312
2015/10/07-23:45:00 18:55:12 +127.1501 17.6927 3.2904
2015/10/07-23:50:00 19:00:13 +128.1735 18.4309 3.1630
2015/10/07-23:55:00 19:05:14 +129.2094 19.1587 3.0471
2015/10/08-00:00:00 19:10:15 +130.2583 19.8758 2.9413
2015/10/08-00:05:00 19:15:15 +131.3204 20.5818 2.8446
2015/10/08-00:10:00 19:20:16 +132.3959 21.2764 2.7558
2015/10/08-00:15:00 19:25:17 +133.4853 21.9590 2.6742
2015/10/08-00:20:00 19:30:18 +134.5886 22.6294 2.5990
2015/10/08-00:25:00 19:35:19 +135.7063 23.2871 2.5295
2015/10/08-00:30:00 19:40:20 +136.8384 23.9316 2.4652
2015/10/08-00:35:00 19:45:20 +137.9852 24.5627 2.4056
2015/10/08-00:40:00 19:50:21 +139.1469 25.1798 2.3504
2015/10/08-00:45:00 19:55:22 +140.3236 25.7825 2.2991
2015/10/08-00:50:00 20:00:23 +141.5154 26.3703 2.2514
2015/10/08-00:55:00 20:05:24 +142.7225 26.9429 2.2070
2015/10/08-01:00:00 20:10:24 +143.9448 27.4998 2.1657
2015/10/08-01:05:00 20:15:25 +145.1825 28.0404 2.1272
2015/10/08-01:10:00 20:20:26 +146.4354 28.5645 2.0914
2015/10/08-01:15:00 20:25:27 +147.7036 29.0714 2.0580
2015/10/08-01:20:00 20:30:28 +148.9869 29.5608 2.0270
2015/10/08-01:25:00 20:35:29 +150.2852 30.0322 1.9981
2015/10/08-01:30:00 20:40:29 +151.5984 30.4851 1.9712
2015/10/08-01:35:00 20:45:30 +152.9260 30.9191 1.9462
2015/10/08-01:40:00 20:50:31 +154.2680 31.3338 1.9230
2015/10/08-01:45:00 20:55:32 +155.6239 31.7287 1.9015
2015/10/08-01:50:00 21:00:33 +156.9933 32.1033 1.8817
2015/10/08-01:55:00 21:05:34 +158.3759 32.4574 1.8633
2015/10/08-02:00:00 21:10:34 +159.7710 32.7905 1.8465
2015/10/08-02:05:00 21:15:35 +161.1782 33.1022 1.8311
2015/10/08-02:10:00 21:20:36 +162.5968 33.3921 1.8170
2015/10/08-02:15:00 21:25:37 +164.0262 33.6599 1.8042
2015/10/08-02:20:00 21:30:38 +165.4656 33.9052 1.7927
2015/10/08-02:25:00 21:35:38 +166.9144 34.1278 1.7824
2015/10/08-02:30:00 21:40:39 +168.3717 34.3274 1.7733
2015/10/08-02:35:00 21:45:40 +169.8366 34.5036 1.7654
2015/10/08-02:40:00 21:50:41 +171.3083 34.6564 1.7585
2015/10/08-02:45:00 21:55:42 +172.7859 34.7854 1.7528
2015/10/08-02:50:00 22:00:43 +174.2684 34.8905 1.7482
2015/10/08-02:55:00 22:05:43 +175.7548 34.9716 1.7447
2015/10/08-03:00:00 22:10:44 +177.2441 35.0286 1.7422
2015/10/08-03:05:00 22:15:45 +178.7353 35.0613 1.7408
2015/10/08-03:10:00 22:20:46 -179.7726 35.0697 1.7404
2015/10/08-03:15:00 22:25:47 -178.2806 35.0539 1.7411
2015/10/08-03:20:00 22:30:47 -176.7899 35.0138 1.7428
2015/10/08-03:25:00 22:35:48 -175.3013 34.9495 1.7456
2015/10/08-03:30:00 22:40:49 -173.8160 34.8610 1.7495
2015/10/08-03:35:00 22:45:50 -172.3349 34.7486 1.7545
2015/10/08-03:40:00 22:50:51 -170.8590 34.6123 1.7605
2015/10/08-03:45:00 22:55:52 -169.3893 34.4524 1.7677
2015/10/08-03:50:00 23:00:52 -167.9266 34.2690 1.7759
