#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/08-01:05:00 20:15:25  +72.5734 10.6091 5.4316
2015/10/08-01:10:00 20:20:26  +73.3576 11.5006 5.0156
2015/10/08-01:15:00 20:25:27  +74.1400 12.3959 4.6584
2015/10/08-01:20:00 20:30:28  +74.9208 13.2946 4.3486
2015/10/08-01:25:00 20:35:29  +75.7006 14.1966 4.0775
2015/10/08-01:30:00 20:40:29  +76.4796 15.1017 3.8383
2015/10/08-01:35:00 20:45:30  +77.2582 16.0099 3.6258
2015/10/08-01:40:00 20:50:31  +78.0368 16.9208 3.4359
2015/10/08-01:45:00 20:55:32  +78.8158 17.8343 3.2651
2015/10/08-01:50:00 21:00:33  +79.5957 18.7503 3.1110
2015/10/08-01:55:00 21:05:34  +80.3768 19.6686 2.9711
2015/10/08-02:00:00 21:10:34  +81.1595 20.5890 2.8436
2015/10/08-02:05:00 21:15:35  +81.9444 21.5113 2.7271
2015/10/08-02:10:00 21:20:36  +82.7318 22.4355 2.6202
2015/10/08-02:15:00 21:25:37  +83.5222 23.3613 2.5219
2015/10/08-02:20:00 21:30:38  +84.3162 24.2885 2.4311
2015/10/08-02:25:00 21:35:38  +85.1142 25.2171 2.3471
2015/10/08-02:30:00 21:40:39  +85.9167 26.1467 2.2693
2015/10/08-02:35:00 21:45:40  +86.7243 27.0773 2.1969
2015/10/08-02:40:00 21:50:41  +87.5376 28.0086 2.1295
2015/10/08-02:45:00 21:55:42  +88.3570 28.9405 2.0665
2015/10/08-02:50:00 22:00:43  +89.1833 29.8728 2.0077
2015/10/08-02:55:00 22:05:43  +90.0171 30.8052 1.9527
2015/10/08-03:00:00 22:10:44  +90.8590 31.7377 1.9010
2015/10/08-03:05:00 22:15:45  +91.7098 32.6699 1.8525
2015/10/08-03:10:00 22:20:46  +92.5701 33.6018 1.8070
2015/10/08-03:15:00 22:25:47  +93.4407 34.5330 1.7640
2015/10/08-03:20:00 22:30:47  +94.3225 35.4633 1.7236
2015/10/08-03:25:00 22:35:48  +95.2163 36.3926 1.6854
