#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-22:05:00 17:14:56 +129.5341 10.6414 5.4153
2015/10/07-22:10:00 17:19:57 +130.4882 11.3556 5.0788
2015/10/07-22:15:00 17:24:57 +131.4525 12.0597 4.7863
2015/10/07-22:20:00 17:29:58 +132.4272 12.7534 4.5299
2015/10/07-22:25:00 17:34:59 +133.4125 13.4362 4.3036
2015/10/07-22:30:00 17:40:00 +134.4086 14.1080 4.1025
2015/10/07-22:35:00 17:45:01 +135.4157 14.7684 3.9229
2015/10/07-22:40:00 17:50:01 +136.4339 15.4171 3.7616
2015/10/07-22:45:00 17:55:02 +137.4635 16.0536 3.6161
2015/10/07-22:50:00 18:00:03 +138.5046 16.6778 3.4844
2015/10/07-22:55:00 18:05:04 +139.5572 17.2892 3.3648
2015/10/07-23:00:00 18:10:05 +140.6215 17.8875 3.2558
2015/10/07-23:05:00 18:15:06 +141.6976 18.4723 3.1561
2015/10/07-23:10:00 18:20:06 +142.7856 19.0433 3.0648
2015/10/07-23:15:00 18:25:07 +143.8854 19.6001 2.9810
2015/10/07-23:20:00 18:30:08 +144.9972 20.1424 2.9040
2015/10/07-23:25:00 18:35:09 +146.1209 20.6698 2.8330
2015/10/07-23:30:00 18:40:10 +147.2564 21.1819 2.7675
2015/10/07-23:35:00 18:45:11 +148.4038 21.6784 2.7071
2015/10/07-23:40:00 18:50:11 +149.5630 22.1589 2.6513
2015/10/07-23:45:00 18:55:12 +150.7338 22.6231 2.5996
2015/10/07-23:50:00 19:00:13 +151.9161 23.0706 2.5519
2015/10/07-23:55:00 19:05:14 +153.1097 23.5010 2.5077
2015/10/08-00:00:00 19:10:15 +154.3144 23.9140 2.4669
2015/10/08-00:05:00 19:15:15 +155.5300 24.3092 2.4292
2015/10/08-00:10:00 19:20:16 +156.7562 24.6864 2.3943
2015/10/08-00:15:00 19:25:17 +157.9927 25.0451 2.3622
