#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/10/07-14:00:00 09:08:38   -4.7145 22.3414 2.6307
2015/10/07-14:05:00 09:13:39   -4.2579 22.2685 2.6389
2015/10/07-14:10:00 09:18:39   -3.8002 22.2030 2.6463
2015/10/07-14:15:00 09:23:40   -3.3416 22.1449 2.6529
2015/10/07-14:20:00 09:28:41   -2.8820 22.0943 2.6586
2015/10/07-14:25:00 09:33:42   -2.4218 22.0512 2.6636
2015/10/07-14:30:00 09:38:43   -1.9609 22.0155 2.6677
2015/10/07-14:35:00 09:43:44   -1.4996 21.9874 2.6709
2015/10/07-14:40:00 09:48:44   -1.0378 21.9667 2.6733
2015/10/07-14:45:00 09:53:45   -0.5758 21.9536 2.6748
2015/10/07-14:50:00 09:58:46   -0.1137 21.9480 2.6755
2015/10/07-14:55:00 10:03:47   +0.3485 21.9499 2.6753
2015/10/07-15:00:00 10:08:48   +0.8106 21.9593 2.6742
2015/10/07-15:05:00 10:13:48   +1.2725 21.9763 2.6722
2015/10/07-15:10:00 10:18:49   +1.7341 22.0007 2.6694
2015/10/07-15:15:00 10:23:50   +2.1952 22.0327 2.6657
2015/10/07-15:20:00 10:28:51   +2.6558 22.0722 2.6612
2015/10/07-15:25:00 10:33:52   +3.1156 22.1191 2.6558
2015/10/07-15:30:00 10:38:53   +3.5747 22.1735 2.6496
2015/10/07-15:35:00 10:43:53   +4.0329 22.2353 2.6426
2015/10/07-15:40:00 10:48:54   +4.4901 22.3046 2.6348
2015/10/07-15:45:00 10:53:55   +4.9461 22.3813 2.6263
2015/10/07-15:50:00 10:58:56   +5.4008 22.4654 2.6169
2015/10/07-15:55:00 11:03:57   +5.8542 22.5568 2.6069
2015/10/07-16:00:00 11:08:58   +6.3061 22.6555 2.5961
2015/10/07-16:05:00 11:13:58   +6.7564 22.7616 2.5847
2015/10/07-16:10:00 11:18:59   +7.2049 22.8749 2.5725
2015/10/07-16:15:00 11:24:00   +7.6516 22.9954 2.5598
2015/10/07-16:20:00 11:29:01   +8.0964 23.1231 2.5464
2015/10/07-16:25:00 11:34:02   +8.5391 23.2580 2.5325
2015/10/07-16:30:00 11:39:02   +8.9796 23.3999 2.5180
2015/10/07-16:35:00 11:44:03   +9.4178 23.5490 2.5029
2015/10/07-16:40:00 11:49:04   +9.8536 23.7050 2.4874
2015/10/07-16:45:00 11:54:05  +10.2869 23.8680 2.4714
2015/10/07-16:50:00 11:59:06  +10.7176 24.0379 2.4549
2015/10/07-16:55:00 12:04:07  +11.1455 24.2147 2.4381
2015/10/07-17:00:00 12:09:07  +11.5705 24.3983 2.4209
2015/10/07-17:05:00 12:14:08  +11.9926 24.5887 2.4033
2015/10/07-17:10:00 12:19:09  +12.4116 24.7857 2.3853
2015/10/07-17:15:00 12:24:10  +12.8275 24.9894 2.3671
2015/10/07-17:20:00 12:29:11  +13.2400 25.1996 2.3487
2015/10/07-17:25:00 12:34:11  +13.6491 25.4164 2.3300
2015/10/07-17:30:00 12:39:12  +14.0547 25.6396 2.3110
2015/10/07-17:35:00 12:44:13  +14.4567 25.8692 2.2919
2015/10/07-17:40:00 12:49:14  +14.8549 26.1050 2.2726
2015/10/07-17:45:00 12:54:15  +15.2493 26.3471 2.2532
2015/10/07-17:50:00 12:59:16  +15.6397 26.5954 2.2337
2015/10/07-17:55:00 13:04:16  +16.0261 26.8497 2.2141
2015/10/07-18:00:00 13:09:17  +16.4082 27.1101 2.1944
2015/10/07-18:05:00 13:14:18  +16.7861 27.3764 2.1747
2015/10/07-18:10:00 13:19:19  +17.1596 27.6485 2.1550
2015/10/07-18:15:00 13:24:20  +17.5285 27.9265 2.1352
2015/10/07-18:20:00 13:29:21  +17.8928 28.2101 2.1155
2015/10/07-18:25:00 13:34:21  +18.2524 28.4993 2.0958
2015/10/07-18:30:00 13:39:22  +18.6071 28.7940 2.0761
2015/10/07-18:35:00 13:44:23  +18.9569 29.0941 2.0566
2015/10/07-18:40:00 13:49:24  +19.3016 29.3996 2.0371
2015/10/07-18:45:00 13:54:25  +19.6410 29.7104 2.0177
2015/10/07-18:50:00 13:59:25  +19.9752 30.0263 1.9984
2015/10/07-18:55:00 14:04:26  +20.3039 30.3473 1.9793
2015/10/07-19:00:00 14:09:27  +20.6271 30.6733 1.9602
2015/10/07-19:05:00 14:14:28  +20.9446 31.0041 1.9414
2015/10/07-19:10:00 14:19:29  +21.2563 31.3397 1.9227
2015/10/07-19:15:00 14:24:30  +21.5622 31.6800 1.9041
2015/10/07-19:20:00 14:29:30  +21.8619 32.0249 1.8858
2015/10/07-19:25:00 14:34:31  +22.1555 32.3743 1.8676
2015/10/07-19:30:00 14:39:32  +22.4428 32.7280 1.8496
2015/10/07-19:35:00 14:44:33  +22.7237 33.0860 1.8318
2015/10/07-19:40:00 14:49:34  +22.9980 33.4482 1.8143
2015/10/07-19:45:00 14:54:34  +23.2656 33.8144 1.7969
2015/10/07-19:50:00 14:59:35  +23.5263 34.1846 1.7798
2015/10/07-19:55:00 15:04:36  +23.7801 34.5586 1.7629
2015/10/07-20:00:00 15:09:37  +24.0268 34.9364 1.7462
2015/10/07-20:05:00 15:14:38  +24.2662 35.3177 1.7298
2015/10/07-20:10:00 15:19:39  +24.4982 35.7026 1.7136
