#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/10/07-14:00:00 09:08:36 -156.6326 66.5991 1.0896
2015/10/07-14:05:00 09:13:37 -153.8563 66.2085 1.0929
2015/10/07-14:10:00 09:18:38 -151.1613 65.7780 1.0965
2015/10/07-14:15:00 09:23:39 -148.5506 65.3097 1.1006
2015/10/07-14:20:00 09:28:39 -146.0259 64.8057 1.1051
2015/10/07-14:25:00 09:33:40 -143.5879 64.2682 1.1101
2015/10/07-14:30:00 09:38:41 -141.2363 63.6993 1.1155
2015/10/07-14:35:00 09:43:42 -138.9700 63.1012 1.1213
2015/10/07-14:40:00 09:48:43 -136.7872 62.4757 1.1276
2015/10/07-14:45:00 09:53:43 -134.6857 61.8248 1.1344
2015/10/07-14:50:00 09:58:44 -132.6627 61.1503 1.1417
2015/10/07-14:55:00 10:03:45 -130.7153 60.4539 1.1495
2015/10/07-15:00:00 10:08:46 -128.8403 59.7372 1.1578
2015/10/07-15:05:00 10:13:47 -127.0344 59.0018 1.1666
2015/10/07-15:10:00 10:18:48 -125.2945 58.2489 1.1760
2015/10/07-15:15:00 10:23:48 -123.6170 57.4800 1.1860
2015/10/07-15:20:00 10:28:49 -121.9987 56.6962 1.1965
2015/10/07-15:25:00 10:33:50 -120.4365 55.8987 1.2077
2015/10/07-15:30:00 10:38:51 -118.9272 55.0886 1.2195
2015/10/07-15:35:00 10:43:52 -117.4678 54.2667 1.2319
2015/10/07-15:40:00 10:48:52 -116.0555 53.4341 1.2451
2015/10/07-15:45:00 10:53:53 -114.6874 52.5915 1.2589
2015/10/07-15:50:00 10:58:54 -113.3610 51.7398 1.2735
2015/10/07-15:55:00 11:03:55 -112.0737 50.8797 1.2890
2015/10/07-16:00:00 11:08:56 -110.8233 50.0117 1.3052
2015/10/07-16:05:00 11:13:57 -109.6075 49.1367 1.3223
2015/10/07-16:10:00 11:18:57 -108.4241 48.2551 1.3403
2015/10/07-16:15:00 11:23:58 -107.2712 47.3675 1.3592
2015/10/07-16:20:00 11:28:59 -106.1469 46.4743 1.3792
2015/10/07-16:25:00 11:34:00 -105.0494 45.5762 1.4002
2015/10/07-16:30:00 11:39:01 -103.9771 44.6735 1.4223
2015/10/07-16:35:00 11:44:02 -102.9284 43.7665 1.4457
2015/10/07-16:40:00 11:49:02 -101.9018 42.8559 1.4703
2015/10/07-16:45:00 11:54:03 -100.8960 41.9418 1.4962
2015/10/07-16:50:00 11:59:04  -99.9095 41.0246 1.5235
2015/10/07-16:55:00 12:04:05  -98.9412 40.1047 1.5523
2015/10/07-17:00:00 12:09:06  -97.9899 39.1824 1.5828
2015/10/07-17:05:00 12:14:06  -97.0544 38.2579 1.6150
2015/10/07-17:10:00 12:19:07  -96.1338 37.3316 1.6490
2015/10/07-17:15:00 12:24:08  -95.2270 36.4037 1.6850
2015/10/07-17:20:00 12:29:09  -94.3331 35.4744 1.7231
2015/10/07-17:25:00 12:34:10  -93.4511 34.5441 1.7635
2015/10/07-17:30:00 12:39:11  -92.5804 33.6129 1.8064
2015/10/07-17:35:00 12:44:11  -91.7199 32.6810 1.8520
2015/10/07-17:40:00 12:49:12  -90.8691 31.7488 1.9004
2015/10/07-17:45:00 12:54:13  -90.0271 30.8163 1.9520
2015/10/07-17:50:00 12:59:14  -89.1932 29.8839 2.0071
2015/10/07-17:55:00 13:04:15  -88.3668 28.9516 2.0658
2015/10/07-18:00:00 13:09:15  -87.5473 28.0197 2.1287
2015/10/07-18:05:00 13:14:16  -86.7340 27.0884 2.1960
2015/10/07-18:10:00 13:19:17  -85.9263 26.1578 2.2684
2015/10/07-18:15:00 13:24:18  -85.1237 25.2281 2.3462
2015/10/07-18:20:00 13:29:19  -84.3257 24.2996 2.4301
2015/10/07-18:25:00 13:34:20  -83.5317 23.3723 2.5208
2015/10/07-18:30:00 13:39:20  -82.7412 22.4465 2.6190
