#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-17:20:00 12:29:11  +40.0022 10.4992 5.4878
2015/10/07-17:25:00 12:34:11  +40.7045 11.1028 5.1929
2015/10/07-17:30:00 12:39:12  +41.4005 11.7151 4.9250
2015/10/07-17:35:00 12:44:13  +42.0903 12.3358 4.6808
2015/10/07-17:40:00 12:49:14  +42.7737 12.9648 4.4573
2015/10/07-17:45:00 12:54:15  +43.4509 13.6019 4.2522
2015/10/07-17:50:00 12:59:16  +44.1219 14.2470 4.0634
2015/10/07-17:55:00 13:04:16  +44.7868 14.8999 3.8891
2015/10/07-18:00:00 13:09:17  +45.4455 15.5604 3.7278
2015/10/07-18:05:00 13:14:18  +46.0982 16.2284 3.5782
2015/10/07-18:10:00 13:19:19  +46.7449 16.9038 3.4392
2015/10/07-18:15:00 13:24:20  +47.3857 17.5863 3.3097
2015/10/07-18:20:00 13:29:21  +48.0206 18.2758 3.1889
2015/10/07-18:25:00 13:34:21  +48.6496 18.9723 3.0759
2015/10/07-18:30:00 13:39:22  +49.2728 19.6754 2.9701
2015/10/07-18:35:00 13:44:23  +49.8903 20.3851 2.8708
2015/10/07-18:40:00 13:49:24  +50.5022 21.1013 2.7776
2015/10/07-18:45:00 13:54:25  +51.1084 21.8238 2.6900
2015/10/07-18:50:00 13:59:25  +51.7091 22.5525 2.6074
2015/10/07-18:55:00 14:04:26  +52.3044 23.2872 2.5295
2015/10/07-19:00:00 14:09:27  +52.8942 24.0277 2.4559
2015/10/07-19:05:00 14:14:28  +53.4786 24.7741 2.3864
2015/10/07-19:10:00 14:19:29  +54.0578 25.5261 2.3206
2015/10/07-19:15:00 14:24:30  +54.6318 26.2835 2.2583
2015/10/07-19:20:00 14:29:30  +55.2005 27.0464 2.1992
2015/10/07-19:25:00 14:34:31  +55.7642 27.8145 2.1431
2015/10/07-19:30:00 14:39:32  +56.3229 28.5878 2.0898
2015/10/07-19:35:00 14:44:33  +56.8766 29.3661 2.0392
2015/10/07-19:40:00 14:49:34  +57.4253 30.1492 1.9910
2015/10/07-19:45:00 14:54:34  +57.9692 30.9372 1.9452
2015/10/07-19:50:00 14:59:35  +58.5084 31.7298 1.9014
2015/10/07-19:55:00 15:04:36  +59.0427 32.5270 1.8598
2015/10/07-20:00:00 15:09:37  +59.5724 33.3287 1.8200
2015/10/07-20:05:00 15:14:38  +60.0975 34.1347 1.7821
2015/10/07-20:10:00 15:19:39  +60.6180 34.9449 1.7458
2015/10/07-20:15:00 15:24:39  +61.1340 35.7593 1.7112
2015/10/07-20:20:00 15:29:40  +61.6456 36.5777 1.6781
2015/10/07-20:25:00 15:34:41  +62.1527 37.4000 1.6464
2015/10/07-20:30:00 15:39:42  +62.6554 38.2262 1.6161
2015/10/07-20:35:00 15:44:43  +63.1538 39.0561 1.5871
2015/10/07-20:40:00 15:49:44  +63.6479 39.8897 1.5593
2015/10/07-20:45:00 15:54:44  +64.1378 40.7268 1.5327
2015/10/07-20:50:00 15:59:45  +64.6234 41.5674 1.5072
2015/10/07-20:55:00 16:04:46  +65.1049 42.4114 1.4827
2015/10/07-21:00:00 16:09:47  +65.5822 43.2586 1.4592
2015/10/07-21:05:00 16:14:48  +66.0553 44.1091 1.4367
2015/10/07-21:10:00 16:19:48  +66.5244 44.9626 1.4151
2015/10/07-21:15:00 16:24:49  +66.9893 45.8192 1.3944
2015/10/07-21:20:00 16:29:50  +67.4501 46.6787 1.3745
2015/10/07-21:25:00 16:34:51  +67.9068 47.5411 1.3555
2015/10/07-21:30:00 16:39:52  +68.3594 48.4063 1.3371
2015/10/07-21:35:00 16:44:53  +68.8079 49.2741 1.3195
