#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-19:40:00 14:49:34  +83.3899 10.6710 5.4005
2015/10/07-19:45:00 14:54:34  +84.2080 11.5978 4.9741
2015/10/07-19:50:00 14:59:35  +85.0271 12.5259 4.6108
2015/10/07-19:55:00 15:04:36  +85.8479 13.4552 4.2977
2015/10/07-20:00:00 15:09:37  +86.6707 14.3854 4.0251
2015/10/07-20:05:00 15:14:38  +87.4960 15.3164 3.7857
2015/10/07-20:10:00 15:19:39  +88.3243 16.2481 3.5740
2015/10/07-20:15:00 15:24:39  +89.1560 17.1801 3.3855
2015/10/07-20:20:00 15:29:40  +89.9916 18.1123 3.2167
2015/10/07-20:25:00 15:34:41  +90.8318 19.0445 3.0646
2015/10/07-20:30:00 15:39:42  +91.6769 19.9765 2.9271
2015/10/07-20:35:00 15:44:43  +92.5275 20.9081 2.8021
2015/10/07-20:40:00 15:49:44  +93.3842 21.8391 2.6882
2015/10/07-20:45:00 15:54:44  +94.2475 22.7692 2.5838
2015/10/07-20:50:00 15:59:45  +95.1180 23.6984 2.4880
2015/10/07-20:55:00 16:04:46  +95.9964 24.6262 2.3998
2015/10/07-21:00:00 16:09:47  +96.8832 25.5525 2.3184
2015/10/07-21:05:00 16:14:48  +97.7792 26.4772 2.2430
2015/10/07-21:10:00 16:19:48  +98.6849 27.3998 2.1730
2015/10/07-21:15:00 16:24:49  +99.6011 28.3202 2.1079
2015/10/07-21:20:00 16:29:50 +100.5284 29.2381 2.0473
2015/10/07-21:25:00 16:34:51 +101.4677 30.1532 1.9908
2015/10/07-21:30:00 16:39:52 +102.4197 31.0652 1.9379
2015/10/07-21:35:00 16:44:53 +103.3853 31.9739 1.8885
2015/10/07-21:40:00 16:49:53 +104.3652 32.8789 1.8421
2015/10/07-21:45:00 16:54:54 +105.3603 33.7800 1.7985
2015/10/07-21:50:00 16:59:55 +106.3715 34.6767 1.7576
2015/10/07-21:55:00 17:04:56 +107.3999 35.5687 1.7192
2015/10/07-22:00:00 17:09:57 +108.4463 36.4557 1.6829
2015/10/07-22:05:00 17:14:57 +109.5118 37.3373 1.6488
2015/10/07-22:10:00 17:19:58 +110.5974 38.2130 1.6166
2015/10/07-22:15:00 17:24:59 +111.7043 39.0824 1.5862
2015/10/07-22:20:00 17:30:00 +112.8335 39.9451 1.5575
2015/10/07-22:25:00 17:35:01 +113.9863 40.8006 1.5304
2015/10/07-22:30:00 17:40:02 +115.1639 41.6484 1.5048
2015/10/07-22:35:00 17:45:02 +116.3675 42.4880 1.4805
2015/10/07-22:40:00 17:50:03 +117.5985 43.3187 1.4576
2015/10/07-22:45:00 17:55:04 +118.8582 44.1401 1.4359
2015/10/07-22:50:00 18:00:05 +120.1479 44.9515 1.4154
2015/10/07-22:55:00 18:05:06 +121.4692 45.7522 1.3960
2015/10/07-23:00:00 18:10:07 +122.8233 46.5415 1.3777
2015/10/07-23:05:00 18:15:07 +124.2119 47.3187 1.3603
2015/10/07-23:10:00 18:20:08 +125.6363 48.0831 1.3439
2015/10/07-23:15:00 18:25:09 +127.0981 48.8338 1.3284
2015/10/07-23:20:00 18:30:10 +128.5987 49.5699 1.3137
2015/10/07-23:25:00 18:35:11 +130.1396 50.2906 1.2999
