#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/04/20-18:00:00 01:59:01  +82.3203 25.2136 2.3474
2015/04/20-18:05:00 02:04:02  +83.1010 26.1386 2.2699
2015/04/20-18:10:00 02:09:03  +83.8857 27.0651 2.1978
2015/04/20-18:15:00 02:14:04  +84.6748 27.9929 2.1305
2015/04/20-18:20:00 02:19:04  +85.4690 28.9220 2.0677
2015/04/20-18:25:00 02:24:05  +86.2687 29.8520 2.0090
2015/04/20-18:30:00 02:29:06  +87.0746 30.7830 1.9539
2015/04/20-18:35:00 02:34:07  +87.8873 31.7145 1.9023
2015/04/20-18:40:00 02:39:08  +88.7075 32.6466 1.8537
2015/04/20-18:45:00 02:44:08  +89.5358 33.5790 1.8080
2015/04/20-18:50:00 02:49:09  +90.3728 34.5115 1.7650
2015/04/20-18:55:00 02:54:10  +91.2195 35.4439 1.7244
2015/04/20-19:00:00 02:59:11  +92.0765 36.3760 1.6861
2015/04/20-19:05:00 03:04:12  +92.9447 37.3076 1.6499
2015/04/20-19:10:00 03:09:13  +93.8249 38.2385 1.6157
2015/04/20-19:15:00 03:14:13  +94.7182 39.1684 1.5833
2015/04/20-19:20:00 03:19:14  +95.6254 40.0971 1.5526
2015/04/20-19:25:00 03:24:15  +96.5476 41.0243 1.5235
2015/04/20-19:30:00 03:29:16  +97.4859 41.9498 1.4959
2015/04/20-19:35:00 03:34:17  +98.4415 42.8733 1.4698
2015/04/20-19:40:00 03:39:18  +99.4156 43.7945 1.4449
2015/04/20-19:45:00 03:44:18 +100.4096 44.7131 1.4213
2015/04/20-19:50:00 03:49:19 +101.4249 45.6287 1.3989
2015/04/20-19:55:00 03:54:20 +102.4629 46.5410 1.3777
2015/04/20-20:00:00 03:59:21 +103.5253 47.4496 1.3574
2015/04/20-20:05:00 04:04:22 +104.6138 48.3541 1.3382
2015/04/20-20:10:00 04:09:22 +105.7302 49.2541 1.3199
2015/04/20-20:15:00 04:14:23 +106.8764 50.1491 1.3026
2015/04/20-20:20:00 04:19:24 +108.0547 51.0386 1.2861
2015/04/20-20:25:00 04:24:25 +109.2671 51.9221 1.2704
2015/04/20-20:30:00 04:29:26 +110.5161 52.7989 1.2555
2015/04/20-20:35:00 04:34:27 +111.8042 53.6686 1.2413
2015/04/20-20:40:00 04:39:27 +113.1341 54.5303 1.2279
2015/04/20-20:45:00 04:44:28 +114.5087 55.3833 1.2151
2015/04/20-20:50:00 04:49:29 +115.9311 56.2270 1.2030
2015/04/20-20:55:00 04:54:30 +117.4044 57.0603 1.1915
2015/04/20-21:00:00 04:59:31 +118.9322 57.8823 1.1807
2015/04/20-21:05:00 05:04:31 +120.5181 58.6922 1.1704
2015/04/20-21:10:00 05:09:32 +122.1658 59.4886 1.1607
2015/04/20-21:15:00 05:14:33 +123.8794 60.2705 1.1516
2015/04/20-21:20:00 05:19:34 +125.6628 61.0365 1.1430
2015/04/20-21:25:00 05:24:35 +127.5205 61.7852 1.1348
2015/04/20-21:30:00 05:29:36 +129.4565 62.5152 1.1272
2015/04/20-21:35:00 05:34:36 +131.4752 63.2246 1.1201
2015/04/20-21:40:00 05:39:37 +133.5808 63.9119 1.1134
2015/04/20-21:45:00 05:44:38 +135.7774 64.5750 1.1072
2015/04/20-21:50:00 05:49:39 +138.0687 65.2119 1.1015
2015/04/20-21:55:00 05:54:40 +140.4579 65.8205 1.0962
2015/04/20-22:00:00 05:59:41 +142.9478 66.3985 1.0913
2015/04/20-22:05:00 06:04:41 +145.5402 66.9434 1.0868
2015/04/20-22:10:00 06:09:42 +148.2358 67.4529 1.0828
2015/04/20-22:15:00 06:14:43 +151.0341 67.9244 1.0791
2015/04/20-22:20:00 06:19:44 +153.9332 68.3553 1.0759
2015/04/20-22:25:00 06:24:45 +156.9294 68.7430 1.0730
2015/04/20-22:30:00 06:29:45 +160.0168 69.0853 1.0705
2015/04/20-22:35:00 06:34:46 +163.1879 69.3797 1.0685
2015/04/20-22:40:00 06:39:47 +166.4329 69.6240 1.0667
2015/04/20-22:45:00 06:44:48 +169.7400 69.8166 1.0654
2015/04/20-22:50:00 06:49:49 +173.0956 69.9558 1.0645
2015/04/20-22:55:00 06:54:50 +176.4846 70.0405 1.0639
2015/04/20-23:00:00 06:59:50 +179.8908 70.0700 1.0637
2015/04/20-23:05:00 07:04:51 -176.7024 70.0440 1.0639
2015/04/20-23:10:00 07:09:52 -173.3118 69.9628 1.0644
2015/04/20-23:15:00 07:14:53 -169.9536 69.8271 1.0654
2015/04/20-23:20:00 07:19:54 -166.6430 69.6379 1.0667
2015/04/20-23:25:00 07:24:54 -163.3937 69.3968 1.0683
2015/04/20-23:30:00 07:29:55 -160.2175 69.1056 1.0704
2015/04/20-23:35:00 07:34:56 -157.1244 68.7664 1.0728
2015/04/20-23:40:00 07:39:57 -154.1223 68.3814 1.0757
2015/04/20-23:45:00 07:44:58 -151.2168 67.9532 1.0789
2015/04/20-23:50:00 07:49:59 -148.4119 67.4843 1.0825
2015/04/20-23:55:00 07:54:59 -145.7097 66.9772 1.0865
2015/04/21-00:00:00 08:00:00 -143.1107 66.4344 1.0910
2015/04/21-00:05:00 08:05:01 -140.6143 65.8585 1.0958
2015/04/21-00:10:00 08:10:02 -138.2187 65.2518 1.1011
2015/04/21-00:15:00 08:15:03 -135.9213 64.6166 1.1069
2015/04/21-00:20:00 08:20:04 -133.7187 63.9551 1.1130
2015/04/21-00:25:00 08:25:04 -131.6074 63.2693 1.1197
2015/04/21-00:30:00 08:30:05 -129.5832 62.5612 1.1268
2015/04/21-00:35:00 08:35:06 -127.6420 61.8326 1.1343
2015/04/21-00:40:00 08:40:07 -125.7795 61.0850 1.1424
2015/04/21-00:45:00 08:45:08 -123.9915 60.3200 1.1510
2015/04/21-00:50:00 08:50:08 -122.2736 59.5391 1.1601
2015/04/21-00:55:00 08:55:09 -120.6217 58.7436 1.1698
2015/04/21-01:00:00 09:00:10 -119.0320 57.9346 1.1800
2015/04/21-01:05:00 09:05:11 -117.5006 57.1133 1.1908
2015/04/21-01:10:00 09:10:12 -116.0239 56.2806 1.2023
2015/04/21-01:15:00 09:15:13 -114.5983 55.4377 1.2143
2015/04/21-01:20:00 09:20:13 -113.2208 54.5852 1.2270
2015/04/21-01:25:00 09:25:14 -111.8881 53.7240 1.2404
2015/04/21-01:30:00 09:30:15 -110.5974 52.8549 1.2545
2015/04/21-01:35:00 09:35:16 -109.3460 51.9784 1.2694
2015/04/21-01:40:00 09:40:17 -108.1313 51.0954 1.2850
2015/04/21-01:45:00 09:45:17 -106.9509 50.2062 1.3015
2015/04/21-01:50:00 09:50:18 -105.8027 49.3116 1.3188
2015/04/21-01:55:00 09:55:19 -104.6844 48.4119 1.3370
2015/04/21-02:00:00 10:00:20 -103.5942 47.5076 1.3562
2015/04/21-02:05:00 10:05:21 -102.5302 46.5993 1.3763
2015/04/21-02:10:00 10:10:22 -101.4906 45.6872 1.3976
2015/04/21-02:15:00 10:15:22 -100.4740 44.7718 1.4199
2015/04/21-02:20:00 10:20:23  -99.4787 43.8534 1.4434
2015/04/21-02:25:00 10:25:24  -98.5033 42.9324 1.4681
2015/04/21-02:30:00 10:30:25  -97.5466 42.0090 1.4942
2015/04/21-02:35:00 10:35:26  -96.6072 41.0836 1.5217
2015/04/21-02:40:00 10:40:27  -95.6840 40.1565 1.5507
2015/04/21-02:45:00 10:45:27  -94.7758 39.2279 1.5813
2015/04/21-02:50:00 10:50:28  -93.8817 38.2980 1.6135
2015/04/21-02:55:00 10:55:29  -93.0007 37.3672 1.6477
2015/04/21-03:00:00 11:00:30  -92.1317 36.4357 1.6837
2015/04/21-03:05:00 11:05:31  -91.2740 35.5036 1.7219
2015/04/21-03:10:00 11:10:31  -90.4268 34.5712 1.7623
2015/04/21-03:15:00 11:15:32  -89.5891 33.6387 1.8052
2015/04/21-03:20:00 11:20:33  -88.7603 32.7063 1.8507
2015/04/21-03:25:00 11:25:34  -87.9396 31.7742 1.8991
2015/04/21-03:30:00 11:30:35  -87.1265 30.8426 1.9505
2015/04/21-03:35:00 11:35:36  -86.3201 29.9116 2.0054
2015/04/21-03:40:00 11:40:36  -85.5200 28.9815 2.0639
2015/04/21-03:45:00 11:45:37  -84.7255 28.0524 2.1264
2015/04/21-03:50:00 11:50:38  -83.9360 27.1245 2.1933
2015/04/21-03:55:00 11:55:39  -83.1511 26.1979 2.2651
2015/04/21-04:00:00 12:00:40  -82.3702 25.2728 2.3423
2015/04/21-04:05:00 12:05:40  -81.5927 24.3495 2.4254
2015/04/21-04:10:00 12:10:41  -80.8183 23.4279 2.5151
2015/04/21-04:15:00 12:15:42  -80.0464 22.5084 2.6122
2015/04/21-04:20:00 12:20:43  -79.2766 21.5911 2.7175
2015/04/21-04:25:00 12:25:44  -78.5085 20.6760 2.8322
2015/04/21-04:30:00 12:30:45  -77.7415 19.7635 2.9574
2015/04/21-04:35:00 12:35:45  -76.9755 18.8536 3.0945
2015/04/21-04:40:00 12:40:46  -76.2098 17.9465 3.2454
2015/04/21-04:45:00 12:45:47  -75.4442 17.0424 3.4120
2015/04/21-04:50:00 12:50:48  -74.6782 16.1415 3.5970
2015/04/21-04:55:00 12:55:49  -73.9116 15.2438 3.8033
2015/04/21-05:00:00 13:00:50  -73.1438 14.3496 4.0349
2015/04/21-05:05:00 13:05:50  -72.3747 13.4590 4.2965
2015/04/21-05:10:00 13:10:51  -71.6037 12.5722 4.5941
2015/04/21-05:15:00 13:15:52  -70.8307 11.6893 4.9357
2015/04/21-05:20:00 13:20:53  -70.0552 10.8106 5.3315

