#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)
2015/11/08-09:00:00 06:13:58  +95.3495 14.5675 3.9758 +11:16:22.8 +05:47:52
2015/11/08-09:05:00 06:18:59  +96.2123 15.4945 3.7433 +11:16:22.9 +05:47:51
2015/11/08-09:10:00 06:24:00  +97.0809 16.4199 3.5376 +11:16:23.0 +05:47:51
2015/11/08-09:15:00 06:29:01  +97.9556 17.3436 3.3546 +11:16:23.1 +05:47:50
2015/11/08-09:20:00 06:34:02  +98.8370 18.2653 3.1906 +11:16:23.2 +05:47:49
2015/11/08-09:25:00 06:39:02  +99.7256 19.1849 3.0431 +11:16:23.4 +05:47:48
2015/11/08-09:30:00 06:44:03 +100.6220 20.1019 2.9096 +11:16:23.5 +05:47:48
2015/11/08-09:35:00 06:49:04 +101.5269 21.0163 2.7884 +11:16:23.6 +05:47:47
2015/11/08-09:40:00 06:54:05 +102.4407 21.9277 2.6778 +11:16:23.7 +05:47:46
2015/11/08-09:45:00 06:59:06 +103.3640 22.8359 2.5767 +11:16:23.9 +05:47:46
2015/11/08-09:50:00 07:04:07 +104.2976 23.7406 2.4839 +11:16:24.0 +05:47:45
2015/11/08-09:55:00 07:09:07 +105.2420 24.6415 2.3984 +11:16:24.1 +05:47:44
2015/11/08-10:00:00 07:14:08 +106.1979 25.5383 2.3196 +11:16:24.2 +05:47:43
2015/11/08-10:05:00 07:19:09 +107.1660 26.4308 2.2466 +11:16:24.3 +05:47:43
2015/11/08-10:10:00 07:24:10 +108.1469 27.3186 2.1789 +11:16:24.5 +05:47:42
2015/11/08-10:15:00 07:29:11 +109.1414 28.2015 2.1161 +11:16:24.6 +05:47:41
2015/11/08-10:20:00 07:34:11 +110.1502 29.0789 2.0576 +11:16:24.7 +05:47:40
2015/11/08-10:25:00 07:39:12 +111.1741 29.9507 2.0030 +11:16:24.8 +05:47:40
2015/11/08-10:30:00 07:44:13 +112.2137 30.8164 1.9520 +11:16:25.0 +05:47:39
2015/11/08-10:35:00 07:49:14 +113.2700 31.6757 1.9044 +11:16:25.1 +05:47:38
2015/11/08-10:40:00 07:54:15 +114.3437 32.5281 1.8597 +11:16:25.2 +05:47:37
2015/11/08-10:45:00 07:59:16 +115.4356 33.3732 1.8179 +11:16:25.3 +05:47:37
2015/11/08-10:50:00 08:04:16 +116.5466 34.2107 1.7786 +11:16:25.4 +05:47:36
2015/11/08-10:55:00 08:09:17 +117.6775 35.0400 1.7417 +11:16:25.6 +05:47:35
2015/11/08-11:00:00 08:14:18 +118.8293 35.8607 1.7070 +11:16:25.7 +05:47:35
2015/11/08-11:05:00 08:19:19 +120.0028 36.6722 1.6744 +11:16:25.8 +05:47:34
2015/11/08-11:10:00 08:24:20 +121.1989 37.4742 1.6436 +11:16:25.9 +05:47:33
2015/11/08-11:15:00 08:29:20 +122.4185 38.2659 1.6147 +11:16:26.1 +05:47:32
2015/11/08-11:20:00 08:34:21 +123.6626 39.0469 1.5874 +11:16:26.2 +05:47:32
2015/11/08-11:25:00 08:39:22 +124.9322 39.8166 1.5617 +11:16:26.3 +05:47:31
2015/11/08-11:30:00 08:44:23 +126.2280 40.5743 1.5374 +11:16:26.4 +05:47:30
2015/11/08-11:35:00 08:49:24 +127.5510 41.3195 1.5146 +11:16:26.6 +05:47:29
2015/11/08-11:40:00 08:54:25 +128.9022 42.0514 1.4930 +11:16:26.7 +05:47:29
2015/11/08-11:45:00 08:59:25 +130.2824 42.7693 1.4727 +11:16:26.8 +05:47:28
