#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-19:15:00 14:24:30  +40.0465 10.5368 5.4684
2015/10/07-19:20:00 14:29:30  +40.7484 11.1410 5.1753
2015/10/07-19:25:00 14:34:31  +41.4440 11.7538 4.9090
2015/10/07-19:30:00 14:39:32  +42.1334 12.3750 4.6661
2015/10/07-19:35:00 14:44:33  +42.8164 13.0045 4.4439
2015/10/07-19:40:00 14:49:34  +43.4932 13.6422 4.2398
2015/10/07-19:45:00 14:54:34  +44.1638 14.2878 4.0520
2015/10/07-19:50:00 14:59:35  +44.8283 14.9411 3.8786
2015/10/07-19:55:00 15:04:36  +45.4867 15.6021 3.7181
2015/10/07-20:00:00 15:09:37  +46.1390 16.2706 3.5692
2015/10/07-20:05:00 15:14:38  +46.7854 16.9464 3.4308
2015/10/07-20:10:00 15:19:39  +47.4257 17.6294 3.3019
2015/10/07-20:15:00 15:24:39  +48.0602 18.3194 3.1815
2015/10/07-20:20:00 15:29:40  +48.6889 19.0162 3.0690
2015/10/07-20:25:00 15:34:41  +49.3118 19.7198 2.9637
2015/10/07-20:30:00 15:39:42  +49.9289 20.4299 2.8648
2015/10/07-20:35:00 15:44:43  +50.5404 21.1465 2.7720
2015/10/07-20:40:00 15:49:44  +51.1463 21.8694 2.6846
2015/10/07-20:45:00 15:54:44  +51.7467 22.5984 2.6023
2015/10/07-20:50:00 15:59:45  +52.3416 23.3335 2.5247
2015/10/07-20:55:00 16:04:46  +52.9310 24.0744 2.4514
2015/10/07-21:00:00 16:09:47  +53.5152 24.8211 2.3822
2015/10/07-21:05:00 16:14:48  +54.0940 25.5735 2.3166
2015/10/07-21:10:00 16:19:48  +54.6676 26.3313 2.2545
2015/10/07-21:15:00 16:24:49  +55.2361 27.0945 2.1956
2015/10/07-21:20:00 16:29:50  +55.7995 27.8629 2.1397
2015/10/07-21:25:00 16:34:51  +56.3578 28.6365 2.0866
2015/10/07-21:30:00 16:39:52  +56.9112 29.4151 2.0361
2015/10/07-21:35:00 16:44:53  +57.4596 30.1986 1.9881
2015/10/07-21:40:00 16:49:53  +58.0032 30.9868 1.9423
2015/10/07-21:45:00 16:54:54  +58.5420 31.7798 1.8988
2015/10/07-21:50:00 16:59:55  +59.0761 32.5772 1.8572
2015/10/07-21:55:00 17:04:56  +59.6055 33.3792 1.8176
2015/10/07-22:00:00 17:09:57  +60.1303 34.1854 1.7798
2015/10/07-22:05:00 17:14:57  +60.6506 34.9959 1.7436
2015/10/07-22:10:00 17:19:58  +61.1663 35.8106 1.7091
2015/10/07-22:15:00 17:24:59  +61.6775 36.6292 1.6761
2015/10/07-22:20:00 17:30:00  +62.1844 37.4518 1.6445
2015/10/07-22:25:00 17:35:01  +62.6868 38.2782 1.6143
2015/10/07-22:30:00 17:40:02  +63.1850 39.1084 1.5853
2015/10/07-22:35:00 17:45:02  +63.6788 39.9422 1.5576
2015/10/07-22:40:00 17:50:03  +64.1684 40.7795 1.5310
2015/10/07-22:45:00 17:55:04  +64.6538 41.6203 1.5056
2015/10/07-22:50:00 18:00:05  +65.1350 42.4645 1.4812
2015/10/07-22:55:00 18:05:06  +65.6120 43.3119 1.4578
2015/10/07-23:00:00 18:10:07  +66.0849 44.1626 1.4353
2015/10/07-23:05:00 18:15:07  +66.5537 45.0163 1.4138
2015/10/07-23:10:00 18:20:08  +67.0183 45.8731 1.3931
2015/10/07-23:15:00 18:25:09  +67.4789 46.7328 1.3733
2015/10/07-23:20:00 18:30:10  +67.9353 47.5953 1.3543
2015/10/07-23:25:00 18:35:11  +68.3877 48.4607 1.3360
2015/10/07-23:30:00 18:40:11  +68.8359 49.3287 1.3185
2015/10/07-23:35:00 18:45:12  +69.2800 50.1994 1.3016
2015/10/07-23:40:00 18:50:13  +69.7199 51.0726 1.2854
2015/10/07-23:45:00 18:55:14  +70.1556 51.9482 1.2699
2015/10/07-23:50:00 19:00:15  +70.5870 52.8263 1.2550
2015/10/07-23:55:00 19:05:16  +71.0140 53.7067 1.2407
2015/10/08-00:00:00 19:10:16  +71.4367 54.5893 1.2270
2015/10/08-00:05:00 19:15:17  +71.8548 55.4742 1.2138
2015/10/08-00:10:00 19:20:18  +72.2683 56.3611 1.2011
2015/10/08-00:15:00 19:25:19  +72.6771 57.2500 1.1890
2015/10/08-00:20:00 19:30:20  +73.0809 58.1410 1.1774
2015/10/08-00:25:00 19:35:20  +73.4796 59.0338 1.1662
2015/10/08-00:30:00 19:40:21  +73.8730 59.9284 1.1555
2015/10/08-00:35:00 19:45:22  +74.2608 60.8249 1.1453
2015/10/08-00:40:00 19:50:23  +74.6427 61.7230 1.1355
2015/10/08-00:45:00 19:55:24  +75.0184 62.6227 1.1261
2015/10/08-00:50:00 20:00:25  +75.3875 63.5241 1.1172
2015/10/08-00:55:00 20:05:25  +75.7495 64.4269 1.1086
2015/10/08-01:00:00 20:10:26  +76.1039 65.3312 1.1004
2015/10/08-01:05:00 20:15:27  +76.4501 66.2368 1.0926
2015/10/08-01:10:00 20:20:28  +76.7872 67.1437 1.0852
2015/10/08-01:15:00 20:25:29  +77.1145 68.0519 1.0781
