#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/10/07-14:00:00 09:08:36 +140.8520 57.8556 1.1810
2015/10/07-14:05:00 09:13:37 +142.8699 58.4316 1.1737
2015/10/07-14:10:00 09:18:38 +144.9471 58.9809 1.1669
2015/10/07-14:15:00 09:23:39 +147.0840 59.5022 1.1606
2015/10/07-14:20:00 09:28:39 +149.2802 59.9939 1.1548
2015/10/07-14:25:00 09:33:40 +151.5351 60.4544 1.1495
2015/10/07-14:30:00 09:38:41 +153.8473 60.8822 1.1447
2015/10/07-14:35:00 09:43:42 +156.2150 61.2759 1.1403
2015/10/07-14:40:00 09:48:43 +158.6355 61.6339 1.1365
2015/10/07-14:45:00 09:53:43 +161.1057 61.9549 1.1330
2015/10/07-14:50:00 09:58:44 +163.6215 62.2374 1.1301
2015/10/07-14:55:00 10:03:45 +166.1783 62.4804 1.1276
2015/10/07-15:00:00 10:08:46 +168.7707 62.6826 1.1255
2015/10/07-15:05:00 10:13:47 +171.3929 62.8433 1.1239
2015/10/07-15:10:00 10:18:48 +174.0383 62.9615 1.1227
2015/10/07-15:15:00 10:23:48 +176.7001 63.0368 1.1220
2015/10/07-15:20:00 10:28:49 +179.3710 63.0688 1.1216
2015/10/07-15:25:00 10:33:50 -177.9564 63.0573 1.1218
2015/10/07-15:30:00 10:38:51 -175.2894 63.0023 1.1223
2015/10/07-15:35:00 10:43:52 -172.6354 62.9042 1.1233
2015/10/07-15:40:00 10:48:52 -170.0014 62.7635 1.1247
2015/10/07-15:45:00 10:53:53 -167.3942 62.5807 1.1266
2015/10/07-15:50:00 10:58:54 -164.8199 62.3568 1.1289
2015/10/07-15:55:00 11:03:55 -162.2842 62.0927 1.1316
2015/10/07-16:00:00 11:08:56 -159.7921 61.7897 1.1348
2015/10/07-16:05:00 11:13:57 -157.3477 61.4489 1.1384
2015/10/07-16:10:00 11:18:57 -154.9548 61.0719 1.1426
2015/10/07-16:15:00 11:23:58 -152.6162 60.6599 1.1471
2015/10/07-16:20:00 11:28:59 -150.3342 60.2146 1.1522
2015/10/07-16:25:00 11:34:00 -148.1102 59.7374 1.1578
2015/10/07-16:30:00 11:39:01 -145.9454 59.2298 1.1638
2015/10/07-16:35:00 11:44:02 -143.8401 58.6935 1.1704
2015/10/07-16:40:00 11:49:02 -141.7943 58.1299 1.1775
2015/10/07-16:45:00 11:54:03 -139.8075 57.5405 1.1852
2015/10/07-16:50:00 11:59:04 -137.8791 56.9268 1.1934
2015/10/07-16:55:00 12:04:05 -136.0078 56.2901 1.2021
2015/10/07-17:00:00 12:09:06 -134.1924 55.6319 1.2115
2015/10/07-17:05:00 12:14:06 -132.4312 54.9533 1.2215
2015/10/07-17:10:00 12:19:07 -130.7227 54.2557 1.2321
2015/10/07-17:15:00 12:24:08 -129.0650 53.5403 1.2434
2015/10/07-17:20:00 12:29:09 -127.4562 52.8081 1.2553
2015/10/07-17:25:00 12:34:10 -125.8945 52.0602 1.2680
2015/10/07-17:30:00 12:39:11 -124.3779 51.2976 1.2814
2015/10/07-17:35:00 12:44:11 -122.9044 50.5212 1.2956
2015/10/07-17:40:00 12:49:12 -121.4722 49.7320 1.3106
2015/10/07-17:45:00 12:54:13 -120.0792 48.9308 1.3264
2015/10/07-17:50:00 12:59:14 -118.7238 48.1185 1.3431
2015/10/07-17:55:00 13:04:15 -117.4039 47.2956 1.3608
2015/10/07-18:00:00 13:09:15 -116.1180 46.4630 1.3794
2015/10/07-18:05:00 13:14:16 -114.8642 45.6212 1.3991
2015/10/07-18:10:00 13:19:17 -113.6409 44.7710 1.4199
2015/10/07-18:15:00 13:24:18 -112.4466 43.9130 1.4418
2015/10/07-18:20:00 13:29:19 -111.2797 43.0475 1.4650
2015/10/07-18:25:00 13:34:20 -110.1388 42.1753 1.4894
2015/10/07-18:30:00 13:39:20 -109.0224 41.2967 1.5152
2015/10/07-18:35:00 13:44:21 -107.9293 40.4123 1.5425
2015/10/07-18:40:00 13:49:22 -106.8580 39.5224 1.5714
2015/10/07-18:45:00 13:54:23 -105.8075 38.6276 1.6019
2015/10/07-18:50:00 13:59:24 -104.7766 37.7281 1.6342
2015/10/07-18:55:00 14:04:25 -103.7640 36.8244 1.6684
2015/10/07-19:00:00 14:09:25 -102.7689 35.9168 1.7047
2015/10/07-19:05:00 14:14:26 -101.7900 35.0056 1.7432
2015/10/07-19:10:00 14:19:27 -100.8265 34.0912 1.7841
2015/10/07-19:15:00 14:24:28  -99.8775 33.1739 1.8275
2015/10/07-19:20:00 14:29:29  -98.9420 32.2540 1.8738
2015/10/07-19:25:00 14:34:29  -98.0191 31.3317 1.9231
