#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/04/21-03:05:00 11:05:31 +120.1295 10.7753 5.3488
2015/04/21-03:10:00 11:10:31 +121.0609 11.5780 4.9825
2015/04/21-03:15:00 11:15:32 +122.0019 12.3728 4.6670
2015/04/21-03:20:00 11:20:33 +122.9529 13.1595 4.3925
2015/04/21-03:25:00 11:25:34 +123.9143 13.9377 4.1517
2015/04/21-03:30:00 11:30:35 +124.8864 14.7071 3.9389
2015/04/21-03:35:00 11:35:36 +125.8695 15.4674 3.7497
2015/04/21-03:40:00 11:40:36 +126.8640 16.2183 3.5804
2015/04/21-03:45:00 11:45:37 +127.8702 16.9594 3.4282
2015/04/21-03:50:00 11:50:38 +128.8884 17.6904 3.2908
2015/04/21-03:55:00 11:55:39 +129.9189 18.4109 3.1663
2015/04/21-04:00:00 12:00:40 +130.9620 19.1207 3.0529
2015/04/21-04:05:00 12:05:40 +132.0180 19.8192 2.9494
2015/04/21-04:10:00 12:10:41 +133.0871 20.5061 2.8546
2015/04/21-04:15:00 12:15:42 +134.1697 21.1811 2.7677
2015/04/21-04:20:00 12:20:43 +135.2659 21.8437 2.6876
2015/04/21-04:25:00 12:25:44 +136.3760 22.4936 2.6138
2015/04/21-04:30:00 12:30:45 +137.5001 23.1303 2.5457
2015/04/21-04:35:00 12:35:45 +138.6385 23.7534 2.4826
2015/04/21-04:40:00 12:40:46 +139.7913 24.3625 2.4242
2015/04/21-04:45:00 12:45:47 +140.9586 24.9572 2.3700
2015/04/21-04:50:00 12:50:48 +142.1406 25.5371 2.3197
2015/04/21-04:55:00 12:55:49 +143.3373 26.1017 2.2729
2015/04/21-05:00:00 13:00:50 +144.5487 26.6506 2.2294
2015/04/21-05:05:00 13:05:50 +145.7748 27.1833 2.1890
2015/04/21-05:10:00 13:10:51 +147.0157 27.6994 2.1513
2015/04/21-05:15:00 13:15:52 +148.2713 28.1984 2.1163
2015/04/21-05:20:00 13:20:53 +149.5413 28.6800 2.0837
2015/04/21-05:25:00 13:25:54 +150.8257 29.1437 2.0534
2015/04/21-05:30:00 13:30:54 +152.1243 29.5890 2.0252
2015/04/21-05:35:00 13:35:55 +153.4369 30.0155 1.9991
2015/04/21-05:40:00 13:40:56 +154.7631 30.4229 1.9748
2015/04/21-05:45:00 13:45:57 +156.1026 30.8106 1.9524
2015/04/21-05:50:00 13:50:58 +157.4549 31.1782 1.9316
2015/04/21-05:55:00 13:55:59 +158.8198 31.5255 1.9125
2015/04/21-06:00:00 14:00:59 +160.1966 31.8519 1.8949
