#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-16:15:00 11:24:00  +50.5601 10.6404 5.4158
2015/10/07-16:20:00 11:29:01  +51.2837 11.3641 5.0750
2015/10/07-16:25:00 11:34:02  +52.0015 12.0951 4.7725
2015/10/07-16:30:00 11:39:02  +52.7135 12.8333 4.5022
2015/10/07-16:35:00 11:44:03  +53.4199 13.5784 4.2594
2015/10/07-16:40:00 11:49:04  +54.1209 14.3304 4.0402
2015/10/07-16:45:00 11:54:05  +54.8165 15.0891 3.8414
2015/10/07-16:50:00 11:59:06  +55.5070 15.8542 3.6604
2015/10/07-16:55:00 12:04:07  +56.1924 16.6257 3.4951
2015/10/07-17:00:00 12:09:07  +56.8730 17.4034 3.3434
2015/10/07-17:05:00 12:14:08  +57.5488 18.1871 3.2039
2015/10/07-17:10:00 12:19:09  +58.2201 18.9767 3.0752
2015/10/07-17:15:00 12:24:10  +58.8869 19.7720 2.9561
2015/10/07-17:20:00 12:29:11  +59.5495 20.5729 2.8458
2015/10/07-17:25:00 12:34:11  +60.2080 21.3793 2.7432
2015/10/07-17:30:00 12:39:12  +60.8626 22.1909 2.6476
2015/10/07-17:35:00 12:44:13  +61.5135 23.0078 2.5585
2015/10/07-17:40:00 12:49:14  +62.1608 23.8296 2.4751
2015/10/07-17:45:00 12:54:15  +62.8047 24.6564 2.3971
2015/10/07-17:50:00 12:59:16  +63.4454 25.4879 2.3238
2015/10/07-17:55:00 13:04:16  +64.0831 26.3241 2.2551
2015/10/07-18:00:00 13:09:17  +64.7180 27.1649 2.1903
2015/10/07-18:05:00 13:14:18  +65.3503 28.0100 2.1294
2015/10/07-18:10:00 13:19:19  +65.9801 28.8594 2.0718
2015/10/07-18:15:00 13:24:20  +66.6078 29.7130 2.0175
2015/10/07-18:20:00 13:29:21  +67.2335 30.5706 1.9662
2015/10/07-18:25:00 13:34:21  +67.8574 31.4322 1.9176
2015/10/07-18:30:00 13:39:22  +68.4798 32.2975 1.8716
2015/10/07-18:35:00 13:44:23  +69.1008 33.1666 1.8279
2015/10/07-18:40:00 13:49:24  +69.7209 34.0393 1.7865
2015/10/07-18:45:00 13:54:25  +70.3401 34.9155 1.7471
2015/10/07-18:50:00 13:59:25  +70.9588 35.7951 1.7097
2015/10/07-18:55:00 14:04:26  +71.5773 36.6779 1.6742
2015/10/07-19:00:00 14:09:27  +72.1958 37.5639 1.6403
2015/10/07-19:05:00 14:14:28  +72.8146 38.4531 1.6080
2015/10/07-19:10:00 14:19:29  +73.4342 39.3451 1.5773
2015/10/07-19:15:00 14:24:30  +74.0547 40.2401 1.5480
2015/10/07-19:20:00 14:29:30  +74.6765 41.1379 1.5201
2015/10/07-19:25:00 14:34:31  +75.3001 42.0383 1.4934
2015/10/07-19:30:00 14:39:32  +75.9258 42.9413 1.4679
2015/10/07-19:35:00 14:44:33  +76.5540 43.8468 1.4436
2015/10/07-19:40:00 14:49:34  +77.1852 44.7546 1.4203
2015/10/07-19:45:00 14:54:34  +77.8199 45.6648 1.3981
2015/10/07-19:50:00 14:59:35  +78.4585 46.5771 1.3768
2015/10/07-19:55:00 15:04:36  +79.1016 47.4915 1.3565
2015/10/07-20:00:00 15:09:37  +79.7498 48.4079 1.3371
2015/10/07-20:05:00 15:14:38  +80.4037 49.3262 1.3185
2015/10/07-20:10:00 15:19:39  +81.0641 50.2463 1.3007
2015/10/07-20:15:00 15:24:39  +81.7315 51.1680 1.2837
2015/10/07-20:20:00 15:29:40  +82.4069 52.0913 1.2674
2015/10/07-20:25:00 15:34:41  +83.0912 53.0161 1.2519
2015/10/07-20:30:00 15:39:42  +83.7852 53.9422 1.2370
2015/10/07-20:35:00 15:44:43  +84.4900 54.8696 1.2227
2015/10/07-20:40:00 15:49:44  +85.2068 55.7980 1.2091
2015/10/07-20:45:00 15:54:44  +85.9369 56.7275 1.1961
2015/10/07-20:50:00 15:59:45  +86.6817 57.6578 1.1836
2015/10/07-20:55:00 16:04:46  +87.4428 58.5888 1.1717
2015/10/07-21:00:00 16:09:47  +88.2218 59.5203 1.1603
2015/10/07-21:05:00 16:14:48  +89.0209 60.4523 1.1495
2015/10/07-21:10:00 16:19:48  +89.8421 61.3845 1.1391
2015/10/07-21:15:00 16:24:49  +90.6881 62.3167 1.1293
2015/10/07-21:20:00 16:29:50  +91.5615 63.2488 1.1199
2015/10/07-21:25:00 16:34:51  +92.4657 64.1804 1.1109
2015/10/07-21:30:00 16:39:52  +93.4043 65.1114 1.1024
2015/10/07-21:35:00 16:44:53  +94.3816 66.0415 1.0943
2015/10/07-21:40:00 16:49:53  +95.4023 66.9703 1.0866
2015/10/07-21:45:00 16:54:54  +96.4722 67.8976 1.0793
