#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2015/11/08-09:25:00 06:39:02  +96.1529 10.4163 5.5310 +11:51:41.6 +02:25:59
2015/11/08-09:30:00 06:44:03  +97.0106 11.3404 5.0855 +11:51:42.1 +02:25:56
2015/11/08-09:35:00 06:49:04  +97.8730 12.2628 4.7082 +11:51:42.6 +02:25:53
2015/11/08-09:40:00 06:54:05  +98.7406 13.1833 4.3847 +11:51:43.0 +02:25:50
2015/11/08-09:45:00 06:59:06  +99.6138 14.1016 4.1044 +11:51:43.5 +02:25:47
2015/11/08-09:50:00 07:04:07 +100.4932 15.0176 3.8593 +11:51:43.9 +02:25:44
2015/11/08-09:55:00 07:09:07 +101.3793 15.9309 3.6433 +11:51:44.4 +02:25:41
2015/11/08-10:00:00 07:14:08 +102.2726 16.8414 3.4516 +11:51:44.9 +02:25:38
2015/11/08-10:05:00 07:19:09 +103.1736 17.7488 3.2804 +11:51:45.3 +02:25:35
2015/11/08-10:10:00 07:24:10 +104.0830 18.6528 3.1266 +11:51:45.8 +02:25:32
2015/11/08-10:15:00 07:29:11 +105.0011 19.5532 2.9879 +11:51:46.3 +02:25:29
2015/11/08-10:20:00 07:34:11 +105.9287 20.4497 2.8622 +11:51:46.7 +02:25:27
2015/11/08-10:25:00 07:39:12 +106.8662 21.3421 2.7477 +11:51:47.2 +02:25:24
2015/11/08-10:30:00 07:44:13 +107.8143 22.2300 2.6432 +11:51:47.6 +02:25:21
2015/11/08-10:35:00 07:49:14 +108.7736 23.1132 2.5475 +11:51:48.1 +02:25:18
2015/11/08-10:40:00 07:54:15 +109.7446 23.9913 2.4594 +11:51:48.6 +02:25:15
2015/11/08-10:45:00 07:59:16 +110.7281 24.8640 2.3783 +11:51:49.0 +02:25:12
2015/11/08-10:50:00 08:04:16 +111.7246 25.7311 2.3034 +11:51:49.5 +02:25:09
2015/11/08-10:55:00 08:09:17 +112.7348 26.5921 2.2340 +11:51:50.0 +02:25:06
2015/11/08-11:00:00 08:14:18 +113.7593 27.4467 2.1696 +11:51:50.4 +02:25:03
2015/11/08-11:05:00 08:19:19 +114.7989 28.2946 2.1097 +11:51:50.9 +02:25:00
2015/11/08-11:10:00 08:24:20 +115.8543 29.1353 2.0539 +11:51:51.3 +02:24:57
2015/11/08-11:15:00 08:29:20 +116.9261 29.9685 2.0019 +11:51:51.8 +02:24:54
2015/11/08-11:20:00 08:34:21 +118.0150 30.7938 1.9533 +11:51:52.3 +02:24:51
2015/11/08-11:25:00 08:39:22 +119.1218 31.6106 1.9079 +11:51:52.7 +02:24:48
2015/11/08-11:30:00 08:44:23 +120.2473 32.4186 1.8653 +11:51:53.2 +02:24:45
2015/11/08-11:35:00 08:49:24 +121.3920 33.2173 1.8254 +11:51:53.7 +02:24:42
2015/11/08-11:40:00 08:54:25 +122.5569 34.0063 1.7880 +11:51:54.1 +02:24:39
2015/11/08-11:45:00 08:59:25 +123.7425 34.7850 1.7529 +11:51:54.6 +02:24:36
2015/11/08-11:50:00 09:04:26 +124.9498 35.5528 1.7198 +11:51:55.1 +02:24:33
2015/11/08-11:55:00 09:09:27 +126.1793 36.3093 1.6888 +11:51:55.5 +02:24:30
2015/11/08-12:00:00 09:14:28 +127.4319 37.0540 1.6596 +11:51:56.0 +02:24:27
2015/11/08-12:05:00 09:19:29 +128.7082 37.7861 1.6321 +11:51:56.4 +02:24:24
2015/11/08-12:10:00 09:24:30 +130.0090 38.5051 1.6062 +11:51:56.9 +02:24:21
2015/11/08-12:15:00 09:29:30 +131.3350 39.2104 1.5819 +11:51:57.4 +02:24:18
2015/11/08-12:20:00 09:34:31 +132.6867 39.9013 1.5589 +11:51:57.8 +02:24:15
2015/11/08-12:25:00 09:39:32 +134.0648 40.5772 1.5373 +11:51:58.3 +02:24:12
2015/11/08-12:30:00 09:44:33 +135.4700 41.2374 1.5170 +11:51:58.8 +02:24:09
2015/11/08-12:35:00 09:49:34 +136.9026 41.8811 1.4979 +11:51:59.2 +02:24:06
2015/11/08-12:40:00 09:54:34 +138.3632 42.5076 1.4800 +11:51:59.7 +02:24:03
2015/11/08-12:45:00 09:59:35 +139.8522 43.1163 1.4631 +11:52:00.1 +02:24:00
2015/11/08-12:50:00 10:04:36 +141.3699 43.7062 1.4473 +11:52:00.6 +02:23:57
2015/11/08-12:55:00 10:09:37 +142.9165 44.2767 1.4324 +11:52:01.1 +02:23:55
2015/11/08-13:00:00 10:14:38 +144.4921 44.8270 1.4185 +11:52:01.5 +02:23:52
2015/11/08-13:05:00 10:19:39 +146.0969 45.3562 1.4055 +11:52:02.0 +02:23:49
2015/11/08-13:10:00 10:24:39 +147.7306 45.8636 1.3934 +11:52:02.5 +02:23:46
2015/11/08-13:15:00 10:29:40 +149.3931 46.3483 1.3821 +11:52:02.9 +02:23:43
2015/11/08-13:20:00 10:34:41 +151.0840 46.8096 1.3716 +11:52:03.4 +02:23:40
2015/11/08-13:25:00 10:39:42 +152.8028 47.2467 1.3619 +11:52:03.8 +02:23:37
2015/11/08-13:30:00 10:44:43 +154.5487 47.6587 1.3529 +11:52:04.3 +02:23:34
2015/11/08-13:35:00 10:49:43 +156.3210 48.0449 1.3447 +11:52:04.8 +02:23:31
2015/11/08-13:40:00 10:54:44 +158.1187 48.4045 1.3372 +11:52:05.2 +02:23:28
2015/11/08-13:45:00 10:59:45 +159.9405 48.7369 1.3303 +11:52:05.7 +02:23:25
2015/11/08-13:50:00 11:04:46 +161.7850 49.0412 1.3242 +11:52:06.2 +02:23:22
2015/11/08-13:55:00 11:09:47 +163.6508 49.3169 1.3187 +11:52:06.6 +02:23:19
2015/11/08-14:00:00 11:14:48 +165.5361 49.5634 1.3138 +11:52:07.1 +02:23:16
2015/11/08-14:05:00 11:19:48 +167.4391 49.7801 1.3096 +11:52:07.6 +02:23:13
2015/11/08-14:10:00 11:24:49 +169.3576 49.9665 1.3060 +11:52:08.0 +02:23:10
2015/11/08-14:15:00 11:29:50 +171.2896 50.1222 1.3031 +11:52:08.5 +02:23:07
2015/11/08-14:20:00 11:34:51 +173.2328 50.2467 1.3007 +11:52:08.9 +02:23:04
2015/11/08-14:25:00 11:39:52 +175.1847 50.3398 1.2990 +11:52:09.4 +02:23:01
2015/11/08-14:30:00 11:44:53 +177.1428 50.4012 1.2978 +11:52:09.9 +02:22:58
2015/11/08-14:35:00 11:49:53 +179.1046 50.4309 1.2973 +11:52:10.3 +02:22:55
2015/11/08-14:40:00 11:54:54 -178.9324 50.4287 1.2973 +11:52:10.8 +02:22:52
2015/11/08-14:45:00 11:59:55 -176.9709 50.3946 1.2979 +11:52:11.3 +02:22:49
2015/11/08-14:50:00 12:04:56 -175.0135 50.3287 1.2992 +11:52:11.7 +02:22:46
2015/11/08-14:55:00 12:09:57 -173.0627 50.2312 1.3010 +11:52:12.2 +02:22:43
2015/11/08-15:00:00 12:14:57 -171.1210 50.1023 1.3035 +11:52:12.6 +02:22:40
