#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2015/11/08-13:10:00 10:24:39 +119.6307 10.1015 5.7015 +14:32:29.3 -14:10:07
2015/11/08-13:15:00 10:29:40 +120.5526 10.9030 5.2869 +14:32:30.6 -14:10:14
2015/11/08-13:20:00 10:34:41 +121.4839 11.6969 4.9326 +14:32:31.9 -14:10:22
2015/11/08-13:25:00 10:39:42 +122.4247 12.4828 4.6265 +14:32:33.3 -14:10:30
2015/11/08-13:30:00 10:44:43 +123.3756 13.2605 4.3596 +14:32:34.6 -14:10:38
2015/11/08-13:35:00 10:49:43 +124.3368 14.0297 4.1250 +14:32:35.9 -14:10:45
2015/11/08-13:40:00 10:54:44 +125.3086 14.7900 3.9173 +14:32:37.2 -14:10:53
2015/11/08-13:45:00 10:59:45 +126.2914 15.5411 3.7323 +14:32:38.5 -14:11:01
2015/11/08-13:50:00 11:04:46 +127.2855 16.2828 3.5666 +14:32:39.8 -14:11:08
2015/11/08-13:55:00 11:09:47 +128.2911 17.0146 3.4174 +14:32:41.1 -14:11:16
2015/11/08-14:00:00 11:14:48 +129.3087 17.7363 3.2826 +14:32:42.4 -14:11:24
2015/11/08-14:05:00 11:19:48 +130.3385 18.4474 3.1602 +14:32:43.7 -14:11:31
2015/11/08-14:10:00 11:24:49 +131.3807 19.1477 3.0487 +14:32:45.0 -14:11:39
2015/11/08-14:15:00 11:29:50 +132.4357 19.8367 2.9469 +14:32:46.3 -14:11:47
2015/11/08-14:20:00 11:34:51 +133.5037 20.5141 2.8536 +14:32:47.6 -14:11:54
2015/11/08-14:25:00 11:39:52 +134.5849 21.1796 2.7678 +14:32:48.9 -14:12:02
2015/11/08-14:30:00 11:44:53 +135.6796 21.8326 2.6889 +14:32:50.2 -14:12:10
2015/11/08-14:35:00 11:49:53 +136.7880 22.4728 2.6161 +14:32:51.5 -14:12:18
2015/11/08-14:40:00 11:54:54 +137.9102 23.0999 2.5488 +14:32:52.8 -14:12:25
2015/11/08-14:45:00 11:59:55 +139.0465 23.7133 2.4866 +14:32:54.1 -14:12:33
2015/11/08-14:50:00 12:04:56 +140.1969 24.3128 2.4288 +14:32:55.4 -14:12:41
2015/11/08-14:55:00 12:09:57 +141.3616 24.8979 2.3753 +14:32:56.7 -14:12:48
2015/11/08-15:00:00 12:14:57 +142.5406 25.4681 2.3255 +14:32:58.0 -14:12:56
