#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)
2015/10/07-14:00:00 09:08:36 -178.5575 60.7429 1.1462 +09:05:42.7 +12:40:47
2015/10/07-14:05:00 09:13:37 -176.1431 60.6917 1.1468 +09:05:52.7 +12:40:12
2015/10/07-14:10:00 09:18:38 -173.7385 60.6026 1.1478 +09:06:02.8 +12:39:38
2015/10/07-14:15:00 09:23:39 -171.3487 60.4762 1.1492 +09:06:12.9 +12:39:04
2015/10/07-14:20:00 09:28:39 -168.9788 60.3127 1.1511 +09:06:22.9 +12:38:29
2015/10/07-14:25:00 09:33:40 -166.6333 60.1129 1.1534 +09:06:33.0 +12:37:55
2015/10/07-14:30:00 09:38:41 -164.3164 59.8774 1.1561 +09:06:43.1 +12:37:20
2015/10/07-14:35:00 09:43:42 -162.0322 59.6071 1.1593 +09:06:53.2 +12:36:46
2015/10/07-14:40:00 09:48:43 -159.7839 59.3030 1.1630 +09:07:03.2 +12:36:11
2015/10/07-14:45:00 09:53:43 -157.5747 58.9660 1.1670 +09:07:13.3 +12:35:37
2015/10/07-14:50:00 09:58:44 -155.4070 58.5973 1.1716 +09:07:23.3 +12:35:02
2015/10/07-14:55:00 10:03:45 -153.2829 58.1980 1.1766 +09:07:33.4 +12:34:27
2015/10/07-15:00:00 10:08:46 -151.2041 57.7693 1.1822 +09:07:43.5 +12:33:53
2015/10/07-15:05:00 10:13:47 -149.1718 57.3122 1.1882 +09:07:53.5 +12:33:18
2015/10/07-15:10:00 10:18:48 -147.1869 56.8281 1.1947 +09:08:03.6 +12:32:44
2015/10/07-15:15:00 10:23:48 -145.2497 56.3182 1.2017 +09:08:13.6 +12:32:09
2015/10/07-15:20:00 10:28:49 -143.3604 55.7837 1.2093 +09:08:23.7 +12:31:34
2015/10/07-15:25:00 10:33:50 -141.5189 55.2257 1.2174 +09:08:33.8 +12:30:59
2015/10/07-15:30:00 10:38:51 -139.7248 54.6454 1.2261 +09:08:43.8 +12:30:25
2015/10/07-15:35:00 10:43:52 -137.9774 54.0439 1.2354 +09:08:53.9 +12:29:50
2015/10/07-15:40:00 10:48:52 -136.2760 53.4223 1.2453 +09:09:03.9 +12:29:15
2015/10/07-15:45:00 10:53:53 -134.6194 52.7818 1.2557 +09:09:14.0 +12:28:40
2015/10/07-15:50:00 10:58:54 -133.0067 52.1233 1.2669 +09:09:24.0 +12:28:05
