#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-23:30:00 18:40:10  +85.8389 10.3934 5.5430
2015/10/07-23:35:00 18:45:11  +86.6648 11.3239 5.0928
2015/10/07-23:40:00 18:50:11  +87.4925 12.2552 4.7111
2015/10/07-23:45:00 18:55:12  +88.3224 13.1871 4.3834
2015/10/07-23:50:00 19:00:13  +89.1550 14.1193 4.0993
2015/10/07-23:55:00 19:05:14  +89.9907 15.0518 3.8507
2015/10/08-00:00:00 19:10:15  +90.8302 15.9843 3.6314
2015/10/08-00:05:00 19:15:15  +91.6738 16.9165 3.4367
2015/10/08-00:10:00 19:20:16  +92.5220 17.8484 3.2626
2015/10/08-00:15:00 19:25:17  +93.3755 18.7797 3.1063
2015/10/08-00:20:00 19:30:18  +94.2347 19.7101 2.9651
2015/10/08-00:25:00 19:35:19  +95.1002 20.6395 2.8370
2015/10/08-00:30:00 19:40:20  +95.9725 21.5676 2.7204
2015/10/08-00:35:00 19:45:20  +96.8522 22.4943 2.6138
2015/10/08-00:40:00 19:50:21  +97.7399 23.4192 2.5160
2015/10/08-00:45:00 19:55:22  +98.6363 24.3422 2.4261
2015/10/08-00:50:00 20:00:23  +99.5420 25.2630 2.3432
2015/10/08-00:55:00 20:05:24 +100.4576 26.1813 2.2665
2015/10/08-01:00:00 20:10:24 +101.3838 27.0969 2.1954
2015/10/08-01:05:00 20:15:25 +102.3213 28.0095 2.1294
2015/10/08-01:10:00 20:20:26 +103.2708 28.9189 2.0680
2015/10/08-01:15:00 20:25:27 +104.2332 29.8246 2.0107
2015/10/08-01:20:00 20:30:28 +105.2091 30.7265 1.9572
2015/10/08-01:25:00 20:35:29 +106.1994 31.6242 1.9071
2015/10/08-01:30:00 20:40:29 +107.2049 32.5173 1.8603
2015/10/08-01:35:00 20:45:30 +108.2265 33.4056 1.8163
2015/10/08-01:40:00 20:50:31 +109.2651 34.2886 1.7751
2015/10/08-01:45:00 20:55:32 +110.3215 35.1660 1.7363
2015/10/08-01:50:00 21:00:33 +111.3968 36.0374 1.6998
2015/10/08-01:55:00 21:05:34 +112.4920 36.9024 1.6654
2015/10/08-02:00:00 21:10:34 +113.6080 37.7604 1.6330
2015/10/08-02:05:00 21:15:35 +114.7460 38.6111 1.6025
2015/10/08-02:10:00 21:20:36 +115.9070 39.4540 1.5737
2015/10/08-02:15:00 21:25:37 +117.0921 40.2885 1.5465
2015/10/08-02:20:00 21:30:38 +118.3025 41.1142 1.5208
2015/10/08-02:25:00 21:35:38 +119.5394 41.9304 1.4965
2015/10/08-02:30:00 21:40:39 +120.8039 42.7365 1.4736
2015/10/08-02:35:00 21:45:40 +122.0974 43.5320 1.4519
2015/10/08-02:40:00 21:50:41 +123.4210 44.3162 1.4314
2015/10/08-02:45:00 21:55:42 +124.7759 45.0884 1.4120
2015/10/08-02:50:00 22:00:43 +126.1635 45.8479 1.3937
2015/10/08-02:55:00 22:05:43 +127.5850 46.5938 1.3765
2015/10/08-03:00:00 22:10:44 +129.0417 47.3255 1.3601
2015/10/08-03:05:00 22:15:45 +130.5348 48.0421 1.3447
2015/10/08-03:10:00 22:20:46 +132.0654 48.7426 1.3302
2015/10/08-03:15:00 22:25:47 +133.6347 49.4263 1.3165
2015/10/08-03:20:00 22:30:47 +135.2438 50.0921 1.3037
2015/10/08-03:25:00 22:35:48 +136.8936 50.7391 1.2915
2015/10/08-03:30:00 22:40:49 +138.5850 51.3662 1.2802
2015/10/08-03:35:00 22:45:50 +140.3189 51.9724 1.2695
2015/10/08-03:40:00 22:50:51 +142.0956 52.5567 1.2595
2015/10/08-03:45:00 22:55:52 +143.9158 53.1178 1.2502
2015/10/08-03:50:00 23:00:52 +145.7795 53.6547 1.2415
2015/10/08-03:55:00 23:05:53 +147.6867 54.1663 1.2335
2015/10/08-04:00:00 23:10:54 +149.6372 54.6513 1.2260
2015/10/08-04:05:00 23:15:55 +151.6303 55.1086 1.2192
2015/10/08-04:10:00 23:20:56 +153.6650 55.5371 1.2129
2015/10/08-04:15:00 23:25:57 +155.7403 55.9356 1.2071
2015/10/08-04:20:00 23:30:57 +157.8543 56.3030 1.2019
2015/10/08-04:25:00 23:35:58 +160.0051 56.6383 1.1973
2015/10/08-04:30:00 23:40:59 +162.1903 56.9404 1.1932
2015/10/08-04:35:00 23:46:00 +164.4072 57.2084 1.1896
2015/10/08-04:40:00 23:51:01 +166.6527 57.4414 1.1865
2015/10/08-04:45:00 23:56:01 +168.9231 57.6387 1.1839
2015/10/08-04:50:00 00:01:02 +171.2148 57.7995 1.1818
2015/10/08-04:55:00 00:06:03 +173.5236 57.9233 1.1802
2015/10/08-05:00:00 00:11:04 +175.8452 58.0097 1.1791
2015/10/08-05:05:00 00:16:05 +178.1751 58.0584 1.1784
2015/10/08-05:10:00 00:21:06 -179.4913 58.0691 1.1783
2015/10/08-05:15:00 00:26:06 -177.1588 58.0418 1.1786
2015/10/08-05:20:00 00:31:07 -174.8320 57.9767 1.1795
2015/10/08-05:25:00 00:36:08 -172.5154 57.8739 1.1808
2015/10/08-05:30:00 00:41:09 -170.2135 57.7339 1.1826
2015/10/08-05:35:00 00:46:10 -167.9306 57.5571 1.1849
2015/10/08-05:40:00 00:51:10 -165.6706 57.3442 1.1878
2015/10/08-05:45:00 00:56:11 -163.4372 57.0958 1.1911
2015/10/08-05:50:00 01:01:12 -161.2338 56.8128 1.1949
2015/10/08-05:55:00 01:06:13 -159.0632 56.4961 1.1993
2015/10/08-06:00:00 01:11:14 -156.9282 56.1467 1.2041
2015/10/08-06:05:00 01:16:15 -154.8308 55.7656 1.2096
2015/10/08-06:10:00 01:21:15 -152.7731 55.3539 1.2155
2015/10/08-06:15:00 01:26:16 -150.7563 54.9127 1.2221
2015/10/08-06:20:00 01:31:17 -148.7817 54.4432 1.2292
2015/10/08-06:25:00 01:36:18 -146.8501 53.9465 1.2369
2015/10/08-06:30:00 01:41:19 -144.9618 53.4238 1.2452
2015/10/08-06:35:00 01:46:20 -143.1171 52.8761 1.2542
2015/10/08-06:40:00 01:51:20 -141.3159 52.3048 1.2638
2015/10/08-06:45:00 01:56:21 -139.5579 51.7108 1.2741
2015/10/08-06:50:00 02:01:22 -137.8426 51.0954 1.2850
2015/10/08-06:55:00 02:06:23 -136.1694 50.4595 1.2967
2015/10/08-07:00:00 02:11:24 -134.5374 49.8041 1.3092
