#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-18:20:00 13:29:21  +74.7287 10.0019 5.7577
2015/10/07-18:25:00 13:34:21  +75.5224 10.9029 5.2870
2015/10/07-18:30:00 13:39:22  +76.3148 11.8071 4.8872
2015/10/07-18:35:00 13:44:23  +77.1061 12.7143 4.5436
2015/10/07-18:40:00 13:49:24  +77.8967 13.6245 4.2453
2015/10/07-18:45:00 13:54:25  +78.6871 14.5373 3.9839
2015/10/07-18:50:00 13:59:25  +79.4777 15.4527 3.7532
2015/10/07-18:55:00 14:04:26  +80.2689 16.3704 3.5480
2015/10/07-19:00:00 14:09:27  +81.0610 17.2903 3.3646
2015/10/07-19:05:00 14:14:28  +81.8545 18.2121 3.1996
2015/10/07-19:10:00 14:19:29  +82.6499 19.1359 3.0506
2015/10/07-19:15:00 14:24:30  +83.4476 20.0612 2.9152
2015/10/07-19:20:00 14:29:30  +84.2481 20.9881 2.7919
2015/10/07-19:25:00 14:34:31  +85.0518 21.9163 2.6792
2015/10/07-19:30:00 14:39:32  +85.8593 22.8456 2.5757
2015/10/07-19:35:00 14:44:33  +86.6710 23.7758 2.4804
2015/10/07-19:40:00 14:49:34  +87.4875 24.7068 2.3925
2015/10/07-19:45:00 14:54:34  +88.3093 25.6385 2.3111
2015/10/07-19:50:00 14:59:35  +89.1370 26.5704 2.2356
2015/10/07-19:55:00 15:04:36  +89.9711 27.5027 2.1655
2015/10/07-20:00:00 15:09:37  +90.8124 28.4349 2.1001
2015/10/07-20:05:00 15:14:38  +91.6614 29.3669 2.0392
2015/10/07-20:10:00 15:19:39  +92.5187 30.2985 1.9821
2015/10/07-20:15:00 15:24:39  +93.3852 31.2295 1.9288
2015/10/07-20:20:00 15:29:40  +94.2615 32.1596 1.8787
2015/10/07-20:25:00 15:34:41  +95.1483 33.0887 1.8317
2015/10/07-20:30:00 15:39:42  +96.0465 34.0165 1.7875
2015/10/07-20:35:00 15:44:43  +96.9568 34.9427 1.7459
2015/10/07-20:40:00 15:49:44  +97.8802 35.8672 1.7068
2015/10/07-20:45:00 15:54:44  +98.8177 36.7895 1.6698
2015/10/07-20:50:00 15:59:45  +99.7700 37.7095 1.6349
2015/10/07-20:55:00 16:04:46 +100.7383 38.6269 1.6019
2015/10/07-21:00:00 16:09:47 +101.7237 39.5412 1.5708
2015/10/07-21:05:00 16:14:48 +102.7272 40.4523 1.5413
2015/10/07-21:10:00 16:19:48 +103.7500 41.3598 1.5134
2015/10/07-21:15:00 16:24:49 +104.7935 42.2632 1.4869
2015/10/07-21:20:00 16:29:50 +105.8588 43.1623 1.4618
2015/10/07-21:25:00 16:34:51 +106.9475 44.0566 1.4381
2015/10/07-21:30:00 16:39:52 +108.0609 44.9457 1.4156
2015/10/07-21:35:00 16:44:53 +109.2007 45.8291 1.3942
2015/10/07-21:40:00 16:49:53 +110.3684 46.7063 1.3739
2015/10/07-21:45:00 16:54:54 +111.5657 47.5768 1.3547
2015/10/07-21:50:00 16:59:55 +112.7946 48.4400 1.3364
2015/10/07-21:55:00 17:04:56 +114.0568 49.2954 1.3191
2015/10/07-22:00:00 17:09:57 +115.3545 50.1424 1.3027
2015/10/07-22:05:00 17:14:57 +116.6896 50.9801 1.2871
2015/10/07-22:10:00 17:19:58 +118.0643 51.8079 1.2724
2015/10/07-22:15:00 17:24:59 +119.4811 52.6251 1.2584
2015/10/07-22:20:00 17:30:00 +120.9421 53.4307 1.2451
2015/10/07-22:25:00 17:35:01 +122.4499 54.2239 1.2326
2015/10/07-22:30:00 17:40:02 +124.0070 55.0037 1.2207
2015/10/07-22:35:00 17:45:02 +125.6159 55.7691 1.2095
2015/10/07-22:40:00 17:50:03 +127.2794 56.5191 1.1989
2015/10/07-22:45:00 17:55:04 +129.0000 57.2523 1.1890
2015/10/07-22:50:00 18:00:05 +130.7803 57.9676 1.1796
2015/10/07-22:55:00 18:05:06 +132.6229 58.6636 1.1708
2015/10/07-23:00:00 18:10:07 +134.5304 59.3390 1.1625
2015/10/07-23:05:00 18:15:07 +136.5050 59.9923 1.1548
2015/10/07-23:10:00 18:20:08 +138.5487 60.6218 1.1476
2015/10/07-23:15:00 18:25:09 +140.6635 61.2260 1.1409
2015/10/07-23:20:00 18:30:10 +142.8507 61.8031 1.1347
2015/10/07-23:25:00 18:35:11 +145.1114 62.3513 1.1289
2015/10/07-23:30:00 18:40:11 +147.4458 62.8689 1.1236
2015/10/07-23:35:00 18:45:12 +149.8538 63.3540 1.1188
2015/10/07-23:40:00 18:50:13 +152.3343 63.8046 1.1145
2015/10/07-23:45:00 18:55:14 +154.8853 64.2190 1.1105
2015/10/07-23:50:00 19:00:15 +157.5041 64.5954 1.1071
2015/10/07-23:55:00 19:05:16 +160.1866 64.9319 1.1040
2015/10/08-00:00:00 19:10:16 +162.9280 65.2268 1.1014
2015/10/08-00:05:00 19:15:17 +165.7222 65.4787 1.0991
2015/10/08-00:10:00 19:20:18 +168.5621 65.6862 1.0973
2015/10/08-00:15:00 19:25:19 +171.4398 65.8481 1.0959
2015/10/08-00:20:00 19:30:20 +174.3464 65.9635 1.0949
2015/10/08-00:25:00 19:35:20 +177.2725 66.0316 1.0944
2015/10/08-00:30:00 19:40:21 -179.7921 66.0521 1.0942
2015/10/08-00:35:00 19:45:22 -176.8573 66.0248 1.0944
2015/10/08-00:40:00 19:50:23 -173.9335 65.9500 1.0951
2015/10/08-00:45:00 19:55:24 -171.0304 65.8280 1.0961
2015/10/08-00:50:00 20:00:25 -168.1575 65.6596 1.0976
2015/10/08-00:55:00 20:05:25 -165.3236 65.4457 1.0994
2015/10/08-01:00:00 20:10:26 -162.5364 65.1876 1.1017
2015/10/08-01:05:00 20:15:27 -159.8031 64.8867 1.1044
2015/10/08-01:10:00 20:20:28 -157.1293 64.5445 1.1075
2015/10/08-01:15:00 20:25:29 -154.5199 64.1626 1.1111
2015/10/08-01:20:00 20:30:30 -151.9787 63.7430 1.1151
2015/10/08-01:25:00 20:35:30 -149.5084 63.2873 1.1195
2015/10/08-01:30:00 20:40:31 -147.1108 62.7975 1.1244
2015/10/08-01:35:00 20:45:32 -144.7868 62.2755 1.1297
2015/10/08-01:40:00 20:50:33 -142.5366 61.7231 1.1355
2015/10/08-01:45:00 20:55:34 -140.3597 61.1420 1.1418
2015/10/08-01:50:00 21:00:34 -138.2550 60.5342 1.1486
2015/10/08-01:55:00 21:05:35 -136.2212 59.9012 1.1559
2015/10/08-02:00:00 21:10:36 -134.2563 59.2447 1.1637
2015/10/08-02:05:00 21:15:37 -132.3581 58.5663 1.1720
2015/10/08-02:10:00 21:20:38 -130.5245 57.8674 1.1809
2015/10/08-02:15:00 21:25:39 -128.7527 57.1495 1.1904
2015/10/08-02:20:00 21:30:39 -127.0404 56.4138 1.2004
2015/10/08-02:25:00 21:35:40 -125.3848 55.6617 1.2111
2015/10/08-02:30:00 21:40:41 -123.7834 54.8941 1.2224
2015/10/08-02:35:00 21:45:42 -122.2334 54.1124 1.2343
2015/10/08-02:40:00 21:50:43 -120.7324 53.3174 1.2470
2015/10/08-02:45:00 21:55:43 -119.2778 52.5100 1.2603
2015/10/08-02:50:00 22:00:44 -117.8672 51.6913 1.2744
2015/10/08-02:55:00 22:05:45 -116.4982 50.8620 1.2893
2015/10/08-03:00:00 22:10:46 -115.1685 50.0230 1.3050
2015/10/08-03:05:00 22:15:47 -113.8760 49.1748 1.3215
2015/10/08-03:10:00 22:20:48 -112.6186 48.3183 1.3390
2015/10/08-03:15:00 22:25:48 -111.3943 47.4539 1.3573
2015/10/08-03:20:00 22:30:49 -110.2012 46.5825 1.3767
2015/10/08-03:25:00 22:35:50 -109.0376 45.7043 1.3971
2015/10/08-03:30:00 22:40:51 -107.9017 44.8201 1.4187
2015/10/08-03:35:00 22:45:52 -106.7918 43.9303 1.4414
2015/10/08-03:40:00 22:50:53 -105.7066 43.0353 1.4653
2015/10/08-03:45:00 22:55:53 -104.6444 42.1356 1.4906
2015/10/08-03:50:00 23:00:54 -103.6040 41.2315 1.5172
2015/10/08-03:55:00 23:05:55 -102.5839 40.3235 1.5453
2015/10/08-04:00:00 23:10:56 -101.5831 39.4119 1.5751
2015/10/08-04:05:00 23:15:57 -100.6002 38.4971 1.6065
2015/10/08-04:10:00 23:20:57  -99.6342 37.5794 1.6397
2015/10/08-04:15:00 23:25:58  -98.6840 36.6590 1.6749
2015/10/08-04:20:00 23:30:59  -97.7487 35.7364 1.7122
2015/10/08-04:25:00 23:36:00  -96.8271 34.8117 1.7517
2015/10/08-04:30:00 23:41:01  -95.9185 33.8852 1.7936
2015/10/08-04:35:00 23:46:02  -95.0220 32.9572 1.8382
2015/10/08-04:40:00 23:51:02  -94.1368 32.0280 1.8856
2015/10/08-04:45:00 23:56:03  -93.2619 31.0977 1.9361
2015/10/08-04:50:00 00:01:04  -92.3968 30.1666 1.9900
