#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-18:10:00 13:19:17 +139.6153 10.2774 5.6049
2015/10/07-18:15:00 13:24:18 +140.5864 10.8756 5.3001
2015/10/07-18:20:00 13:29:19 +141.5673 11.4614 5.0325
2015/10/07-18:25:00 13:34:20 +142.5578 12.0347 4.7961
2015/10/07-18:30:00 13:39:20 +143.5581 12.5952 4.5859
2015/10/07-18:35:00 13:44:21 +144.5682 13.1425 4.3981
2015/10/07-18:40:00 13:49:22 +145.5880 13.6763 4.2295
2015/10/07-18:45:00 13:54:23 +146.6177 14.1964 4.0775
2015/10/07-18:50:00 13:59:24 +147.6571 14.7024 3.9401
2015/10/07-18:55:00 14:04:25 +148.7062 15.1940 3.8155
2015/10/07-19:00:00 14:09:25 +149.7650 15.6710 3.7022
2015/10/07-19:05:00 14:14:26 +150.8334 16.1330 3.5988
2015/10/07-19:10:00 14:19:27 +151.9112 16.5798 3.5045
2015/10/07-19:15:00 14:24:28 +152.9983 17.0110 3.4182
2015/10/07-19:20:00 14:29:29 +154.0946 17.4264 3.3391
2015/10/07-19:25:00 14:34:29 +155.2000 17.8257 3.2667
2015/10/07-19:30:00 14:39:30 +156.3141 18.2086 3.2002
2015/10/07-19:35:00 14:44:31 +157.4368 18.5749 3.1393
2015/10/07-19:40:00 14:49:32 +158.5679 18.9241 3.0834
2015/10/07-19:45:00 14:54:33 +159.7071 19.2562 3.0322
2015/10/07-19:50:00 14:59:34 +160.8540 19.5709 2.9853
2015/10/07-19:55:00 15:04:34 +162.0084 19.8678 2.9425
2015/10/07-20:00:00 15:09:35 +163.1700 20.1469 2.9034
2015/10/07-20:05:00 15:14:36 +164.3383 20.4077 2.8678
2015/10/07-20:10:00 15:19:37 +165.5131 20.6503 2.8356
2015/10/07-20:15:00 15:24:38 +166.6939 20.8742 2.8065
2015/10/07-20:20:00 15:29:38 +167.8802 21.0794 2.7804
2015/10/07-20:25:00 15:34:39 +169.0717 21.2657 2.7571
2015/10/07-20:30:00 15:39:40 +170.2679 21.4329 2.7366
2015/10/07-20:35:00 15:44:41 +171.4682 21.5809 2.7188
2015/10/07-20:40:00 15:49:42 +172.6724 21.7096 2.7034
2015/10/07-20:45:00 15:54:43 +173.8797 21.8188 2.6905
2015/10/07-20:50:00 15:59:43 +175.0897 21.9084 2.6801
2015/10/07-20:55:00 16:04:44 +176.3019 21.9784 2.6720
2015/10/07-21:00:00 16:09:45 +177.5158 22.0287 2.6662
2015/10/07-21:05:00 16:14:46 +178.7308 22.0592 2.6627
2015/10/07-21:10:00 16:19:47 +179.9463 22.0700 2.6614
2015/10/07-21:15:00 16:24:48 -178.8381 22.0610 2.6625
2015/10/07-21:20:00 16:29:48 -177.6231 22.0322 2.6658
2015/10/07-21:25:00 16:34:49 -176.4091 21.9836 2.6714
2015/10/07-21:30:00 16:39:50 -175.1967 21.9154 2.6793
2015/10/07-21:35:00 16:44:51 -173.9865 21.8275 2.6895
2015/10/07-21:40:00 16:49:52 -172.7789 21.7200 2.7022
2015/10/07-21:45:00 16:54:52 -171.5745 21.5931 2.7173
2015/10/07-21:50:00 16:59:53 -170.3738 21.4468 2.7350
2015/10/07-21:55:00 17:04:54 -169.1772 21.2813 2.7552
2015/10/07-22:00:00 17:09:55 -167.9853 21.0967 2.7782
2015/10/07-22:05:00 17:14:56 -166.7985 20.8931 2.8041
2015/10/07-22:10:00 17:19:57 -165.6172 20.6708 2.8329
2015/10/07-22:15:00 17:24:57 -164.4419 20.4299 2.8648
2015/10/07-22:20:00 17:29:58 -163.2730 20.1706 2.9001
2015/10/07-22:25:00 17:34:59 -162.1108 19.8932 2.9389
2015/10/07-22:30:00 17:40:00 -160.9557 19.5978 2.9814
2015/10/07-22:35:00 17:45:01 -159.8081 19.2847 3.0279
2015/10/07-22:40:00 17:50:01 -158.6682 18.9542 3.0787
2015/10/07-22:45:00 17:55:02 -157.5364 18.6064 3.1342
2015/10/07-22:50:00 18:00:03 -156.4130 18.2417 3.1946
2015/10/07-22:55:00 18:05:04 -155.2980 17.8602 3.2606
2015/10/07-23:00:00 18:10:05 -154.1919 17.4624 3.3325
2015/10/07-23:05:00 18:15:06 -153.0948 17.0484 3.4109
2015/10/07-23:10:00 18:20:06 -152.0069 16.6185 3.4965
2015/10/07-23:15:00 18:25:07 -150.9282 16.1731 3.5901
2015/10/07-23:20:00 18:30:08 -149.8590 15.7124 3.6926
2015/10/07-23:25:00 18:35:09 -148.7994 15.2367 3.8051
2015/10/07-23:30:00 18:40:10 -147.7494 14.7464 3.9286
2015/10/07-23:35:00 18:45:11 -146.7091 14.2416 4.0648
2015/10/07-23:40:00 18:50:11 -145.6786 13.7228 4.2154
2015/10/07-23:45:00 18:55:12 -144.6579 13.1902 4.3824
2015/10/07-23:50:00 19:00:13 -143.6469 12.6441 4.5684
2015/10/07-23:55:00 19:05:14 -142.6458 12.0848 4.7765
2015/10/08-00:00:00 19:10:15 -141.6544 11.5126 5.0104
2015/10/08-00:05:00 19:15:15 -140.6727 10.9278 5.2750
2015/10/08-00:10:00 19:20:16 -139.7007 10.3308 5.5763

