#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-18:55:00 14:04:26 +113.5233 10.2109 5.6410
2015/10/07-19:00:00 14:09:27 +114.4323 11.0627 5.2115
2015/10/07-19:05:00 14:14:28 +115.3499 11.9084 4.8462
2015/10/07-19:10:00 14:19:29 +116.2765 12.7476 4.5319
2015/10/07-19:15:00 14:24:30 +117.2125 13.5801 4.2589
2015/10/07-19:20:00 14:29:30 +118.1583 14.4056 4.0195
2015/10/07-19:25:00 14:34:31 +119.1143 15.2238 3.8082
2015/10/07-19:30:00 14:39:32 +120.0810 16.0344 3.6204
2015/10/07-19:35:00 14:44:33 +121.0587 16.8371 3.4524
2015/10/07-19:40:00 14:49:34 +122.0479 17.6315 3.3015
2015/10/07-19:45:00 14:54:34 +123.0490 18.4173 3.1652
2015/10/07-19:50:00 14:59:35 +124.0624 19.1942 3.0416
2015/10/07-19:55:00 15:04:36 +125.0884 19.9617 2.9292
2015/10/07-20:00:00 15:09:37 +126.1275 20.7197 2.8265
2015/10/07-20:05:00 15:14:38 +127.1800 21.4676 2.7324
2015/10/07-20:10:00 15:19:39 +128.2464 22.2050 2.6460
2015/10/07-20:15:00 15:24:39 +129.3270 22.9317 2.5665
2015/10/07-20:20:00 15:29:40 +130.4221 23.6472 2.4931
2015/10/07-20:25:00 15:34:41 +131.5322 24.3510 2.4253
2015/10/07-20:30:00 15:39:42 +132.6575 25.0427 2.3624
2015/10/07-20:35:00 15:44:43 +133.7983 25.7220 2.3041
2015/10/07-20:40:00 15:49:44 +134.9549 26.3883 2.2500
2015/10/07-20:45:00 15:54:44 +136.1277 27.0413 2.1996
2015/10/07-20:50:00 15:59:45 +137.3168 27.6804 2.1527
2015/10/07-20:55:00 16:04:46 +138.5224 28.3051 2.1090
2015/10/07-21:00:00 16:09:47 +139.7448 28.9151 2.0682
2015/10/07-21:05:00 16:14:48 +140.9842 29.5098 2.0302
2015/10/07-21:10:00 16:19:48 +142.2405 30.0887 1.9947
2015/10/07-21:15:00 16:24:49 +143.5140 30.6513 1.9615
2015/10/07-21:20:00 16:29:50 +144.8046 31.1972 1.9306
2015/10/07-21:25:00 16:34:51 +146.1123 31.7258 1.9017
2015/10/07-21:30:00 16:39:52 +147.4371 32.2366 1.8747
2015/10/07-21:35:00 16:44:53 +148.7789 32.7291 1.8496
2015/10/07-21:40:00 16:49:53 +150.1375 33.2028 1.8261
2015/10/07-21:45:00 16:54:54 +151.5127 33.6573 1.8043
2015/10/07-21:50:00 16:59:55 +152.9043 34.0920 1.7840
2015/10/07-21:55:00 17:04:56 +154.3118 34.5064 1.7652
2015/10/07-22:00:00 17:09:57 +155.7349 34.9000 1.7478
2015/10/07-22:05:00 17:14:57 +157.1731 35.2724 1.7317
2015/10/07-22:10:00 17:19:58 +158.6259 35.6232 1.7169
2015/10/07-22:15:00 17:24:59 +160.0927 35.9518 1.7033
2015/10/07-22:20:00 17:30:00 +161.5728 36.2579 1.6908
2015/10/07-22:25:00 17:35:01 +163.0655 36.5410 1.6795
2015/10/07-22:30:00 17:40:02 +164.5700 36.8009 1.6693
2015/10/07-22:35:00 17:45:02 +166.0855 37.0370 1.6602
2015/10/07-22:40:00 17:50:03 +167.6110 37.2491 1.6521
2015/10/07-22:45:00 17:55:04 +169.1456 37.4369 1.6450
2015/10/07-22:50:00 18:00:05 +170.6882 37.6001 1.6389
2015/10/07-22:55:00 18:05:06 +172.2379 37.7385 1.6338
2015/10/07-23:00:00 18:10:07 +173.7934 37.8519 1.6297
2015/10/07-23:05:00 18:15:07 +175.3536 37.9401 1.6264
2015/10/07-23:10:00 18:20:08 +176.9175 38.0029 1.6242
2015/10/07-23:15:00 18:25:09 +178.4837 38.0403 1.6228
2015/10/07-23:20:00 18:30:10 -179.9489 38.0522 1.6224
2015/10/07-23:25:00 18:35:11 -178.3816 38.0386 1.6229
2015/10/07-23:30:00 18:40:11 -176.8155 37.9996 1.6243
2015/10/07-23:35:00 18:45:12 -175.2519 37.9351 1.6266
2015/10/07-23:40:00 18:50:13 -173.6919 37.8453 1.6299
2015/10/07-23:45:00 18:55:14 -172.1367 37.7303 1.6341
2015/10/07-23:50:00 19:00:15 -170.5875 37.5903 1.6393
2015/10/07-23:55:00 19:05:16 -169.0454 37.4254 1.6455
2015/10/08-00:00:00 19:10:16 -167.5113 37.2360 1.6526
2015/10/08-00:05:00 19:15:17 -165.9864 37.0223 1.6608
2015/10/08-00:10:00 19:20:18 -164.4717 36.7847 1.6700
2015/10/08-00:15:00 19:25:19 -162.9679 36.5233 1.6802
2015/10/08-00:20:00 19:30:20 -161.4760 36.2387 1.6916
2015/10/08-00:25:00 19:35:20 -159.9967 35.9311 1.7041
2015/10/08-00:30:00 19:40:21 -158.5308 35.6010 1.7178
2015/10/08-00:35:00 19:45:22 -157.0789 35.2488 1.7327
2015/10/08-00:40:00 19:50:23 -155.6417 34.8750 1.7489
2015/10/08-00:45:00 19:55:24 -154.2196 34.4800 1.7664
2015/10/08-00:50:00 20:00:25 -152.8131 34.0643 1.7853
2015/10/08-00:55:00 20:05:25 -151.4226 33.6283 1.8057
2015/10/08-01:00:00 20:10:26 -150.0485 33.1726 1.8276
2015/10/08-01:05:00 20:15:27 -148.6910 32.6976 1.8511
2015/10/08-01:10:00 20:20:28 -147.3503 32.2039 1.8764
2015/10/08-01:15:00 20:25:29 -146.0266 31.6919 1.9035
2015/10/08-01:20:00 20:30:30 -144.7200 31.1621 1.9325
2015/10/08-01:25:00 20:35:30 -143.4305 30.6152 1.9636
2015/10/08-01:30:00 20:40:31 -142.1581 30.0515 1.9969
2015/10/08-01:35:00 20:45:32 -140.9029 29.4715 2.0326
2015/10/08-01:40:00 20:50:33 -139.6647 28.8758 2.0708
2015/10/08-01:45:00 20:55:34 -138.4434 28.2649 2.1117
2015/10/08-01:50:00 21:00:34 -137.2388 27.6391 2.1556
2015/10/08-01:55:00 21:05:35 -136.0508 26.9991 2.2028
2015/10/08-02:00:00 21:10:36 -134.8791 26.3453 2.2534
2015/10/08-02:05:00 21:15:37 -133.7235 25.6781 2.3078
2015/10/08-02:10:00 21:20:38 -132.5837 24.9980 2.3664
2015/10/08-02:15:00 21:25:39 -131.4594 24.3055 2.4295
2015/10/08-02:20:00 21:30:39 -130.3503 23.6009 2.4977
2015/10/08-02:25:00 21:35:40 -129.2562 22.8847 2.5715
2015/10/08-02:30:00 21:40:41 -128.1765 22.1573 2.6515
2015/10/08-02:35:00 21:45:42 -127.1110 21.4192 2.7383
2015/10/08-02:40:00 21:50:43 -126.0594 20.6706 2.8329
2015/10/08-02:45:00 21:55:43 -125.0211 19.9120 2.9362
2015/10/08-02:50:00 22:00:44 -123.9960 19.1438 3.0493
2015/10/08-02:55:00 22:05:45 -122.9834 18.3664 3.1737
2015/10/08-03:00:00 22:10:46 -121.9831 17.5800 3.3109
2015/10/08-03:05:00 22:15:47 -120.9947 16.7850 3.4628
2015/10/08-03:10:00 22:20:48 -120.0177 15.9818 3.6320
2015/10/08-03:15:00 22:25:48 -119.0517 15.1707 3.8212
2015/10/08-03:20:00 22:30:49 -118.0963 14.3520 4.0342
2015/10/08-03:25:00 22:35:50 -117.1512 13.5261 4.2756
2015/10/08-03:30:00 22:40:51 -116.2158 12.6931 4.5511
2015/10/08-03:35:00 22:45:52 -115.2898 11.8535 4.8683
2015/10/08-03:40:00 22:50:53 -114.3728 11.0074 5.2374
2015/10/08-03:45:00 22:55:53 -113.4643 10.1552 5.6716

