#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/07-20:45:00 15:54:43 +138.1821 10.5585 5.4574
2015/10/07-20:50:00 15:59:43 +139.1541 11.1743 5.1601
2015/10/07-20:55:00 16:04:44 +140.1359 11.7781 4.8990
2015/10/07-21:00:00 16:09:45 +141.1277 12.3696 4.6682
2015/10/07-21:05:00 16:14:46 +142.1295 12.9485 4.4628
2015/10/07-21:10:00 16:19:47 +143.1413 13.5144 4.2792
2015/10/07-21:15:00 16:24:48 +144.1633 14.0671 4.1142
2015/10/07-21:20:00 16:29:48 +145.1953 14.6062 3.9655
2015/10/07-21:25:00 16:34:49 +146.2375 15.1315 3.8309
2015/10/07-21:30:00 16:39:50 +147.2897 15.6426 3.7087
2015/10/07-21:35:00 16:44:51 +148.3520 16.1392 3.5975
2015/10/07-21:40:00 16:49:52 +149.4242 16.6210 3.4960
2015/10/07-21:45:00 16:54:52 +150.5064 17.0878 3.4033
2015/10/07-21:50:00 16:59:53 +151.5983 17.5391 3.3183
2015/10/07-21:55:00 17:04:54 +152.7000 17.9748 3.2405
2015/10/07-22:00:00 17:09:55 +153.8111 18.3944 3.1690
2015/10/07-22:05:00 17:14:56 +154.9316 18.7978 3.1034
2015/10/07-22:10:00 17:19:57 +156.0612 19.1845 3.0431
2015/10/07-22:15:00 17:24:57 +157.1997 19.5544 2.9877
2015/10/07-22:20:00 17:29:58 +158.3469 19.9072 2.9369
2015/10/07-22:25:00 17:34:59 +159.5024 20.2425 2.8902
2015/10/07-22:30:00 17:40:00 +160.6661 20.5601 2.8475
2015/10/07-22:35:00 17:45:01 +161.8375 20.8598 2.8083
2015/10/07-22:40:00 17:50:01 +163.0164 21.1414 2.7726
2015/10/07-22:45:00 17:55:02 +164.2023 21.4045 2.7401
2015/10/07-22:50:00 18:00:03 +165.3948 21.6491 2.7106
2015/10/07-22:55:00 18:05:04 +166.5936 21.8747 2.6840
2015/10/07-23:00:00 18:10:05 +167.7982 22.0814 2.6601
2015/10/07-23:05:00 18:15:06 +169.0081 22.2689 2.6388
2015/10/07-23:10:00 18:20:06 +170.2228 22.4370 2.6201
2015/10/07-23:15:00 18:25:07 +171.4419 22.5855 2.6037
2015/10/07-23:20:00 18:30:08 +172.6649 22.7144 2.5897
2015/10/07-23:25:00 18:35:09 +173.8912 22.8236 2.5780
2015/10/07-23:30:00 18:40:10 +175.1203 22.9129 2.5685
2015/10/07-23:35:00 18:45:11 +176.3516 22.9822 2.5612
2015/10/07-23:40:00 18:50:11 +177.5846 23.0315 2.5560
2015/10/07-23:45:00 18:55:12 +178.8187 23.0608 2.5529
2015/10/07-23:50:00 19:00:13 -179.9467 23.0700 2.5520
2015/10/07-23:55:00 19:05:14 -178.7120 23.0591 2.5531
2015/10/08-00:00:00 19:10:15 -177.4780 23.0281 2.5564
2015/10/08-00:05:00 19:15:15 -176.2451 22.9770 2.5617
2015/10/08-00:10:00 19:20:16 -175.0140 22.9060 2.5692
2015/10/08-00:15:00 19:25:17 -173.7851 22.8149 2.5789
2015/10/08-00:20:00 19:30:18 -172.5591 22.7041 2.5909
2015/10/08-00:25:00 19:35:19 -171.3365 22.5735 2.6051
2015/10/08-00:30:00 19:40:20 -170.1177 22.4232 2.6216
2015/10/08-00:35:00 19:45:20 -168.9033 22.2534 2.6406
2015/10/08-00:40:00 19:50:21 -167.6939 22.0643 2.6621
2015/10/08-00:45:00 19:55:22 -166.4898 21.8560 2.6862
2015/10/08-00:50:00 20:00:23 -165.2915 21.6287 2.7130
2015/10/08-00:55:00 20:05:24 -164.0996 21.3825 2.7428
2015/10/08-01:00:00 20:10:24 -162.9143 21.1178 2.7756
2015/10/08-01:05:00 20:15:25 -161.7360 20.8347 2.8116
2015/10/08-01:10:00 20:20:26 -160.5653 20.5334 2.8510
2015/10/08-01:15:00 20:25:27 -159.4023 20.2142 2.8941
2015/10/08-01:20:00 20:30:28 -158.2474 19.8774 2.9411
2015/10/08-01:25:00 20:35:29 -157.1010 19.5231 2.9923
2015/10/08-01:30:00 20:40:29 -155.9632 19.1518 3.0481
2015/10/08-01:35:00 20:45:30 -154.8344 18.7636 3.1088
2015/10/08-01:40:00 20:50:31 -153.7147 18.3588 3.1749
2015/10/08-01:45:00 20:55:32 -152.6044 17.9378 3.2469
2015/10/08-01:50:00 21:00:33 -151.5036 17.5008 3.3254
2015/10/08-01:55:00 21:05:34 -150.4125 17.0481 3.4109
2015/10/08-02:00:00 21:10:34 -149.3312 16.5800 3.5044
2015/10/08-02:05:00 21:15:35 -148.2598 16.0969 3.6067
2015/10/08-02:10:00 21:20:36 -147.1984 15.5990 3.7188
2015/10/08-02:15:00 21:25:37 -146.1470 15.0867 3.8420
2015/10/08-02:20:00 21:30:38 -145.1058 14.5602 3.9778
2015/10/08-02:25:00 21:35:38 -144.0746 14.0199 4.1278
2015/10/08-02:30:00 21:40:39 -143.0535 13.4660 4.2943
2015/10/08-02:35:00 21:45:40 -142.0426 12.8990 4.4796
2015/10/08-02:40:00 21:50:41 -141.0416 12.3190 4.6870
2015/10/08-02:45:00 21:55:42 -140.0507 11.7265 4.9203
2015/10/08-02:50:00 22:00:43 -139.0697 11.1216 5.1843
2015/10/08-02:55:00 22:05:43 -138.0985 10.5047 5.4850

