#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2015/11/08-13:45:00 10:59:45 +123.8450 10.5128 5.4808 +14:53:28.8 -16:34:40
2015/11/08-13:50:00 11:04:46 +124.7821 11.2799 5.1124 +14:53:29.7 -16:34:44
2015/11/08-13:55:00 11:09:47 +125.7290 12.0382 4.7947 +14:53:30.5 -16:34:47
2015/11/08-14:00:00 11:14:48 +126.6861 12.7876 4.5180 +14:53:31.4 -16:34:51
2015/11/08-14:05:00 11:19:48 +127.6536 13.5275 4.2751 +14:53:32.2 -16:34:55
2015/11/08-14:10:00 11:24:49 +128.6318 14.2579 4.0603 +14:53:33.0 -16:34:58
2015/11/08-14:15:00 11:29:50 +129.6210 14.9783 3.8692 +14:53:33.9 -16:35:02
2015/11/08-14:20:00 11:34:51 +130.6214 15.6883 3.6982 +14:53:34.7 -16:35:06
2015/11/08-14:25:00 11:39:52 +131.6333 16.3878 3.5444 +14:53:35.5 -16:35:09
2015/11/08-14:30:00 11:44:53 +132.6570 17.0763 3.4055 +14:53:36.4 -16:35:13
2015/11/08-14:35:00 11:49:53 +133.6927 17.7534 3.2795 +14:53:37.2 -16:35:16
2015/11/08-14:40:00 11:54:54 +134.7405 18.4188 3.1649 +14:53:38.0 -16:35:20
2015/11/08-14:45:00 11:59:55 +135.8008 19.0722 3.0603 +14:53:38.9 -16:35:24
2015/11/08-14:50:00 12:04:56 +136.8737 19.7132 2.9646 +14:53:39.7 -16:35:27
2015/11/08-14:55:00 12:09:57 +137.9593 20.3414 2.8768 +14:53:40.5 -16:35:31
2015/11/08-15:00:00 12:14:57 +139.0578 20.9565 2.7960 +14:53:41.4 -16:35:35
