#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/10/07-14:00:00 09:08:36  -89.4284 26.9069 2.2097
2015/10/07-14:05:00 09:13:37  -88.5988 25.9745 2.2833
2015/10/07-14:10:00 09:18:38  -87.7753 25.0425 2.3624
2015/10/07-14:15:00 09:23:39  -86.9573 24.1110 2.4479
2015/10/07-14:20:00 09:28:39  -86.1443 23.1802 2.5405
2015/10/07-14:25:00 09:33:40  -85.3357 22.2503 2.6409
2015/10/07-14:30:00 09:38:41  -84.5310 21.3214 2.7503
2015/10/07-14:35:00 09:43:42  -83.7298 20.3938 2.8697
2015/10/07-14:40:00 09:48:43  -82.9315 19.4677 3.0005
2015/10/07-14:45:00 09:53:43  -82.1356 18.5431 3.1445
2015/10/07-14:50:00 09:58:44  -81.3418 17.6203 3.3035
2015/10/07-14:55:00 10:03:45  -80.5495 16.6994 3.4801
2015/10/07-15:00:00 10:08:46  -79.7584 15.7806 3.6771
2015/10/07-15:05:00 10:13:47  -78.9680 14.8642 3.8982
2015/10/07-15:10:00 10:18:48  -78.1778 13.9502 4.1480
2015/10/07-15:15:00 10:23:48  -77.3876 13.0388 4.4324
2015/10/07-15:20:00 10:28:49  -76.5969 12.1302 4.7589
2015/10/07-15:25:00 10:33:50  -75.8053 11.2246 5.1373
2015/10/07-15:30:00 10:38:51  -75.0124 10.3222 5.5809

2015/10/08-03:10:00 22:20:46  +74.9509 10.2525 5.6184
2015/10/08-03:15:00 22:25:47  +75.7439 11.1546 5.1691
2015/10/08-03:20:00 22:30:47  +76.5356 12.0600 4.7862
2015/10/08-03:25:00 22:35:48  +77.3264 12.9683 4.4561
2015/10/08-03:30:00 22:40:49  +78.1166 13.8795 4.1687
2015/10/08-03:35:00 22:45:50  +78.9068 14.7933 3.9165
2015/10/08-03:40:00 22:50:51  +79.6971 15.7096 3.6933
2015/10/08-03:45:00 22:55:52  +80.4882 16.6282 3.4946
2015/10/08-03:50:00 23:00:52  +81.2804 17.5489 3.3165
2015/10/08-03:55:00 23:05:53  +82.0741 18.4715 3.1562
2015/10/08-04:00:00 23:10:54  +82.8698 19.3960 3.0112
2015/10/08-04:05:00 23:15:55  +83.6679 20.3221 2.8794
2015/10/08-04:10:00 23:20:56  +84.4689 21.2496 2.7591
2015/10/08-04:15:00 23:25:57  +85.2732 22.1783 2.6491
2015/10/08-04:20:00 23:30:57  +86.0815 23.1082 2.5480
2015/10/08-04:25:00 23:35:58  +86.8942 24.0389 2.4549
2015/10/08-04:30:00 23:40:59  +87.7117 24.9704 2.3688
2015/10/08-04:35:00 23:46:00  +88.5348 25.9023 2.2892
2015/10/08-04:40:00 23:51:01  +89.3639 26.8347 2.2152
2015/10/08-04:45:00 23:56:01  +90.1997 27.7672 2.1465
2015/10/08-04:50:00 00:01:02  +91.0427 28.6996 2.0824
2015/10/08-04:55:00 00:06:03  +91.8936 29.6318 2.0226
2015/10/08-05:00:00 00:11:04  +92.7531 30.5635 1.9666
2015/10/08-05:05:00 00:16:05  +93.6219 31.4945 1.9142
2015/10/08-05:10:00 00:21:06  +94.5006 32.4247 1.8650
2015/10/08-05:15:00 00:26:06  +95.3902 33.3537 1.8188
2015/10/08-05:20:00 00:31:07  +96.2914 34.2814 1.7754
2015/10/08-05:25:00 00:36:08  +97.2050 35.2074 1.7345
2015/10/08-05:30:00 00:41:09  +98.1318 36.1315 1.6959
2015/10/08-05:35:00 00:46:10  +99.0730 37.0535 1.6596
2015/10/08-05:40:00 00:51:10 +100.0294 37.9731 1.6252
2015/10/08-05:45:00 00:56:11 +101.0020 38.8899 1.5928
2015/10/08-05:50:00 01:01:12 +101.9920 39.8037 1.5621
2015/10/08-05:55:00 01:06:13 +103.0004 40.7141 1.5331
2015/10/08-06:00:00 01:11:14 +104.0285 41.6208 1.5056
2015/10/08-06:05:00 01:16:15 +105.0776 42.5234 1.4795
2015/10/08-06:10:00 01:21:15 +106.1490 43.4215 1.4548
2015/10/08-06:15:00 01:26:16 +107.2442 44.3146 1.4314
2015/10/08-06:20:00 01:31:17 +108.3645 45.2025 1.4092
2015/10/08-06:25:00 01:36:18 +109.5116 46.0845 1.3882
2015/10/08-06:30:00 01:41:19 +110.6871 46.9602 1.3682
2015/10/08-06:35:00 01:46:20 +111.8928 47.8291 1.3493
2015/10/08-06:40:00 01:51:20 +113.1306 48.6905 1.3313
2015/10/08-06:45:00 01:56:21 +114.4023 49.5439 1.3142
2015/10/08-06:50:00 02:01:22 +115.7099 50.3887 1.2980
2015/10/08-06:55:00 02:06:23 +117.0557 51.2240 1.2827
2015/10/08-07:00:00 02:11:24 +118.4418 52.0493 1.2682
2015/10/08-07:05:00 02:16:24 +119.8705 52.8637 1.2544
2015/10/08-07:10:00 02:21:25 +121.3443 53.6663 1.2413
2015/10/08-07:15:00 02:26:26 +122.8656 54.4562 1.2290
