#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2015/11/08-09:40:00 06:54:05  +98.1511 10.6198 5.4262 +12:00:49.8 +01:07:11
2015/11/08-09:45:00 06:59:06  +99.0147 11.5381 4.9995 +12:00:50.7 +01:07:07
2015/11/08-09:50:00 07:04:07  +99.8836 12.4543 4.6369 +12:00:51.5 +01:07:02
2015/11/08-09:55:00 07:09:07 +100.7582 13.3680 4.3252 +12:00:52.4 +01:06:58
2015/11/08-10:00:00 07:14:08 +101.6391 14.2790 4.0544 +12:00:53.2 +01:06:53
2015/11/08-10:05:00 07:19:09 +102.5267 15.1871 3.8172 +12:00:54.1 +01:06:49
2015/11/08-10:10:00 07:24:10 +103.4216 16.0921 3.6077 +12:00:54.9 +01:06:44
2015/11/08-10:15:00 07:29:11 +104.3243 16.9938 3.4215 +12:00:55.8 +01:06:40
2015/11/08-10:20:00 07:34:11 +105.2353 17.8917 3.2550 +12:00:56.6 +01:06:35
2015/11/08-10:25:00 07:39:12 +106.1551 18.7858 3.1053 +12:00:57.5 +01:06:31
2015/11/08-10:30:00 07:44:13 +107.0843 19.6757 2.9700 +12:00:58.3 +01:06:26
2015/11/08-10:35:00 07:49:14 +108.0235 20.5611 2.8473 +12:00:59.2 +01:06:21
2015/11/08-10:40:00 07:54:15 +108.9732 21.4418 2.7356 +12:01:00.0 +01:06:17
2015/11/08-10:45:00 07:59:16 +109.9340 22.3174 2.6334 +12:01:00.9 +01:06:12
2015/11/08-10:50:00 08:04:16 +110.9065 23.1877 2.5397 +12:01:01.7 +01:06:08
2015/11/08-10:55:00 08:09:17 +111.8913 24.0523 2.4536 +12:01:02.6 +01:06:03
2015/11/08-11:00:00 08:14:18 +112.8890 24.9109 2.3741 +12:01:03.4 +01:05:59
2015/11/08-11:05:00 08:19:19 +113.9002 25.7632 2.3007 +12:01:04.3 +01:05:54
2015/11/08-11:10:00 08:24:20 +114.9256 26.6088 2.2327 +12:01:05.1 +01:05:50
2015/11/08-11:15:00 08:29:20 +115.9658 27.4472 2.1695 +12:01:06.0 +01:05:45
2015/11/08-11:20:00 08:34:21 +117.0215 28.2783 2.1108 +12:01:06.8 +01:05:40
2015/11/08-11:25:00 08:39:22 +118.0934 29.1015 2.0561 +12:01:07.6 +01:05:36
2015/11/08-11:30:00 08:44:23 +119.1820 29.9164 2.0051 +12:01:08.5 +01:05:31
2015/11/08-11:35:00 08:49:24 +120.2881 30.7227 1.9574 +12:01:09.3 +01:05:27
2015/11/08-11:40:00 08:54:25 +121.4124 31.5198 1.9128 +12:01:10.2 +01:05:22
2015/11/08-11:45:00 08:59:25 +122.5555 32.3073 1.8710 +12:01:11.0 +01:05:18
2015/11/08-11:50:00 09:04:26 +123.7181 33.0847 1.8319 +12:01:11.9 +01:05:13
2015/11/08-11:55:00 09:09:27 +124.9009 33.8516 1.7952 +12:01:12.7 +01:05:09
2015/11/08-12:00:00 09:14:28 +126.1047 34.6074 1.7607 +12:01:13.6 +01:05:04
2015/11/08-12:05:00 09:19:29 +127.3300 35.3515 1.7283 +12:01:14.4 +01:05:00
2015/11/08-12:10:00 09:24:30 +128.5775 36.0835 1.6979 +12:01:15.3 +01:04:55
2015/11/08-12:15:00 09:29:30 +129.8479 36.8027 1.6693 +12:01:16.1 +01:04:50
2015/11/08-12:20:00 09:34:31 +131.1418 37.5086 1.6424 +12:01:17.0 +01:04:46
2015/11/08-12:25:00 09:39:32 +132.4598 38.2006 1.6170 +12:01:17.8 +01:04:41
2015/11/08-12:30:00 09:44:33 +133.8024 38.8780 1.5932 +12:01:18.7 +01:04:37
2015/11/08-12:35:00 09:49:34 +135.1703 39.5401 1.5708 +12:01:19.5 +01:04:32
2015/11/08-12:40:00 09:54:34 +136.5638 40.1863 1.5497 +12:01:20.4 +01:04:28
2015/11/08-12:45:00 09:59:35 +137.9834 40.8160 1.5299 +12:01:21.2 +01:04:23
2015/11/08-12:50:00 10:04:36 +139.4295 41.4284 1.5113 +12:01:22.1 +01:04:19
2015/11/08-12:55:00 10:09:37 +140.9025 42.0227 1.4938 +12:01:22.9 +01:04:14
2015/11/08-13:00:00 10:14:38 +142.4024 42.5984 1.4774 +12:01:23.8 +01:04:09
2015/11/08-13:05:00 10:19:39 +143.9295 43.1546 1.4621 +12:01:24.6 +01:04:05
2015/11/08-13:10:00 10:24:39 +145.4839 43.6905 1.4477 +12:01:25.5 +01:04:00
2015/11/08-13:15:00 10:29:40 +147.0654 44.2055 1.4342 +12:01:26.3 +01:03:56
2015/11/08-13:20:00 10:34:41 +148.6740 44.6988 1.4217 +12:01:27.1 +01:03:51
2015/11/08-13:25:00 10:39:42 +150.3093 45.1696 1.4100 +12:01:28.0 +01:03:47
2015/11/08-13:30:00 10:44:43 +151.9708 45.6171 1.3992 +12:01:28.8 +01:03:42
2015/11/08-13:35:00 10:49:43 +153.6582 46.0406 1.3892 +12:01:29.7 +01:03:38
2015/11/08-13:40:00 10:54:44 +155.3706 46.4395 1.3800 +12:01:30.5 +01:03:33
2015/11/08-13:45:00 10:59:45 +157.1072 46.8128 1.3715 +12:01:31.4 +01:03:28
2015/11/08-13:50:00 11:04:46 +158.8670 47.1601 1.3638 +12:01:32.2 +01:03:24
2015/11/08-13:55:00 11:09:47 +160.6489 47.4805 1.3568 +12:01:33.1 +01:03:19
2015/11/08-14:00:00 11:14:48 +162.4515 47.7735 1.3505 +12:01:33.9 +01:03:15
2015/11/08-14:05:00 11:19:48 +164.2734 48.0384 1.3448 +12:01:34.8 +01:03:10
2015/11/08-14:10:00 11:24:49 +166.1130 48.2747 1.3399 +12:01:35.6 +01:03:06
2015/11/08-14:15:00 11:29:50 +167.9684 48.4820 1.3356 +12:01:36.5 +01:03:01
2015/11/08-14:20:00 11:34:51 +169.8379 48.6597 1.3319 +12:01:37.3 +01:02:57
2015/11/08-14:25:00 11:39:52 +171.7194 48.8074 1.3289 +12:01:38.2 +01:02:52
2015/11/08-14:30:00 11:44:53 +173.6107 48.9248 1.3265 +12:01:39.0 +01:02:47
2015/11/08-14:35:00 11:49:53 +175.5098 49.0117 1.3248 +12:01:39.9 +01:02:43
2015/11/08-14:40:00 11:54:54 +177.4143 49.0678 1.3237 +12:01:40.7 +01:02:38
2015/11/08-14:45:00 11:59:55 +179.3219 49.0930 1.3231 +12:01:41.6 +01:02:34
2015/11/08-14:50:00 12:04:56 -178.7698 49.0872 1.3233 +12:01:42.4 +01:02:29
2015/11/08-14:55:00 12:09:57 -176.8631 49.0506 1.3240 +12:01:43.3 +01:02:25
2015/11/08-15:00:00 12:14:57 -174.9604 48.9830 1.3254 +12:01:44.1 +01:02:20
