#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/10/07-14:00:00 09:08:36 +110.3994 18.4189 3.1649
2015/10/07-14:05:00 09:13:37 +111.3504 19.2902 3.0271
2015/10/07-14:10:00 09:18:38 +112.3123 20.1558 2.9021
2015/10/07-14:15:00 09:23:39 +113.2856 21.0154 2.7885
2015/10/07-14:20:00 09:28:39 +114.2709 21.8688 2.6847
2015/10/07-14:25:00 09:33:40 +115.2686 22.7155 2.5896
2015/10/07-14:30:00 09:38:41 +116.2795 23.5552 2.5023
2015/10/07-14:35:00 09:43:42 +117.3039 24.3876 2.4219
2015/10/07-14:40:00 09:48:43 +118.3426 25.2123 2.3476
2015/10/07-14:45:00 09:53:43 +119.3961 26.0289 2.2788
2015/10/07-14:50:00 09:58:44 +120.4650 26.8370 2.2151
2015/10/07-14:55:00 10:03:45 +121.5499 27.6363 2.1558
2015/10/07-15:00:00 10:08:46 +122.6513 28.4262 2.1007
2015/10/07-15:05:00 10:13:47 +123.7698 29.2064 2.0494
2015/10/07-15:10:00 10:18:48 +124.9061 29.9764 2.0014
2015/10/07-15:15:00 10:23:48 +126.0607 30.7357 1.9566
2015/10/07-15:20:00 10:28:49 +127.2342 31.4839 1.9148
2015/10/07-15:25:00 10:33:50 +128.4271 32.2204 1.8755
2015/10/07-15:30:00 10:38:51 +129.6400 32.9447 1.8388
2015/10/07-15:35:00 10:43:52 +130.8735 33.6564 1.8044
2015/10/07-15:40:00 10:48:52 +132.1279 34.3548 1.7721
2015/10/07-15:45:00 10:53:53 +133.4039 35.0394 1.7417
2015/10/07-15:50:00 10:58:54 +134.7018 35.7095 1.7133
2015/10/07-15:55:00 11:03:55 +136.0222 36.3648 1.6866
2015/10/07-16:00:00 11:08:56 +137.3653 37.0044 1.6615
2015/10/07-16:05:00 11:13:57 +138.7315 37.6277 1.6379
2015/10/07-16:10:00 11:18:57 +140.1211 38.2343 1.6158
2015/10/07-16:15:00 11:23:58 +141.5343 38.8233 1.5951
2015/10/07-16:20:00 11:28:59 +142.9713 39.3942 1.5757
2015/10/07-16:25:00 11:34:00 +144.4322 39.9462 1.5575
2015/10/07-16:30:00 11:39:01 +145.9169 40.4787 1.5404
2015/10/07-16:35:00 11:44:02 +147.4255 40.9911 1.5245
