#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/10/07-14:00:00 09:08:38 +110.4104 18.4177 3.1651
2015/10/07-14:05:00 09:13:39 +111.3617 19.2887 3.0273
2015/10/07-14:10:00 09:18:39 +112.3239 20.1540 2.9024
2015/10/07-14:15:00 09:23:40 +113.2975 21.0133 2.7887
2015/10/07-14:20:00 09:28:41 +114.2831 21.8664 2.6850
2015/10/07-14:25:00 09:33:42 +115.2811 22.7127 2.5899
2015/10/07-14:30:00 09:38:43 +116.2923 23.5521 2.5026
2015/10/07-14:35:00 09:43:44 +117.3170 24.3842 2.4222
2015/10/07-14:40:00 09:48:44 +118.3560 25.2086 2.3479
2015/10/07-14:45:00 09:53:45 +119.4098 26.0248 2.2791
2015/10/07-14:50:00 09:58:46 +120.4790 26.8326 2.2154
2015/10/07-14:55:00 10:03:47 +121.5641 27.6315 2.1562
2015/10/07-15:00:00 10:08:48 +122.6658 28.4211 2.1011
2015/10/07-15:05:00 10:13:48 +123.7846 29.2010 2.0497
2015/10/07-15:10:00 10:18:49 +124.9211 29.9706 2.0018
2015/10/07-15:15:00 10:23:50 +126.0760 30.7296 1.9570
2015/10/07-15:20:00 10:28:51 +127.2497 31.4774 1.9151
2015/10/07-15:25:00 10:33:52 +128.4428 32.2135 1.8759
2015/10/07-15:30:00 10:38:53 +129.6559 32.9375 1.8392
2015/10/07-15:35:00 10:43:53 +130.8896 33.6488 1.8047
2015/10/07-15:40:00 10:48:54 +132.1442 34.3468 1.7724
2015/10/07-15:45:00 10:53:55 +133.4204 35.0310 1.7421
2015/10/07-15:50:00 10:58:56 +134.7184 35.7009 1.7136
2015/10/07-15:55:00 11:03:57 +136.0389 36.3557 1.6869
2015/10/07-16:00:00 11:08:58 +137.3821 36.9949 1.6618
2015/10/07-16:05:00 11:13:58 +138.7484 37.6179 1.6383
2015/10/07-16:10:00 11:18:59 +140.1381 38.2241 1.6162
2015/10/07-16:15:00 11:24:00 +141.5514 38.8127 1.5955
2015/10/07-16:20:00 11:29:01 +142.9884 39.3832 1.5760
2015/10/07-16:25:00 11:34:02 +144.4493 39.9349 1.5578
2015/10/07-16:30:00 11:39:02 +145.9341 40.4670 1.5408
2015/10/07-16:35:00 11:44:03 +147.4426 40.9790 1.5249
2015/10/07-16:40:00 11:49:04 +148.9748 41.4702 1.5100
2015/10/07-16:45:00 11:54:05 +150.5303 41.9398 1.4962
2015/10/07-16:50:00 11:59:06 +152.1088 42.3872 1.4834
2015/10/07-16:55:00 12:04:07 +153.7099 42.8118 1.4715
2015/10/07-17:00:00 12:09:07 +155.3329 43.2128 1.4605
2015/10/07-17:05:00 12:14:08 +156.9771 43.5897 1.4503
2015/10/07-17:10:00 12:19:09 +158.6418 43.9418 1.4411
2015/10/07-17:15:00 12:24:10 +160.3259 44.2685 1.4326
2015/10/07-17:20:00 12:29:11 +162.0285 44.5693 1.4250
2015/10/07-17:25:00 12:34:11 +163.7483 44.8436 1.4181
2015/10/07-17:30:00 12:39:12 +165.4840 45.0909 1.4120
2015/10/07-17:35:00 12:44:13 +167.2342 45.3108 1.4066
2015/10/07-17:40:00 12:49:14 +168.9974 45.5028 1.4020
2015/10/07-17:45:00 12:54:15 +170.7720 45.6665 1.3980
2015/10/07-17:50:00 12:59:16 +172.5562 45.8017 1.3948
2015/10/07-17:55:00 13:04:16 +174.3483 45.9080 1.3923
2015/10/07-18:00:00 13:09:17 +176.1465 45.9852 1.3905
2015/10/07-18:05:00 13:14:18 +177.9487 46.0333 1.3894
2015/10/07-18:10:00 13:19:19 +179.7532 46.0519 1.3889
2015/10/07-18:15:00 13:24:20 -178.4420 46.0413 1.3892
2015/10/07-18:20:00 13:29:21 -176.6389 46.0013 1.3901
2015/10/07-18:25:00 13:34:21 -174.8394 45.9320 1.3918
2015/10/07-18:30:00 13:39:22 -173.0455 45.8336 1.3941
2015/10/07-18:35:00 13:44:23 -171.2589 45.7063 1.3971
2015/10/07-18:40:00 13:49:24 -169.4815 45.5504 1.4008
2015/10/07-18:45:00 13:54:25 -167.7151 45.3661 1.4053
2015/10/07-18:50:00 13:59:25 -165.9612 45.1538 1.4104
2015/10/07-18:55:00 14:04:26 -164.2213 44.9139 1.4163
2015/10/07-19:00:00 14:09:27 -162.4971 44.6470 1.4230
